C_max,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed,model
2,-1,none,3.5205704900611963,10.27572678461861,0.2,31.2,0.0,0.0,0,0,-3.9552239508931804,0,0.0,0,10000,
2,-1,none,3.5735059761490993,11.558827154133272,0.8,31.4,0.0,0.0,0,0,-4.400926688530577,0,0.0,1,10001,
2,-1,none,3.555085312669689,11.491755195655884,1.7999999999999998,32.0,0.0,0.0,0,0,-4.382407478326048,0,0.0,2,10002,
2,-1,none,3.4755978427557728,11.036651673963425,2.0,29.799999999999997,0.0,0.0,0,0,-4.419501417066388,0,0.0,3,10003,
2,-1,none,3.610058176329036,12.719639966097866,1.4000000000000001,32.0,0.0,0.0,0,0,-3.9576580665485053,0,0.0,4,10004,
2,-1,none,3.581162792182914,11.686173882961683,1.2,31.2,0.0,0.0,0,0,-4.305921674068077,0,0.0,5,10005,
2,-1,none,3.47520887470462,10.724262310611014,0.6,32.0,0.0,0.0,0,0,-3.8229622407484833,0,0.0,6,10006,
2,-1,none,3.577573746811968,11.877709145842172,1.4000000000000001,32.0,0.0,0.0,0,0,-4.419323434854594,0,0.0,7,10007,
2,-1,none,3.562545115023868,11.941921622593817,1.6,29.4,0.0,0.0,0,0,-4.430528345974279,0,0.0,8,10008,
2,-1,none,3.5375952860124387,11.525809408455363,0.8,30.599999999999998,0.0,0.0,0,0,-4.270710674958208,0,0.0,9,10009,
2,-1,threshold,3.5205704900611963,10.27572678461861,0.2,31.2,0.0,0.0,0,0,-3.9552239508931804,0,0.0,0,10000,
2,-1,threshold,3.5735059761490993,11.558827154133272,0.8,31.4,0.0,0.0,0,0,-4.400926688530577,0,0.0,1,10001,
2,-1,threshold,3.555085312669689,11.491755195655884,1.7999999999999998,32.0,0.0,0.0,0,0,-4.382407478326048,0,0.0,2,10002,
2,-1,threshold,3.4755978427557728,11.036651673963425,2.0,29.799999999999997,0.0,0.0,0,0,-4.419501417066388,0,0.0,3,10003,
2,-1,threshold,3.610058176329036,12.719639966097866,1.4000000000000001,32.0,0.0,0.0,0,0,-3.9576580665485053,0,0.0,4,10004,
2,-1,threshold,3.581162792182914,11.686173882961683,1.2,31.2,0.0,0.0,0,0,-4.305921674068077,0,0.0,5,10005,
2,-1,threshold,3.47520887470462,10.724262310611014,0.6,32.0,0.0,0.0,0,0,-3.8229622407484833,0,0.0,6,10006,
2,-1,threshold,3.577573746811968,11.877709145842172,1.4000000000000001,32.0,0.0,0.0,0,0,-4.419323434854594,0,0.0,7,10007,
2,-1,threshold,3.562545115023868,11.941921622593817,1.6,29.4,0.0,0.0,0,0,-4.430528345974279,0,0.0,8,10008,
2,-1,threshold,3.5375952860124387,11.525809408455363,0.8,30.599999999999998,0.0,0.0,0,0,-4.270710674958208,0,0.0,9,10009,
2,-1,calendar,2.9768318312517557,9.998831593144136,0.0,20.4,24.0,0.48,24,0,-1.7168963022603845,0,0.24,0,10000,
2,-1,calendar,3.057585498947562,9.247333244013515,0.0,23.0,21.0,0.42,21,0,-1.68938450573418,0,0.21,1,10001,
2,-1,calendar,3.017927563416511,11.491755195655884,0.2,22.0,23.0,0.46,23,0,-1.6895361118154084,0,0.23,2,10002,
2,-1,calendar,2.9823570514683095,10.9036143660074,0.4,22.2,21.0,0.42,21,0,-1.9398079555315593,0,0.21,3,10003,
2,-1,calendar,3.066067950415613,11.506546485663417,0.4,22.2,24.0,0.48,24,0,-1.6114094265573662,0,0.24,4,10004,
2,-1,calendar,3.045379841902013,10.289428991737,0.2,23.400000000000002,24.0,0.48,24,0,-1.894488264275691,0,0.24,5,10005,
2,-1,calendar,2.9827334130449903,10.118507972322792,0.2,23.0,22.0,0.44,22,0,-1.5150542887363265,0,0.22,6,10006,
2,-1,calendar,3.0176484538569133,10.141203673989128,0.2,23.400000000000002,24.0,0.48,24,0,-1.6420377615116377,0,0.24,7,10007,
2,-1,calendar,3.0695125197964326,10.10846694305709,0.2,21.6,22.0,0.44,22,0,-2.042012590945752,0,0.22,8,10008,
2,-1,calendar,3.049496534088914,9.852765574495445,0.0,22.8,20.0,0.4,20,0,-1.6842626941377965,0,0.2,9,10009,
2,-1,mpc1,3.0197273890124032,9.442715424075752,0.0,24.0,18.0,0.36,18,0,-1.1686271361876779,0,0.18,0,10000,
2,-1,mpc1,3.0681849745237595,9.276110219604403,0.0,24.6,18.0,0.36,18,0,-1.3491351764728767,0,0.18,1,10001,
2,-1,mpc1,3.0576804523453274,11.491755195655884,0.2,23.200000000000003,18.0,0.36,18,0,-1.5122388536549436,0,0.18,2,10002,
2,-1,mpc1,2.9835220182804103,10.473700462296247,0.2,22.0,18.0,0.36,18,0,-1.4194832806484263,0,0.18,3,10003,
2,-1,mpc1,3.1216589998354185,9.644388773113182,0.0,22.6,18.0,0.36,18,0,-1.358195827456515,0,0.18,4,10004,
2,-1,mpc1,3.0876496045035693,9.551084351039215,0.0,24.2,18.0,0.36,18,0,-1.4181391113973758,0,0.18,5,10005,
