C_max,arm,seed,weekly_cost_mean,weekly_cost_sd,weekly_cost_median,weekly_cost_p90,weekly_cost_p99,weekly_cost_max,frac_weeks_at_cap,frac_weeks_zero,total_cost,budget_utilisation,n_sr_per_week,n_sp_per_week
2,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,threshold,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,calendar,-1,0.45,0.8291561975888501,0.0,2.0,2.0,2.0,0.22,0.77,225.0,0.225,0.45,0.0
2,mpc1,-1,0.36,0.7144228439796702,0.0,2.0,2.0,2.0,0.14,0.78,180.0,0.18,0.36,0.0
2,ppo,0,0.988,0.979722409665105,1.0,2.0,2.0,2.0,0.474,0.486,494.0,0.494,0.988,0.0
2,ppo,1,0.986,0.9847862712284327,1.0,2.0,2.0,2.0,0.478,0.492,493.0,0.493,0.986,0.0
2,ppo,2,0.954,0.9817759418523149,0.0,2.0,2.0,2.0,0.46,0.506,477.0,0.477,0.954,0.0
2,ppo,3,0.988,0.9939094526162832,0.5,2.0,2.0,2.0,0.488,0.5,494.0,0.494,0.988,0.0
2,ppo,4,1.05,0.9917156850630123,2.0,2.0,2.0,2.0,0.518,0.468,525.0,0.525,1.05,0.0
2,ppo,5,0.994,0.9726068064742298,1.0,2.0,2.0,2.0,0.47,0.476,497.0,0.497,0.994,0.0
2,ppo,6,0.94,0.9901515035589249,0.0,2.0,2.0,2.0,0.462,0.522,470.0,0.47,0.94,0.0
2,ppo,7,1.0,0.9879271228182775,1.0,2.0,2.0,2.0,0.488,0.488,500.0,0.5,1.0,0.0
2,ppo,8,0.962,0.9922479528827459,0.0,2.0,2.0,2.0,0.474,0.512,481.0,0.481,0.962,0.0
2,ppo,9,0.998,0.990957113098241,1.0,2.0,2.0,2.0,0.49,0.492,499.0,0.499,0.998,0.0
4,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,threshold,-1,1.584,1.4976461531349787,3.0,3.0,3.0,3.0,0.0,0.472,792.0,0.396,0.0,0.528
4,calendar,-1,0.82,1.5898427595205762,0.0,4.0,4.0,4.0,0.196,0.78,410.0,0.205,0.82,0.0
4,mpc1,-1,0.42,1.0409610943738483,0.0,2.0,4.0,4.0,0.06,0.82,210.0,0.105,0.42,0.0
4,ppo,0,1.162,1.1898554534060009,1.0,3.0,4.0,4.0,0.066,0.384,581.0,0.2905,1.162,0.0
4,ppo,1,1.148,1.270470778884741,1.0,3.0,4.0,4.0,0.05,0.456,574.0,0.287,1.148,0.0
4,ppo,2,1.07,1.3330791424367872,1.0,4.0,4.0,4.0,0.102,0.49,535.0,0.2675,1.07,0.0
4,ppo,3,1.032,1.1657512599178266,1.0,3.0,3.0,3.0,0.0,0.484,516.0,0.258,1.032,0.0
4,ppo,4,1.04,1.2451505933018705,0.0,3.0,4.0,4.0,0.04,0.528,520.0,0.26,1.04,0.0
4,ppo,5,1.056,1.2715596722136167,0.0,3.0,4.0,4.0,0.026,0.52,528.0,0.264,1.056,0.0
4,ppo,6,1.068,1.2326297091989955,1.0,3.0,4.0,4.0,0.054,0.47,534.0,0.267,1.068,0.0
4,ppo,7,1.018,1.212301942586912,0.0,2.0,4.0,4.0,0.062,0.506,509.0,0.2545,1.018,0.0
4,ppo,8,1.118,1.3535420200348416,1.0,4.0,4.0,4.0,0.118,0.484,559.0,0.2795,1.118,0.0
4,ppo,9,1.194,1.3506901939378992,1.0,4.0,4.0,4.0,0.108,0.46,597.0,0.2985,1.194,0.0
6,none,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,threshold,-1,2.88,2.8874902597238314,3.0,6.0,6.0,6.0,0.444,0.484,1440.0,0.48,0.0,0.96
