C_max,arm,seeds,weekly_cost_mean,weekly_cost_p90,weekly_cost_p99,weekly_cost_max,frac_weeks_at_cap,frac_weeks_zero,total_cost,n_sr_per_week,n_sp_per_week
12,calendar,1,1.134,6.0,9.0,10.0,0.0,0.79,567.0,1.134,0.0
12,mpc1,1,0.44,1.1000000000000227,5.0,5.0,0.0,0.82,220.0,0.44,0.0
12,none,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,ppo,10,2.6673999999999998,4.5,5.5009999999999994,7.0,0.0,0.018,1333.7,2.5054000000000003,0.054000000000000006
12,threshold,1,4.128,12.0,12.0,12.0,0.182,0.516,2064.0,0.0,1.376
2,calendar,1,0.45,2.0,2.0,2.0,0.22,0.77,225.0,0.45,0.0
2,mpc1,1,0.36,2.0,2.0,2.0,0.14,0.78,180.0,0.36,0.0
2,none,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,ppo,10,0.986,2.0,2.0,2.0,0.48019999999999996,0.49420000000000003,493.0,0.986,0.0
2,threshold,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,calendar,1,0.82,4.0,4.0,4.0,0.196,0.78,410.0,0.82,0.0
4,mpc1,1,0.42,2.0,4.0,4.0,0.06,0.82,210.0,0.42,0.0
4,none,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,ppo,10,1.0906,3.2,3.9,4.0,0.0626,0.4782,545.3,1.0906,0.0
4,threshold,1,1.584,3.0,3.0,3.0,0.0,0.472,792.0,0.0,0.528
6,calendar,1,1.056,6.0,6.0,6.0,0.12,0.788,528.0,1.056,0.0
6,mpc1,1,0.44,1.1000000000000227,5.0,5.0,0.0,0.82,220.0,0.44,0.0
6,none,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,ppo,10,1.3687999999999998,3.1,4.5029999999999974,6.0,0.006199999999999999,0.3036,684.4,1.3687999999999998,0.0
6,threshold,1,2.88,6.0,6.0,6.0,0.444,0.484,1440.0,0.0,0.96
8,calendar,1,1.12,5.100000000000023,8.0,8.0,0.048,0.79,560.0,1.12,0.0
8,mpc1,1,0.44,1.1000000000000227,5.0,5.0,0.0,0.82,220.0,0.44,0.0
8,none,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,ppo,10,1.8602,3.3,4.6,6.0,0.0,0.11120000000000001,930.1,1.8602,0.0
8,threshold,1,2.88,6.0,6.0,6.0,0.0,0.484,1440.0,0.0,0.96
inf,calendar,1,1.134,6.0,9.0,10.0,,0.79,567.0,1.134,0.0
inf,mpc1,1,0.44,1.1000000000000227,5.0,5.0,,0.82,220.0,0.44,0.0
inf,none,1,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0
inf,ppo,10,1.1176,3.3,5.701999999999998,10.0,,0.5238,558.8,1.1176,0.0
inf,threshold,1,4.392,12.0,24.0,27.0,,0.534,2196.0,0.0,1.464
