C_max,model,seed,arm,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
2,ppo_c2_s0,0,ppo,2.2585478794155542,7.885136519214123,0.0,7.199999999999999,51.0,1.02,51,0,-0.6198744143594742,0,0.51,0,10000
2,ppo_c2_s0,0,ppo,2.295399038234503,8.70508019085569,0.0,7.199999999999999,49.0,0.98,49,0,-0.6925246179147383,0,0.49,1,10001
2,ppo_c2_s0,0,ppo,2.2733292234481706,8.585777600554403,0.0,8.200000000000001,51.0,1.02,51,0,-0.7281322230451709,0,0.51,2,10002
2,ppo_c2_s0,0,ppo,2.2323508610055263,7.9549121784894385,0.0,7.000000000000001,50.0,1.0,50,0,-0.6720839946567259,0,0.5,3,10003
2,ppo_c2_s0,0,ppo,2.344752443228551,7.47419888044895,0.0,7.6,51.0,1.02,51,0,-0.6513676375218036,0,0.51,4,10004
2,ppo_c2_s0,0,ppo,2.3098448231790654,8.659326909104713,0.0,6.4,51.0,1.02,51,0,-0.7119955792109798,0,0.51,5,10005
2,ppo_c2_s0,0,ppo,2.269458406306539,7.266553698390535,0.0,8.0,49.0,0.98,49,0,-0.6671808281663871,0,0.49,6,10006
2,ppo_c2_s0,0,ppo,2.2885807010048684,7.704103637026934,0.0,7.3999999999999995,51.0,1.02,51,0,-0.6828763767890392,0,0.51,7,10007
2,ppo_c2_s0,0,ppo,2.3657380654478755,7.363361478177297,0.0,8.200000000000001,47.0,0.94,47,0,-0.6375272581701932,0,0.47,8,10008
2,ppo_c2_s0,0,ppo,2.3924572334456253,7.440477166673594,0.0,8.799999999999999,44.0,0.88,44,0,-0.6328224347288048,0,0.44,9,10009
2,ppo_c2_s1,1,ppo,2.2996392319417875,7.457870370139448,0.0,6.4,49.0,0.98,49,0,-0.5887072888233482,0,0.49,0,10000
2,ppo_c2_s1,1,ppo,2.3411157555447804,8.70508019085569,0.0,8.200000000000001,48.0,0.96,48,0,-0.7446131760138988,0,0.48,1,10001
2,ppo_c2_s1,1,ppo,2.2465498166610542,9.392186383195064,0.0,6.0,53.0,1.06,53,0,-0.6776868741842643,0,0.53,2,10002
2,ppo_c2_s1,1,ppo,2.24117321142499,8.19634361290613,0.0,7.199999999999999,48.0,0.96,48,0,-0.6297006109548033,0,0.48,3,10003
2,ppo_c2_s1,1,ppo,2.3370308160668416,8.18717473662043,0.0,6.800000000000001,51.0,1.02,51,0,-0.666484294782268,0,0.51,4,10004
2,ppo_c2_s1,1,ppo,2.3172785445238104,8.659326909104713,0.0,7.3999999999999995,51.0,1.02,51,0,-0.7265815908926128,0,0.51,5,10005
2,ppo_c2_s1,1,ppo,2.2841694560426795,7.589154363986541,0.0,8.0,48.0,0.96,48,0,-0.6424966994592849,0,0.48,6,10006
2,ppo_c2_s1,1,ppo,2.3563743005913333,7.111119192575464,0.0,8.0,47.0,0.94,47,0,-0.5979095818668048,0,0.47,7,10007
2,ppo_c2_s1,1,ppo,2.313184351073932,7.3926067668126985,0.0,6.4,51.0,1.02,51,0,-0.6676283266198798,0,0.51,8,10008
2,ppo_c2_s1,1,ppo,2.3384444549529153,7.247882544238849,0.0,7.8,47.0,0.94,47,0,-0.604181929729135,0,0.47,9,10009
2,ppo_c2_s2,2,ppo,2.3097737190343026,8.149538002142947,0.0,6.800000000000001,48.0,0.96,48,0,-0.6371459317132306,0,0.48,0,10000
2,ppo_c2_s2,2,ppo,2.343656124393882,8.70508019085569,0.0,9.0,47.0,0.94,47,0,-0.6907090720973021,0,0.47,1,10001
2,ppo_c2_s2,2,ppo,2.323773511741775,8.585777600554403,0.0,8.0,48.0,0.96,48,0,-0.7134708690524438,0,0.48,2,10002
2,ppo_c2_s2,2,ppo,2.224963840974813,8.067241462147832,0.0,7.3999999999999995,49.0,0.98,49,0,-0.6397831445648613,0,0.49,3,10003
2,ppo_c2_s2,2,ppo,2.382027213406508,7.851902511516341,0.0,7.8,49.0,0.98,49,0,-0.6445191453993524,0,0.49,4,10004
2,ppo_c2_s2,2,ppo,2.4616766744715495,9.25143592459991,0.0,9.6,42.0,0.84,42,0,-0.7628695983255667,0,0.42,5,10005
2,ppo_c2_s2,2,ppo,2.2885135928965346,7.839607050054032,0.0,7.8,47.0,0.94,47,0,-0.671094879961482,0,0.47,6,10006
2,ppo_c2_s2,2,ppo,2.380900977250213,7.744200473824529,0.0,9.4,46.0,0.92,46,0,-0.6726904173015938,0,0.46,7,10007
2,ppo_c2_s2,2,ppo,2.2858724781481317,8.261627920289122,0.0,6.4,52.0,1.04,52,0,-0.6925399189217226,0,0.52,8,10008
2,ppo_c2_s2,2,ppo,2.320980265369808,7.690973274320591,0.0,8.6,49.0,0.98,49,0,-0.704807459118772,0,0.49,9,10009
2,ppo_c2_s3,3,ppo,2.3414120458882053,7.574075951062567,0.0,8.799999999999999,46.0,0.92,46,0,-0.656414602654622,0,0.46,0,10000
2,ppo_c2_s3,3,ppo,2.274390989221671,7.391072947006663,0.0,7.6,52.0,1.04,52,0,-0.6378710190390271,0,0.52,1,10001
2,ppo_c2_s3,3,ppo,2.297695348274232,7.784562790036554,0.0,6.0,49.0,0.98,49,0,-0.6468450247012374,0,0.49,2,10002
2,ppo_c2_s3,3,ppo,2.238399304756199,8.035284713262138,0.0,6.6000000000000005,48.0,0.96,48,0,-0.6087631403444113,0,0.48,3,10003
2,ppo_c2_s3,3,ppo,2.362976357894664,7.462794909988114,0.0,7.199999999999999,51.0,1.02,51,0,-0.6362647076680404,0,0.51,4,10004
2,ppo_c2_s3,3,ppo,2.3541646948349735,8.659326909104713,0.0,7.8,47.0,0.94,47,0,-0.6781800659970509,0,0.47,5,10005
2,ppo_c2_s3,3,ppo,2.236396208644712,7.736322761219803,0.0,6.800000000000001,50.0,1.0,50,0,-0.6772007736130146,0,0.5,6,10006
2,ppo_c2_s3,3,ppo,2.2834050403462154,7.704103637026934,0.0,8.4,51.0,1.02,51,0,-0.6906335530173452,0,0.51,7,10007
2,ppo_c2_s3,3,ppo,2.335328643736019,7.363361478177297,0.0,7.3999999999999995,48.0,0.96,48,0,-0.6680049938776793,0,0.48,8,10008
2,ppo_c2_s3,3,ppo,2.2635220085778927,7.218847290841529,0.0,7.000000000000001,52.0,1.04,52,0,-0.6665883686635434,0,0.52,9,10009
