C_max,rule,params,train_return
2,threshold,trigger=5,-5.034808869143499
2,threshold,trigger=8,-5.034808869143499
2,threshold,trigger=10,-5.034808869143499
2,threshold,trigger=12,-5.034808869143499
2,threshold,trigger=15,-5.034808869143499
2,threshold,trigger=20,-5.034808869143499
2,threshold,trigger=25,-5.034808869143499
2,calendar,"sr_trigger=3,period=2",-2.110205436501637
2,calendar,"sr_trigger=3,period=4",-3.3651027310140513
2,calendar,"sr_trigger=5,period=2",-2.1920613700003293
2,calendar,"sr_trigger=5,period=4",-3.4101665376929273
2,calendar,"sr_trigger=8,period=2",-3.019862215065701
2,calendar,"sr_trigger=8,period=4",-3.774383886581081
4,threshold,trigger=5,-3.7526896407647095
4,threshold,trigger=8,-3.947501454561768
4,threshold,trigger=10,-4.647136279964033
4,threshold,trigger=12,-5.010362950597964
4,threshold,trigger=15,-5.034808869143499
4,threshold,trigger=20,-5.034808869143499
4,threshold,trigger=25,-5.034808869143499
4,calendar,"sr_trigger=3,period=2",-1.2530338475172014
4,calendar,"sr_trigger=3,period=4",-2.277323890432942
4,calendar,"sr_trigger=5,period=2",-1.3740292910197838
4,calendar,"sr_trigger=5,period=4",-2.3883637831198734
4,calendar,"sr_trigger=8,period=2",-2.8328591885805854
4,calendar,"sr_trigger=8,period=4",-3.492778768900778
6,threshold,trigger=5,-3.171995934272895
6,threshold,trigger=8,-3.6407954998741325
6,threshold,trigger=10,-4.605954646617358
6,threshold,trigger=12,-5.010362950597964
6,threshold,trigger=15,-5.034808869143499
6,threshold,trigger=20,-5.034808869143499
6,threshold,trigger=25,-5.034808869143499
6,calendar,"sr_trigger=3,period=2",-1.0830167035284421
6,calendar,"sr_trigger=3,period=4",-1.7007446128638612
6,calendar,"sr_trigger=5,period=2",-1.189029563048164
6,calendar,"sr_trigger=5,period=4",-1.8651300309047636
6,calendar,"sr_trigger=8,period=2",-2.81034092967632
6,calendar,"sr_trigger=8,period=4",-3.46609090308879
8,threshold,trigger=5,-3.171995934272895
8,threshold,trigger=8,-3.6407954998741325
8,threshold,trigger=10,-4.605954646617358
8,threshold,trigger=12,-5.010362950597964
8,threshold,trigger=15,-5.034808869143499
8,threshold,trigger=20,-5.034808869143499
8,threshold,trigger=25,-5.034808869143499
8,calendar,"sr_trigger=3,period=2",-1.034703903502919
8,calendar,"sr_trigger=3,period=4",-1.4197618396798646
8,calendar,"sr_trigger=5,period=2",-1.1439567254756018
8,calendar,"sr_trigger=5,period=4",-1.7107821895716018
8,calendar,"sr_trigger=8,period=2",-2.81034092967632
8,calendar,"sr_trigger=8,period=4",-3.46609090308879
12,threshold,trigger=5,-3.055213289925154
12,threshold,trigger=8,-3.5435849025431447
12,threshold,trigger=10,-4.601716836962122
12,threshold,trigger=12,-5.010362950597964
12,threshold,trigger=15,-5.034808869143499
12,threshold,trigger=20,-5.034808869143499
12,threshold,trigger=25,-5.034808869143499
12,calendar,"sr_trigger=3,period=2",-1.0244371554672684
12,calendar,"sr_trigger=3,period=4",-1.3642640985130285
12,calendar,"sr_trigger=5,period=2",-1.1417393804710478
12,calendar,"sr_trigger=5,period=4",-1.7090949237122706
12,calendar,"sr_trigger=8,period=2",-2.81034092967632
12,calendar,"sr_trigger=8,period=4",-3.46609090308879
inf,threshold,trigger=5,-3.0771013542912207
inf,threshold,trigger=8,-3.537699392534105
inf,threshold,trigger=10,-4.601716836962122
inf,threshold,trigger=12,-5.010362950597964
inf,threshold,trigger=15,-5.034808869143499
inf,threshold,trigger=20,-5.034808869143499
inf,threshold,trigger=25,-5.034808869143499
inf,calendar,"sr_trigger=3,period=2",-1.0244371554672684
inf,calendar,"sr_trigger=3,period=4",-1.3642640985130285
inf,calendar,"sr_trigger=5,period=2",-1.1417393804710478
inf,calendar,"sr_trigger=5,period=4",-1.7090949237122706
inf,calendar,"sr_trigger=8,period=2",-2.81034092967632
inf,calendar,"sr_trigger=8,period=4",-3.46609090308879
