C_max,arm,seed,ret,bi,cost,w10
12,a2c,0,-1.2502683980687448,1.8620861517375005,107.7,0.0
12,a2c,1,-0.9957859608391338,2.1463788761903,71.8,0.02
12,a2c,2,-1.1172150353049854,2.3001481569283286,71.7,0.02
12,calendar,-1,-0.8858282017350048,2.226476275173974,56.7,0.04
12,mpc1,-1,-1.1548991209968578,2.9606569715142514,22.0,0.02
12,none,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
12,ppo,0,-1.2308835158797218,2.046322280891195,99.2,0.0
12,ppo,1,-2.2023486427035883,2.0989780578326678,148.4,0.1
12,ppo,2,-1.5600673042499156,1.7236742045929039,135.0,0.0
12,ppo,3,-1.3530106799396608,1.637346970695188,123.5,0.0
12,ppo,4,-1.6309012979829458,1.3276212903425486,160.1,0.0
12,ppo,5,-1.7467677144345444,1.3776075531789531,163.6,0.0
12,ppo,6,-1.4103390112157181,1.7669074161190719,126.3,0.02
12,ppo,7,-1.4738942671442044,1.5942817494203307,137.6,0.0
12,ppo,8,-1.343905551679625,1.594826965895735,120.6,0.02
12,ppo,9,-1.268430324006783,1.6152825912123425,119.4,0.0
12,threshold,-1,-3.0123348439788473,2.645740669706114,206.4,0.06000000000000001
2,a2c,0,-0.6831366900578992,2.357423062356733,45.8,0.0
2,a2c,1,-0.6398060102677621,2.2800288958817156,51.1,0.0
2,a2c,2,-0.6844857910266726,2.283204931944182,49.6,0.0
2,calendar,-1,-1.7424889901506102,3.0265540658189014,22.5,0.18
2,dqn,0,-3.2529624216096003,2.685200296937621,74.8,0.58
2,dqn,1,-3.4914743660684544,2.8364422165613363,84.7,0.6799999999999999
2,dqn,2,-2.7729616638031835,2.5656600081278995,81.6,0.5399999999999999
2,mpc1,-1,-1.399329855037348,3.0519920938729186,18.0,0.12000000000000002
2,none,-1,-4.236516397196834,3.54689036127006,0.0,1.1800000000000002
2,ppo,0,-0.6696385364563316,2.303045867471628,49.4,0.0
2,ppo,1,-0.6545990373326299,2.307495993882412,49.3,0.0
2,ppo,2,-0.6829630436456327,2.3322138397687517,47.7,0.0
2,ppo,3,-0.6566766249575972,2.2987690642174785,49.4,0.0
2,ppo,4,-0.6863371618973356,2.2458530855053938,52.5,0.0
