C_max,arm,seeds,n,ret_mean,ret_sd,bi_mean,bi_sd,peak_bi,w10,w5,cost,cost_sd,budget_util,infeasible_weeks
12,a2c,3,30,-1.1210897980709547,0.13193850418089478,2.1028710616187096,0.1965540595481105,8.387419570585001,0.013333333333333334,8.433333333333334,83.73333333333333,17.381983009234972,0.13955555555555554,0.0
12,calendar,1,10,-0.8858282017350048,0.0958552732995905,2.226476275173974,0.05023544074185821,9.160780505401991,0.04,7.340000000000001,56.7,2.3118054512532944,0.0945,0.0
12,mpc1,1,10,-1.1548991209968578,0.09996636416274297,2.9606569715142514,0.043779963121435575,9.207893207691752,0.02,20.94,22.0,0.0,0.03666666666666667,0.0
12,none,1,10,-4.236516397196834,0.2325602212465397,3.54689036127006,0.044878669499088794,11.483847714493312,1.1800000000000002,31.159999999999997,0.0,0.0,0.0,0.0
12,ppo,10,100,-1.5220548309236708,0.29410788195618226,1.6782849080180935,0.24476137102819856,7.977315160069142,0.014000000000000002,5.122000000000001,133.37,19.31433497052215,0.2222833333333333,0.0
12,threshold,1,10,-3.0123348439788473,0.12029618540629282,2.645740669706114,0.044384478826647956,9.826702835153911,0.06000000000000001,15.459999999999999,206.4,10.373041983911952,0.344,0.0
2,a2c,3,30,-0.6691428304507779,0.05628553270304705,2.3068856300608767,0.057830060955177336,7.9205539654888515,0.0,7.366666666666666,48.833333333333336,2.742806683991261,0.48833333333333334,0.0
2,calendar,1,10,-1.7424889901506102,0.16344253710268458,3.0265540658189014,0.03613269548489402,10.36584540400858,0.18,22.4,22.5,1.509230856356236,0.225,0.0
2,dqn,3,30,-3.1724661504937464,0.3472349587305732,2.6957675072089526,0.1189648897818166,11.072073348237938,0.6,20.71333333333333,80.36666666666666,4.262776603085844,0.8036666666666666,0.0
2,mpc1,1,10,-1.399329855037348,0.15634819793445479,3.0519920938729186,0.04451874106942178,9.921068273354873,0.12000000000000002,23.28,18.0,0.0,0.18,0.0
