arm,label,seed,model,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,mean_weekly_cost,n_sr,n_sp,episode_return,n_infeasible_weeks,budget_utilisation,rep,eval_seed
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.0376805038937875,7.133395436495315,0.0,4.0,63.0,1.26,63,0,-0.7102732612059961,0,,0,10000
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.066458704962813,8.70508019085569,0.0,6.4,62.0,1.24,62,0,-0.7835296118077921,0,,1,10001
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.0365259898088026,8.194764720785715,0.0,5.0,63.0,1.26,63,0,-0.769452299774916,0,,2,10002
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,1.9844518398051665,7.323399653138507,0.0,5.2,64.0,1.28,64,0,-0.7452521952726965,0,,3,10003
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.002059572328174,7.317657067912346,0.0,4.3999999999999995,69.0,1.38,69,0,-0.7565972236479543,0,,4,10004
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.0598807805979304,8.659326909104713,0.0,5.6000000000000005,64.0,1.28,64,0,-0.7971828723770682,0,,5,10005
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,1.9933597209690377,7.789724449270406,0.0,5.2,65.0,1.3,65,0,-0.7702986503575161,0,,6,10006
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.0403642511944,7.704103637026934,0.0,5.6000000000000005,65.0,1.3,65,0,-0.7675705920851498,0,,7,10007
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.018067338311668,7.363361478177297,0.0,3.4000000000000004,66.0,1.32,66,0,-0.7494668116639599,0,,8,10008
md,C=inf  MultiDiscrete (status quo),0,ppo_cinf_s0,2.034242211114012,6.8488257647001,0.0,5.0,65.0,1.3,65,0,-0.7224083324676511,0,,9,10009
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.169743169265359,7.394338831329825,0.0,5.0,55.0,1.1,55,0,-0.669523086103894,0,,0,10000
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.1594369036623666,8.70508019085569,0.0,7.000000000000001,58.0,1.16,58,0,-0.7193025139305416,0,,1,10001
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.1022155493315218,7.240080056995693,0.0,4.6,60.0,1.2,60,0,-0.6968722283656442,0,,2,10002
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.1289659354420665,8.318885366587367,0.0,6.0,54.0,1.08,54,0,-0.6608821161168799,0,,3,10003
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.255911782957271,7.694652285111873,0.0,5.800000000000001,55.0,1.1,55,0,-0.6673636169129212,0,,4,10004
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.081517597233782,8.659326909104713,0.0,4.0,61.0,1.22,61,0,-0.7354468177492979,0,,5,10005
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.2048781598465146,7.790597956954608,0.0,7.6,53.0,1.06,53,0,-0.7165836440498787,0,,6,10006
md,C=inf  MultiDiscrete (status quo),1,ppo_cinf_s1,2.1269134924308095,7.704103637026934,0.0,5.2,58.0,1.16,58,0,-0.6546837660003431,0,,7,10007
