arm,label,seed,ret,bi,peak_bi,w10,cost,util,infeas
c2proj,C=2    Discrete(59049)+project,0,-1.1186008204877163,1.9048137338597624,7.799918512323312,0.0,93.8,0.938,50.0
c2proj,C=2    Discrete(59049)+project,1,-1.1487470557781334,2.1156321832586156,8.40617761620057,0.0,85.1,0.851,50.0
c2proj,C=2    Discrete(59049)+project,2,-1.2832681429943575,2.0464797994593997,9.077295212371576,0.02,90.1,0.901,50.0
md,C=inf  MultiDiscrete (status quo),0,-0.75720318506607,2.027309091298579,7.703963930746703,0.0,64.6,,0.0
md,C=inf  MultiDiscrete (status quo),1,-0.689609564715924,2.1577867583363566,7.812008498066916,0.0,56.7,,0.0
md,C=inf  MultiDiscrete (status quo),2,-0.6720764709076424,2.176064607437662,7.59812420365692,0.0,55.7,,0.0
md,C=inf  MultiDiscrete (status quo),3,-0.6565148551567302,2.2414210764558358,7.727937164761832,0.0,51.9,,0.0
md,C=inf  MultiDiscrete (status quo),4,-0.7134278645455108,2.148516359557952,7.778200772729065,0.0,57.9,,0.0
md,C=inf  MultiDiscrete (status quo),5,-0.6646596251238817,2.2368316299518076,7.71991275700749,0.0,51.9,,0.0
md,C=inf  MultiDiscrete (status quo),6,-0.7056928026406433,2.1380017915492635,7.899937812035121,0.0,57.3,,0.0
md,C=inf  MultiDiscrete (status quo),7,-0.6681246056429961,2.164977309246261,7.7905562537088,0.0,53.0,,0.0
md,C=inf  MultiDiscrete (status quo),8,-0.678953000632883,2.1975439043732896,7.92863183544728,0.0,53.4,,0.0
md,C=inf  MultiDiscrete (status quo),9,-0.7011684681079903,2.1749067369259594,7.7139483818532355,0.0,56.4,,0.0
nest486,C=inf  Discrete(486) nested,0,-0.6835527805519456,2.1615197064697584,7.684909997939468,0.0,55.8,,0.0
nest486,C=inf  Discrete(486) nested,1,-0.6975585429642075,2.2890809582900986,7.992192304607485,0.0,49.8,,0.0
nest486,C=inf  Discrete(486) nested,2,-0.6923395624874443,2.1638160783290052,8.007458808764863,0.0,55.4,,0.0
nest486,C=inf  Discrete(486) nested,3,-0.8500807078775834,2.05492998264237,7.598828700167717,0.0,74.9,,0.0
nest486,C=inf  Discrete(486) nested,4,-0.6871041970679356,2.190458868274427,7.889160639205366,0.0,53.6,,0.0
nest486,C=inf  Discrete(486) nested,5,-0.696691362868166,2.165037910863057,7.740371557419254,0.0,56.0,,0.0
nest486,C=inf  Discrete(486) nested,6,-0.6619308755913336,2.307104803244635,7.935013287788753,0.0,49.6,,0.0
nest486,C=inf  Discrete(486) nested,7,-0.6794152147516626,2.2067590981420437,7.704704305005326,0.0,55.1,,0.0
nest486,C=inf  Discrete(486) nested,8,-0.9315200375714717,2.1033365055966864,7.794139201645504,0.0,76.3,,0.0
nest486,C=inf  Discrete(486) nested,9,-0.689340689437625,2.240566288541983,7.8480596203223785,0.0,53.2,,0.0
nest56,C=inf  Discrete(56) nested,0,-0.6696385364563316,2.303045867471628,7.903892825893569,0.0,49.4,,0.0
nest56,C=inf  Discrete(56) nested,1,-0.6545990373326299,2.307495993882412,7.993874507043503,0.0,49.3,,0.0
nest56,C=inf  Discrete(56) nested,2,-0.6829630436456327,2.3322138397687517,8.214738441030539,0.0,47.7,,0.0
nest56,C=inf  Discrete(56) nested,3,-0.6566766249575972,2.2987690642174785,7.692975338772631,0.0,49.4,,0.0
nest56,C=inf  Discrete(56) nested,4,-0.6863371618973356,2.2458530855053938,7.9650990923409895,0.0,52.5,,0.0
