fold_year,C_max,rule,params,train_return
2015,2,threshold,trigger=8,-4.974759795175789
2015,2,threshold,trigger=10,-4.974759795175789
2015,2,threshold,trigger=12,-4.974759795175789
2015,2,threshold,trigger=15,-4.974759795175789
2015,2,threshold,trigger=20,-4.974759795175789
2015,2,threshold,trigger=25,-4.974759795175789
2015,2,calendar,"sr_trigger=3,period=2",-2.0725296669683217
2015,2,calendar,"sr_trigger=3,period=4",-3.2999191533371075
2015,2,calendar,"sr_trigger=5,period=2",-2.16178076207677
2015,2,calendar,"sr_trigger=5,period=4",-3.3263984550865935
2015,2,calendar,"sr_trigger=8,period=2",-3.066679546722191
2015,2,calendar,"sr_trigger=8,period=4",-3.7693211583504533
2016,2,threshold,trigger=8,-4.88646278161755
2016,2,threshold,trigger=10,-4.88646278161755
2016,2,threshold,trigger=12,-4.88646278161755
2016,2,threshold,trigger=15,-4.88646278161755
2016,2,threshold,trigger=20,-4.88646278161755
2016,2,threshold,trigger=25,-4.88646278161755
2016,2,calendar,"sr_trigger=3,period=2",-2.006284879478063
2016,2,calendar,"sr_trigger=3,period=4",-3.2330853755459605
2016,2,calendar,"sr_trigger=5,period=2",-2.104650005618303
2016,2,calendar,"sr_trigger=5,period=4",-3.276617734213023
2016,2,calendar,"sr_trigger=8,period=2",-2.974926724041939
2016,2,calendar,"sr_trigger=8,period=4",-3.6908391994814833
2017,2,threshold,trigger=8,-4.948866780959615
2017,2,threshold,trigger=10,-4.948866780959615
2017,2,threshold,trigger=12,-4.948866780959615
2017,2,threshold,trigger=15,-4.948866780959615
2017,2,threshold,trigger=20,-4.948866780959615
2017,2,threshold,trigger=25,-4.948866780959615
2017,2,calendar,"sr_trigger=3,period=2",-2.0843204546601055
2017,2,calendar,"sr_trigger=3,period=4",-3.2970187021362882
2017,2,calendar,"sr_trigger=5,period=2",-2.1770008727148507
2017,2,calendar,"sr_trigger=5,period=4",-3.33951641640822
2017,2,calendar,"sr_trigger=8,period=2",-3.0227965132123247
2017,2,calendar,"sr_trigger=8,period=4",-3.751963781157258
2018,2,threshold,trigger=8,-4.914129299898332
2018,2,threshold,trigger=10,-4.914129299898332
2018,2,threshold,trigger=12,-4.914129299898332
2018,2,threshold,trigger=15,-4.914129299898332
2018,2,threshold,trigger=20,-4.914129299898332
2018,2,threshold,trigger=25,-4.914129299898332
2018,2,calendar,"sr_trigger=3,period=2",-2.08929828585292
2018,2,calendar,"sr_trigger=3,period=4",-3.2984257679989293
2018,2,calendar,"sr_trigger=5,period=2",-2.183083861279325
2018,2,calendar,"sr_trigger=5,period=4",-3.341196511282326
2018,2,calendar,"sr_trigger=8,period=2",-3.033216004353029
2018,2,calendar,"sr_trigger=8,period=4",-3.74028574897567
2019,2,threshold,trigger=8,-4.8111619401472465
2019,2,threshold,trigger=10,-4.8111619401472465
2019,2,threshold,trigger=12,-4.8111619401472465
2019,2,threshold,trigger=15,-4.8111619401472465
2019,2,threshold,trigger=20,-4.8111619401472465
2019,2,threshold,trigger=25,-4.8111619401472465
2019,2,calendar,"sr_trigger=3,period=2",-2.025854912235296
2019,2,calendar,"sr_trigger=3,period=4",-3.224405834880501
2019,2,calendar,"sr_trigger=5,period=2",-2.126701840289814
2019,2,calendar,"sr_trigger=5,period=4",-3.2696690060768643
2019,2,calendar,"sr_trigger=8,period=2",-2.957342108914214
2019,2,calendar,"sr_trigger=8,period=4",-3.712849689124647
2020,2,threshold,trigger=8,-4.9828575107335755
2020,2,threshold,trigger=10,-4.9828575107335755
2020,2,threshold,trigger=12,-4.9828575107335755
2020,2,threshold,trigger=15,-4.9828575107335755
2020,2,threshold,trigger=20,-4.9828575107335755
2020,2,threshold,trigger=25,-4.9828575107335755
2020,2,calendar,"sr_trigger=3,period=2",-2.0901426271506547
2020,2,calendar,"sr_trigger=3,period=4",-3.3354148360478657
2020,2,calendar,"sr_trigger=5,period=2",-2.128828593467044
2020,2,calendar,"sr_trigger=5,period=4",-3.3532156304758707
2020,2,calendar,"sr_trigger=8,period=2",-3.0220556596583834
2020,2,calendar,"sr_trigger=8,period=4",-3.790985242429793
2021,2,threshold,trigger=8,-4.833569176179083
2021,2,threshold,trigger=10,-4.833569176179083
2021,2,threshold,trigger=12,-4.833569176179083
2021,2,threshold,trigger=15,-4.833569176179083
2021,2,threshold,trigger=20,-4.833569176179083
2021,2,threshold,trigger=25,-4.833569176179083
2021,2,calendar,"sr_trigger=3,period=2",-2.038508879461724
2021,2,calendar,"sr_trigger=3,period=4",-3.239407958452945
2021,2,calendar,"sr_trigger=5,period=2",-2.1377540532282966
2021,2,calendar,"sr_trigger=5,period=4",-3.2833092734987988
2021,2,calendar,"sr_trigger=8,period=2",-2.9725214796869253
2021,2,calendar,"sr_trigger=8,period=4",-3.646888926370266
2022,2,threshold,trigger=8,-5.034808869143499
2022,2,threshold,trigger=10,-5.034808869143499
2022,2,threshold,trigger=12,-5.034808869143499
2022,2,threshold,trigger=15,-5.034808869143499
2022,2,threshold,trigger=20,-5.034808869143499
2022,2,threshold,trigger=25,-5.034808869143499
2022,2,calendar,"sr_trigger=3,period=2",-2.110205436501637
2022,2,calendar,"sr_trigger=3,period=4",-3.3651027310140513
2022,2,calendar,"sr_trigger=5,period=2",-2.1920613700003293
2022,2,calendar,"sr_trigger=5,period=4",-3.4101665376929273
2022,2,calendar,"sr_trigger=8,period=2",-3.019862215065701
2022,2,calendar,"sr_trigger=8,period=4",-3.774383886581081
