fold_year,C_max,arm,seed,rep,episode_return,mean_bi,total_cost,weeks_bi_ge10_pct,eval_seed
2015,2,none,-1,0,-4.478590058911516,3.609000007877835,0.0,0.7843137254901961,
2015,2,none,-1,1,-4.652936042423915,3.6931675700831437,0.0,1.3725490196078431,
2015,2,none,-1,2,-4.944697577039389,3.670029459986013,0.0,1.9607843137254901,
2015,2,none,-1,3,-4.585205270576467,3.577963610733059,0.0,2.1568627450980395,
2015,2,none,-1,4,-3.8164674723416745,3.7025611516738235,0.0,0.39215686274509803,
2015,2,none,-1,5,-4.795013876532765,3.6650217281491098,0.0,2.1568627450980395,
2015,2,none,-1,6,-4.591612763493979,3.5705337434814335,0.0,1.1764705882352944,
2015,2,none,-1,7,-4.8460545928788035,3.6907630568132594,0.0,1.3725490196078434,
2015,2,none,-1,8,-4.649105977189605,3.656054820535581,0.0,1.7647058823529416,
2015,2,none,-1,9,-4.538958901143732,3.6194748999495268,0.0,1.1764705882352944,
2015,2,threshold,-1,0,-4.478590058911516,3.609000007877835,0.0,0.7843137254901961,
2015,2,threshold,-1,1,-4.652936042423915,3.6931675700831437,0.0,1.3725490196078431,
2015,2,threshold,-1,2,-4.944697577039389,3.670029459986013,0.0,1.9607843137254901,
2015,2,threshold,-1,3,-4.585205270576467,3.577963610733059,0.0,2.1568627450980395,
2015,2,threshold,-1,4,-3.8164674723416745,3.7025611516738235,0.0,0.39215686274509803,
2015,2,threshold,-1,5,-4.795013876532765,3.6650217281491098,0.0,2.1568627450980395,
2015,2,threshold,-1,6,-4.591612763493979,3.5705337434814335,0.0,1.1764705882352944,
2015,2,threshold,-1,7,-4.8460545928788035,3.6907630568132594,0.0,1.3725490196078434,
2015,2,threshold,-1,8,-4.649105977189605,3.656054820535581,0.0,1.7647058823529416,
2015,2,threshold,-1,9,-4.538958901143732,3.6194748999495268,0.0,1.1764705882352944,
2015,2,calendar,-1,0,-1.8099444187676639,3.0362604896072547,24.0,0.19607843137254902,
2015,2,calendar,-1,1,-1.8536132866918758,3.125836264322671,23.0,0.0,
2015,2,calendar,-1,2,-2.158203620602107,3.0888182020031443,24.0,0.39215686274509803,
2015,2,calendar,-1,3,-2.0575480230442666,3.0012370458315,24.0,0.9803921568627451,
2015,2,calendar,-1,4,-1.8287718863584315,3.140690361308447,24.0,0.0,
2015,2,calendar,-1,5,-2.089446494974979,3.0851407082390114,24.0,0.5882352941176472,
2015,2,calendar,-1,6,-1.9777513394009512,3.0198622737270195,24.0,0.39215686274509803,
2015,2,calendar,-1,7,-1.8977566576180716,3.0997768758926743,24.0,0.19607843137254902,
2015,2,calendar,-1,8,-1.8293489182205191,3.075119719721901,24.0,0.19607843137254902,
2015,2,calendar,-1,9,-1.965799247969224,3.066382589577087,24.0,0.0,
2015,2,mpc1,-1,0,-1.3073092564827389,3.036248925819009,20.0,0.0,
2015,2,mpc1,-1,1,-1.3556013175327573,3.1071038570538576,20.0,0.0,
2015,2,mpc1,-1,2,-1.827170849636069,3.1047423335092783,20.0,0.19607843137254902,
2015,2,mpc1,-1,3,-1.381277323839885,3.003819246311737,20.0,0.0,
2015,2,mpc1,-1,4,-1.2504327724513866,3.140114110962365,20.0,0.0,
2015,2,mpc1,-1,5,-1.399257372456942,3.0882378588489723,20.0,0.39215686274509803,
2015,2,mpc1,-1,6,-1.383662211344197,3.0121939223846446,20.0,0.0,
2015,2,mpc1,-1,7,-1.293999466576215,3.104265542754298,20.0,0.0,
2015,2,mpc1,-1,8,-1.378051818118297,3.0864626966478137,20.0,0.19607843137254902,
2015,2,mpc1,-1,9,-1.3487809588700312,3.0487074179037763,20.0,0.0,
2015,2,ppo,0,0,-0.6702006065228695,2.2872803887069826,52.0,0.0,10000.0
2015,2,ppo,0,1,-0.6260590939652805,2.287832458219724,55.0,0.0,10001.0
2015,2,ppo,0,2,-0.7107672469515128,2.2900808977017744,54.0,0.0,10002.0
2015,2,ppo,0,3,-0.6691932013286775,2.2065914700937004,55.0,0.0,10003.0
2015,2,ppo,0,4,-0.6395252828606085,2.371055102577934,52.0,0.0,10004.0
2015,2,ppo,0,5,-0.6716289289633249,2.360582341249908,50.0,0.0,10005.0
2015,2,ppo,0,6,-0.6820706434141979,2.317794412532661,49.0,0.0,10006.0
2015,2,ppo,0,7,-0.5999963597293018,2.381264024266706,50.0,0.0,10007.0
2015,2,ppo,0,8,-0.6546660416433648,2.339864864157908,51.0,0.0,10008.0
2015,2,ppo,0,9,-0.6691871386813205,2.2505684755574475,55.0,0.0,10009.0
2015,2,ppo,1,0,-0.7504944878210874,2.3472290080956126,49.0,0.0,10000.0
2015,2,ppo,1,1,-0.6582936130616764,2.3457385526662113,52.0,0.0,10001.0
2015,2,ppo,1,2,-0.6578612483827603,2.3105294665230156,52.0,0.0,10002.0
2015,2,ppo,1,3,-0.645668228609183,2.2242642944418787,53.0,0.0,10003.0
2015,2,ppo,1,4,-0.6306665762673076,2.38208578399547,51.0,0.0,10004.0
2015,2,ppo,1,5,-0.6823938341874425,2.3102323431331353,54.0,0.0,10005.0
2015,2,ppo,1,6,-0.7904642133830988,2.317806042234053,50.0,0.0,10006.0
2015,2,ppo,1,7,-0.621885837895169,2.318972890646732,53.0,0.0,10007.0
2015,2,ppo,1,8,-0.5999814978858581,2.3024773924781003,53.0,0.0,10008.0
2015,2,ppo,1,9,-0.7032531200695453,2.2345088729805935,55.0,0.0,10009.0
2015,2,ppo,2,0,-0.6872412633315038,2.2950480133436115,52.0,0.0,10000.0
2015,2,ppo,2,1,-0.6618741156356268,2.2918072306653605,55.0,0.0,10001.0
2015,2,ppo,2,2,-0.6450312400914764,2.323971165316703,52.0,0.0,10002.0
2015,2,ppo,2,3,-0.6300392118821453,2.230542510770251,53.0,0.0,10003.0
2015,2,ppo,2,4,-0.646369354535862,2.4128614754753164,50.0,0.0,10004.0
2015,2,ppo,2,5,-0.7061935718206366,2.333368572847007,52.0,0.0,10005.0
2015,2,ppo,2,6,-0.6775182722701923,2.243142312924888,55.0,0.0,10006.0
2015,2,ppo,2,7,-0.6494368862881429,2.2977545656225904,55.0,0.0,10007.0
2015,2,ppo,2,8,-0.6459180904959859,2.3071479660589014,53.0,0.0,10008.0
2015,2,ppo,2,9,-0.7115943880757426,2.3788939360316506,48.0,0.0,10009.0
2015,2,ppo,3,0,-0.6579931837748544,2.288259479719981,52.0,0.0,10000.0
2015,2,ppo,3,1,-0.6174520590183049,2.3462194074162297,51.0,0.0,10001.0
2015,2,ppo,3,2,-0.7163059128057139,2.3633658004809646,51.0,0.0,10002.0
2015,2,ppo,3,3,-0.5952802189836389,2.246297260112636,51.0,0.0,10003.0
2015,2,ppo,3,4,-0.6882274266128413,2.334459333327396,54.0,0.0,10004.0
2015,2,ppo,3,5,-0.7133890963303164,2.328308622460902,52.0,0.0,10005.0
2015,2,ppo,3,6,-0.8264702239605232,2.3821437068587747,47.0,0.0,10006.0
2015,2,ppo,3,7,-0.6355474671498567,2.244544489261717,56.0,0.0,10007.0
2015,2,ppo,3,8,-0.6879849404461537,2.297623573065915,54.0,0.0,10008.0
2015,2,ppo,3,9,-0.7020765492029859,2.247873467276491,54.0,0.0,10009.0
2015,2,ppo,4,0,-0.6650280810463145,2.3496762045412147,49.0,0.0,10000.0
2015,2,ppo,4,1,-0.6128212308350505,2.3012768814801374,54.0,0.0,10001.0
2015,2,ppo,4,2,-0.6124755560847558,2.3589542833911863,49.0,0.0,10002.0
2015,2,ppo,4,3,-0.620956217719674,2.263243746343606,51.0,0.0,10003.0
2015,2,ppo,4,4,-0.6601640253692411,2.395096570053309,51.0,0.0,10004.0
2015,2,ppo,4,5,-0.7132063989245725,2.346835091128614,51.0,0.0,10005.0
2015,2,ppo,4,6,-0.7166952680376143,2.2787823781691867,52.0,0.0,10006.0
2015,2,ppo,4,7,-0.6344367497623292,2.381174233433147,49.0,0.0,10007.0
2015,2,ppo,4,8,-0.6029204959670731,2.3232265828053826,51.0,0.0,10008.0
2015,2,ppo,4,9,-0.6467344732590121,2.2826133912071755,51.0,0.0,10009.0
2015,2,ppo,5,0,-0.7119679402956307,2.272554119326638,53.0,0.0,10000.0
2015,2,ppo,5,1,-0.6181516035952748,2.320966112192126,54.0,0.0,10001.0
2015,2,ppo,5,2,-0.6824664337769889,2.372652253100565,50.0,0.0,10002.0
2015,2,ppo,5,3,-0.6257250200748062,2.22672520774369,54.0,0.0,10003.0
2015,2,ppo,5,4,-0.6891515137930257,2.279962000467086,58.0,0.0,10004.0
2015,2,ppo,5,5,-0.6763316659156203,2.2671693002668656,55.0,0.0,10005.0
2015,2,ppo,5,6,-0.6620330877109922,2.2777430019404785,52.0,0.0,10006.0
2015,2,ppo,5,7,-0.6685358451993201,2.304061131090337,54.0,0.0,10007.0
2015,2,ppo,5,8,-0.6315000071311319,2.312433848515523,52.0,0.0,10008.0
2015,2,ppo,5,9,-0.755214343279842,2.3036445886759833,52.0,0.0,10009.0
2015,2,ppo,6,0,-0.7965751156403357,2.3687425912343874,48.0,0.0,10000.0
2015,2,ppo,6,1,-0.598273309274834,2.3543785659626013,51.0,0.0,10001.0
2015,2,ppo,6,2,-0.6871134920500465,2.310355698025459,54.0,0.0,10002.0
2015,2,ppo,6,3,-0.5943603869546096,2.263731556769737,52.0,0.0,10003.0
2015,2,ppo,6,4,-0.6149308721605484,2.4097223511904,50.0,0.0,10004.0
2015,2,ppo,6,5,-0.64933214707786,2.341138942563047,51.0,0.0,10005.0
2015,2,ppo,6,6,-0.6599064451302865,2.282225843692473,52.0,0.0,10006.0
2015,2,ppo,6,7,-0.6710769077642992,2.3216896262436,54.0,0.0,10007.0
2015,2,ppo,6,8,-0.6491904393816001,2.3666489037272713,51.0,0.0,10008.0
2015,2,ppo,6,9,-0.7441020302305625,2.34169117400791,50.0,0.0,10009.0
2015,2,ppo,7,0,-0.695264359503605,2.3633814097101897,48.0,0.0,10000.0
2015,2,ppo,7,1,-0.6049128375567525,2.409972581855879,48.0,0.0,10001.0
2015,2,ppo,7,2,-0.6660730845661953,2.366496889732852,50.0,0.0,10002.0
2015,2,ppo,7,3,-0.6197544686024812,2.207716189365315,54.0,0.0,10003.0
2015,2,ppo,7,4,-0.5861531505747474,2.3820281430890415,51.0,0.0,10004.0
2015,2,ppo,7,5,-0.636368748282284,2.3547587636124363,50.0,0.0,10005.0
2015,2,ppo,7,6,-0.7061008107749271,2.289404692227054,51.0,0.0,10006.0
2015,2,ppo,7,7,-0.6270299899934413,2.360178964263899,51.0,0.0,10007.0
2015,2,ppo,7,8,-0.6655592740296588,2.314408809155472,53.0,0.0,10008.0
2015,2,ppo,7,9,-0.6916762688009601,2.3306380397803053,50.0,0.0,10009.0
2015,2,ppo,8,0,-0.7416172714424248,2.2925902958888384,52.0,0.0,10000.0
2015,2,ppo,8,1,-0.6610780639577983,2.2698625699442734,56.0,0.0,10001.0
2015,2,ppo,8,2,-0.6896227495901247,2.292414683559046,54.0,0.0,10002.0
2015,2,ppo,8,3,-0.6285227201475679,2.2619393296821833,52.0,0.0,10003.0
2015,2,ppo,8,4,-0.7487340795796678,2.4717592545151845,48.0,0.0,10004.0
2015,2,ppo,8,5,-0.6597585740027392,2.324336721583224,52.0,0.0,10005.0
2015,2,ppo,8,6,-0.6755457005628869,2.2326348080899927,55.0,0.0,10006.0
2015,2,ppo,8,7,-0.6333156113777298,2.3749835271244093,50.0,0.0,10007.0
2015,2,ppo,8,8,-0.6327570776401057,2.3332256050006484,52.0,0.0,10008.0
2015,2,ppo,8,9,-0.7272340038366752,2.266862732049574,54.0,0.0,10009.0
2015,2,ppo,9,0,-0.6744333364202739,2.321825723861065,50.0,0.0,10000.0
2015,2,ppo,9,1,-0.6136848006156672,2.3145382306961118,53.0,0.0,10001.0
2015,2,ppo,9,2,-0.7151683673834175,2.327117204946683,53.0,0.0,10002.0
2015,2,ppo,9,3,-0.6869028827678212,2.2091515953205723,56.0,0.0,10003.0
2015,2,ppo,9,4,-0.6505330236031992,2.3811567141175303,52.0,0.0,10004.0
2015,2,ppo,9,5,-0.6790129644816896,2.301487075850722,54.0,0.0,10005.0
2015,2,ppo,9,6,-0.672077372780923,2.25634781660091,54.0,0.0,10006.0
2015,2,ppo,9,7,-0.615289215998088,2.347729145778673,51.0,0.0,10007.0
2015,2,ppo,9,8,-0.6435260012187322,2.3100665442411814,53.0,0.0,10008.0
2015,2,ppo,9,9,-0.7060063014986586,2.3254240203331995,50.0,0.0,10009.0
2016,2,none,-1,0,-4.640726414133038,3.7251163698722896,0.0,0.9803921568627451,
2016,2,none,-1,1,-5.4035665326960025,3.788143199378567,0.0,1.5686274509803921,
2016,2,none,-1,2,-5.426541496668514,3.7813853646006703,0.0,2.549019607843137,
2016,2,none,-1,3,-5.701107909884532,3.690922756311256,0.0,2.7450980392156867,
2016,2,none,-1,4,-4.988930256232601,3.8196406836620853,0.0,1.3725490196078431,
2016,2,none,-1,5,-5.25376800821567,3.78895589309937,0.0,1.9607843137254901,
2016,2,none,-1,6,-4.646845897890109,3.6772887564334362,0.0,0.5882352941176472,
2016,2,none,-1,7,-5.602646180608101,3.7919715388749555,0.0,2.1568627450980395,
2016,2,none,-1,8,-5.099996320407989,3.7724411184147915,0.0,2.3529411764705888,
2016,2,none,-1,9,-5.169917197891252,3.7432285726158447,0.0,0.7843137254901961,
2016,2,threshold,-1,0,-4.640726414133038,3.7251163698722896,0.0,0.9803921568627451,
2016,2,threshold,-1,1,-5.4035665326960025,3.788143199378567,0.0,1.5686274509803921,
2016,2,threshold,-1,2,-5.426541496668514,3.7813853646006703,0.0,2.549019607843137,
2016,2,threshold,-1,3,-5.701107909884532,3.690922756311256,0.0,2.7450980392156867,
