#{"t_start": 1789360330.108779, "env_id": "None"}
r,l,t
-1.798023,52,1.080849
-1.575893,51,1.106938
-1.636148,52,1.133098
-2.102563,51,1.160053
-1.644,51,1.185794
-1.849951,51,1.209909
-1.484082,51,1.23372
-1.645881,51,1.257816
-1.482665,51,1.283087
-1.576742,52,1.307819
-1.970165,51,1.330596
-1.505307,51,1.353645
-2.237788,51,1.376664
-2.183222,51,1.399546
-1.50703,51,1.422503
-1.861353,51,1.44683
-2.026436,51,1.470689
-1.772591,51,1.497049
-1.639835,51,1.522554
-1.686056,51,1.545596
-1.469736,52,1.57106
-2.876431,51,1.593109
-1.542435,52,1.617534
-1.998356,51,1.640449
-1.957154,51,1.664099
-1.504892,51,1.689864
-1.714645,51,1.713803
-1.946143,51,1.737685
-1.831075,51,1.761458
-1.742406,51,1.785805
-1.647024,51,1.811431
-1.612816,51,1.834148
-1.508621,51,1.857519
-1.921065,51,1.880426
-1.738387,51,1.903098
-1.489759,51,1.927118
-2.037368,51,1.95093
-1.749044,51,1.973485
-1.266043,52,1.99655
-1.870063,51,2.019324
-1.569416,51,2.048133
-1.81296,51,2.071226
-2.180085,51,2.094494
-1.641365,51,2.118699
-1.568475,51,2.141298
-2.088661,51,2.16407
-1.507692,51,2.188191
-2.323566,51,2.210959
-2.329308,51,2.233634
-1.858356,52,2.256601
-1.407701,51,2.279116
-1.560387,51,2.303059
-1.253845,51,2.328507
-2.729807,51,2.351582
-1.691044,51,2.374184
-2.051381,51,2.396847
-2.11379,51,2.420845
-1.436275,51,2.44342
-1.666903,51,2.467226
-1.384524,51,2.489929
-2.02863,51,2.513696
-1.703042,51,2.537552
-1.766908,52,2.560537
-1.708271,51,2.583317
-2.295717,51,2.606611
-1.57387,51,2.628968
-1.648438,51,2.652869
-1.655184,51,2.676579
-1.91366,51,2.700353
-1.617643,51,2.724237
-2.151301,52,2.748384
-1.85059,52,2.774097
-2.107741,51,2.798185
-1.669289,52,2.821798
-2.726782,51,2.845659
-1.655829,51,2.87079
-1.537453,51,2.897605
-1.479304,51,2.925237
-1.409369,52,2.954681
-2.805061,51,2.983681
-2.046599,51,3.012365
-1.323087,51,3.049557
-1.740186,52,3.080132
-1.580914,52,3.109476
-1.434093,51,3.138288
-1.836018,51,3.167451
-1.18805,51,3.197848
-1.408106,51,3.227396
-1.626107,51,3.254513
-1.433942,51,3.281602
-1.630726,51,3.308341
-1.977418,51,3.336648
-1.643816,51,3.362483
-1.706234,51,3.390519
-1.601577,51,3.415908
-1.999883,51,3.445592
-2.237893,51,3.473315
-1.594286,51,3.498692
-2.172789,52,3.525144
-1.912151,51,3.552973
-1.266578,51,3.579566
-2.549851,51,3.606645
-1.866281,51,3.631781
-1.433707,52,3.66142
-1.332218,52,3.690152
-1.715197,51,3.71789
-1.823101,51,3.747049
-1.600297,51,3.771243
-2.343466,51,3.796913
-1.582001,52,3.823996
-1.737126,51,3.848951
-1.968061,51,3.876106
-1.691981,51,3.901042
-1.617973,51,3.928839
-1.606172,51,3.954752
-1.323192,52,3.9798
-2.042101,51,4.006101
-1.976348,51,4.03199
-1.540877,52,4.058522
-1.662772,51,4.082858
-1.535515,51,4.109248
-1.792752,51,4.135372
-1.720407,51,4.16058
-1.64428,51,4.185125
-1.856993,51,4.212225
-1.414035,51,4.237033
-2.425372,51,4.263639
-2.207788,51,4.288772
-1.630666,51,4.314504
-1.791448,52,4.340275
-2.174741,51,4.36497
-1.474074,52,4.392614
-1.585316,51,4.41678
-1.722411,51,4.441898
-1.531771,51,4.467608
-1.442864,51,4.493312
-1.681777,52,4.520364
-1.508964,52,4.546641
-1.486381,51,4.571084
-1.840219,51,4.597078
-1.46022,51,4.622198
-2.021483,51,4.64935
-2.158865,51,4.674642
-1.767581,51,4.698721
-2.805866,51,4.725267
-1.863142,51,4.750794
-1.803807,51,4.778053
-1.628009,52,4.802656
-1.900167,51,4.829273
-1.680434,52,4.854338
-1.679326,51,4.879943
-2.171297,51,4.908064
-1.855436,51,4.932786
-1.732248,51,4.957856
-1.657451,51,4.984362
-1.648716,51,5.011639
-1.706084,51,5.037706
-1.625424,51,5.063703
-1.736871,51,5.089955
-1.530804,51,5.114717
-2.392206,51,5.140273
-1.75638,51,5.165987
-1.668075,51,5.193452
-1.691583,51,5.21816
-2.068834,52,5.244957
-1.36481,51,5.269943
-1.4457,51,5.295423
-1.617535,51,5.323695
-2.25929,51,5.34806
-1.753376,51,5.372205
-1.996291,51,5.397665
-1.504016,51,5.423633
-1.826952,51,5.451062
-2.390392,51,5.476886
-1.763617,51,5.502139
-1.367153,52,5.528436
-1.936858,51,5.554608
-1.658569,52,5.581869
-1.5075,51,5.607397
-1.878189,51,5.633169
-2.115611,52,5.65925
-1.688985,51,5.685147
-1.443765,51,5.712751
-1.300762,51,5.738581
-1.575416,52,5.765069
-1.531022,51,5.790738
-1.47382,51,5.816835
-1.73163,51,5.842815
-1.681912,51,5.867433
-2.122353,52,5.893398
-1.547929,51,5.918458
-1.868913,51,5.943932
-1.95518,51,5.970103
-2.06195,51,5.995801
-1.509574,51,6.021207
-2.071206,51,6.047802
-1.50442,51,6.074223
-2.098867,51,6.101314
-1.975486,51,6.126561
-1.719363,51,6.151749
-1.60604,51,6.177069
-1.755008,51,6.201468
-1.615496,51,6.229798
-1.540402,52,6.255894
-1.79628,51,6.279264
-2.0138,52,6.303835
-1.707909,52,6.328097
-1.652297,52,6.352916
-2.167048,51,6.375744
-1.839786,51,6.399434
-1.694246,52,6.422821
-1.798855,52,6.447248
-1.763018,52,6.470807
-1.9724,51,6.494713
-1.464294,51,6.518072
-1.598285,51,6.540758
-1.701614,51,6.565863
-1.616953,51,6.590945
-1.253795,51,6.615864
-1.633069,52,6.639568
-1.557993,51,6.663453
-1.968491,51,6.687874
-1.733808,51,6.710818
-1.583746,51,6.733439
-1.88375,52,6.757344
-1.587402,51,6.780417
-1.803535,51,6.804503
-2.139124,51,6.827736
-1.59794,51,6.851159
-1.844842,51,6.87568
-1.752011,51,6.899631
-1.33654,51,6.925012
-1.658812,51,6.953236
-1.346628,51,6.982848
-1.433343,51,7.008764
-1.958959,51,7.034579
-1.805701,51,7.05831
-1.630982,51,7.084463
-2.345273,51,7.108464
-1.600274,51,7.134821
-1.575252,51,7.157634
-1.785875,51,7.180536
-1.320362,51,7.206816
-1.552229,51,7.230785
-1.680309,51,7.253819
-1.575496,51,7.277006
-1.485672,51,7.301355
-1.846596,51,7.327478
-1.564731,52,7.3511
-2.434446,51,7.373643
-1.286678,51,7.396687
-2.833805,51,7.421624
-1.52803,51,7.444897
-1.744258,51,7.466233
-1.900481,51,7.488951
-1.82425,51,7.512112
-1.466554,51,7.535168
-1.461539,51,7.557961
-1.807382,51,7.582318
-2.261309,51,7.606238
-1.599746,51,7.629514
-2.412103,51,7.656447
-1.634721,51,7.680805
-1.821434,51,7.706776
-1.967807,51,7.730596
-1.512895,51,7.754875
-2.00943,52,7.779245
-1.507246,51,7.803074
-1.609684,51,7.828758
-1.548809,51,7.852715
-2.172567,51,7.875575
-1.609477,51,7.899761
-1.722092,51,7.92272
-2.476755,51,7.948099
-1.707585,52,7.972544
-1.707307,52,7.996947
-2.937137,51,8.019967
-1.722978,51,8.043801
-1.596842,51,8.068286
-1.766569,52,8.092359
-1.73658,51,8.115681
-1.397281,51,8.139088
-1.657527,51,8.162205
-1.612895,52,8.190553
-1.600887,51,8.217327
-1.851651,51,8.244218
-1.513452,52,8.269667
-2.094153,51,8.293869
-1.583389,51,8.319332
-1.853677,52,8.343711
-1.530206,51,8.367529
-1.6698,51,8.39161
-1.606812,51,8.415647
-1.667726,51,8.441629
-1.500099,51,8.46539
-2.383695,51,8.488762
-1.625694,51,8.512736
-1.825198,51,8.536743
-1.993273,51,8.561823
-1.386075,51,8.585783
-1.928219,52,8.609801
-1.721598,51,8.633467
-1.455686,51,8.657079
-1.552465,51,8.681948
-1.926296,51,8.709404
-1.664607,51,8.735275
-1.538289,51,8.759996
-1.996478,51,8.784517
-1.867811,51,8.810516
-1.878686,51,8.832996
-2.043901,52,8.856888
-1.565945,52,8.879939
-2.053501,51,8.902972
-1.675724,51,8.926855
-1.643921,51,8.950235
-1.481518,51,8.975882
-1.831154,52,8.99926
-2.184497,51,9.022351
-2.180884,51,9.047346
-2.189313,51,9.070708
-1.418796,51,9.093936
-1.642957,51,9.118342
-1.649817,51,9.141413
-1.501891,51,9.165985
-1.852871,51,9.188306
-1.718794,51,9.212825
-1.791443,51,9.236509
-1.429253,51,9.261107
-2.488769,51,9.286156
-1.816974,51,9.312922
-1.710952,51,9.336046
-1.414689,52,9.36025
-1.840821,51,9.384409
-2.039435,51,9.409011
-1.446984,51,9.436732
-1.662212,51,9.460843
-1.453945,51,9.485173
-1.810145,52,9.512072
-1.932844,51,9.538551
-1.529759,52,9.566279
-1.110363,51,9.590956
-1.446991,51,9.615177
-1.571332,51,9.63975
-1.835332,51,9.663657
-1.913767,51,9.689592
-1.439413,51,9.713709
-1.351807,51,9.737849
-1.89592,52,9.762554
-1.564788,52,9.789197
-2.05466,51,9.814058
-2.087571,52,9.839417
-1.600946,51,9.864284
-1.597053,52,9.890442
-1.724588,51,9.918349
-1.988461,51,9.947445
-1.700508,51,9.974206
-1.57857,51,10.004224
-1.228373,51,10.036082
-1.66091,51,10.067951
-1.847786,51,10.095018
-2.240407,51,10.12215
-1.841111,51,10.148383
-1.506127,51,10.176693
-2.0414,51,10.205072
-1.519413,52,10.238346
-1.822785,51,10.264696
-1.748952,52,10.290414
-1.443344,51,10.315173
-1.626345,51,10.342945
-1.448903,51,10.36691
-1.510662,51,10.391921
-1.973532,51,10.41629
-1.086358,51,10.440226
-1.484046,51,10.464411
-1.658336,51,10.492431
-1.478572,52,10.517272
-1.397246,51,10.54313
-1.506514,51,10.56868
-1.759275,51,10.593217
-1.477962,52,10.620364
-1.511924,51,10.646443
-1.888776,51,10.671476
-1.613273,51,10.698379
-1.506912,51,10.72614
-1.676354,51,10.752257
-1.537246,51,10.776442
-1.150293,51,10.800483
-1.236886,52,10.825444
-1.784197,51,10.850242
-1.431441,51,10.876579
-2.163457,52,10.901698
-1.1775,52,10.926386
-1.424599,51,10.952819
-1.720297,51,10.98205
-1.261789,51,11.008439
-1.509663,51,11.03399
-1.632025,51,11.059314
-1.595136,51,11.083482
-1.475274,52,11.109332
-1.542159,52,11.133786
-1.71437,52,11.158052
-2.278052,51,11.18188
-1.590338,52,11.207993
-1.391545,51,11.236358
-1.402661,51,11.260327
-1.475634,51,11.284167
-1.662396,51,11.307906
-1.919341,51,11.331661
-2.012381,51,11.356863
-1.396698,51,11.380691
-1.485875,52,11.40594
-1.812622,51,11.429616
-1.788407,51,11.453488
-1.613724,51,11.478802
-1.923869,51,11.502575
-1.646688,51,11.526367
-1.221449,51,11.550052
-2.151339,51,11.573678
-1.429532,51,11.59872
-1.795623,51,11.622388
-2.019391,51,11.646096
-1.383583,51,11.668928
-1.516579,52,11.692791
-1.558823,51,11.716619
-1.32616,52,11.739517
-1.410884,51,11.762073
-1.742426,51,11.784832
-1.419402,51,11.807898
-1.581905,51,11.83161
-1.611134,51,11.854412
-1.967125,52,11.877567
-1.496516,52,11.900728
-1.622894,51,11.925906
-1.922959,52,11.950723
-2.037791,51,11.974594
-1.416403,51,11.997316
-2.379591,51,12.01994
-1.861839,51,12.043879
-1.550853,51,12.067849
-1.339112,51,12.091571
-1.747526,51,12.114157
-1.505654,51,12.136646
-1.315885,52,12.159689
-1.729051,51,12.183719
-1.252836,51,12.207198
-2.744192,51,12.229651
-1.972768,51,12.252325
-1.411479,51,12.276644
-1.751801,52,12.30165
-1.63022,51,12.325515
-1.838954,52,12.349606
-1.901905,51,12.373298
-2.088916,51,12.397052
-1.826055,51,12.422296
-2.517193,51,12.446081
-1.159089,52,12.472298
-1.663822,51,12.496347
-1.287932,51,12.520793
-1.940279,51,12.54899
-1.791263,51,12.575945
-2.075966,51,12.60296
-1.550292,51,12.627602
-1.647698,51,12.651572
-1.305752,51,12.676716
-1.711238,51,12.700702
-1.453287,51,12.726455
-1.733461,51,12.75233
-1.724493,51,12.777755
-1.921842,52,12.80527
-1.277117,51,12.830586
-1.509323,51,12.855961
-1.58096,51,12.882137
-1.406593,51,12.907244
-1.281613,51,12.932881
-1.992969,51,12.965244
-1.654556,51,12.996604
-1.720599,51,13.027757
-1.448007,51,13.058933
-1.52922,51,13.088196
-1.438065,51,13.117683
-1.982126,51,13.14291
-1.593813,51,13.169004
-1.818303,51,13.196752
-1.556208,51,13.221135
-1.490758,51,13.246834
-1.461812,51,13.271003
-1.425633,51,13.29514
-2.095723,51,13.320064
-1.531517,51,13.344462
-1.795101,51,13.368541
-1.226097,51,13.394191
-1.621307,51,13.418086
-1.551452,51,13.442121
-1.579121,51,13.46743
-1.575416,51,13.494462
-1.259188,51,13.520336
-1.814656,51,13.547595
-1.535047,51,13.573541
-1.390212,52,13.598092
-1.413618,51,13.622064
-1.424537,51,13.647303
-1.961131,51,13.670572
-1.442026,51,13.693697
-1.77652,51,13.717989
-1.355548,51,13.740032
-1.328911,51,13.764233
-1.453628,51,13.787286
-1.470176,51,13.810293
-1.520857,52,13.835318
-1.702219,52,13.86111
-1.513133,51,13.886581
-1.953957,52,13.909835
-1.519657,51,13.932845
-1.983847,51,13.955798
-1.784757,51,13.978753
-2.637673,51,14.002756
-1.550636,51,14.026635
-2.174325,51,14.051689
-1.596186,51,14.07658
-1.666015,51,14.100121
-2.055534,51,14.124447
-1.832831,51,14.148184
-1.812722,51,14.171948
-1.312536,51,14.194536
-1.250015,51,14.218347
-1.795646,52,14.242522
-1.753383,51,14.265211
-1.405252,51,14.288734
-1.458567,51,14.311209
-1.566373,51,14.336865
-1.395387,52,14.36273
-2.567135,51,14.385807
-2.127089,51,14.408562
-1.704968,51,14.432047
