#{"t_start": 1789362475.116283, "env_id": "None"}
r,l,t
-7.202295,52,1.669008
-6.51,51,1.761424
-6.764803,51,1.85479
-6.966117,51,1.956266
-6.669343,51,2.054766
-6.897785,51,2.152786
-6.762498,51,2.248677
-7.146426,51,2.346651
-7.02,51,2.443006
-6.623201,51,2.536906
-6.777782,51,2.635835
-6.707464,51,2.729585
-6.367845,51,2.822943
-7.17262,51,2.918483
-6.540725,51,3.011344
-6.627934,51,3.108909
-7.09505,51,3.204236
-6.413405,51,3.298049
-7.283382,51,3.393216
-6.920633,51,3.490865
-7.032896,51,3.600566
-6.838573,51,3.708369
-7.143558,51,3.818169
-6.947078,51,3.924901
-6.442574,52,4.059801
-6.600965,52,4.16629
-6.748482,51,4.26296
-6.263721,51,4.353176
-7.013775,51,4.441895
-6.432163,51,4.530642
-7.156475,51,4.619376
-6.541226,51,4.706883
-6.576851,51,4.783965
-6.792425,51,4.860491
-6.712229,51,4.944724
-6.742172,51,5.036191
-6.879736,51,5.118996
-6.992233,51,5.198603
-7.031338,51,5.274718
-6.58226,51,5.34982
-6.986668,51,5.42743
-7.327974,51,5.506355
-6.095962,51,5.581932
-6.509687,51,5.656314
-7.047071,52,5.73245
-7.04,52,5.807782
-7.004109,51,5.885187
-6.674535,51,5.965608
-6.823889,51,6.044888
-6.462435,51,6.121456
-6.912445,51,6.196922
-6.690605,51,6.274322
-6.579985,51,6.348099
-6.97,51,6.42947
-7.174264,51,6.535423
-6.69,51,6.626504
-6.795773,51,6.715063
-6.601069,52,6.805138
-6.848784,51,6.890874
-6.536677,51,6.97819
-6.806834,51,7.065196
-6.945192,52,7.156637
-7.286809,51,7.261246
-7.178038,51,7.360486
-6.229013,51,7.452459
-6.659268,51,7.539476
-7.017451,51,7.632038
-6.864452,51,7.723728
-7.061403,51,7.811251
-7.180974,51,7.899021
-6.810533,51,7.991424
-6.85,52,8.080154
-6.877614,51,8.171201
-6.354174,51,8.272403
-6.514766,51,8.36657
-6.55,51,8.46015
-7.25,51,8.558151
-6.968457,51,8.652165
-6.981851,51,8.739629
-6.31284,51,8.839631
-7.222206,51,8.931383
-6.741932,51,9.019516
-6.940049,51,9.108307
-6.766926,51,9.196878
-6.919079,51,9.287307
-6.71,51,9.378873
-6.93,51,9.475834
-6.820272,51,9.570744
-6.67,51,9.669229
-6.472083,51,9.760273
-6.96,52,9.860055
-6.657922,51,9.954197
-6.710736,51,10.067701
-6.853062,51,10.173974
-6.595172,51,10.259904
-6.921724,51,10.362948
-7.256619,51,10.457951
-6.877239,51,10.543757
-6.601123,51,10.630916
-7.652488,52,10.717707
-6.922103,51,10.803867
-6.165418,51,10.887478
-6.460259,51,10.974695
-6.477395,51,11.063037
-6.674843,51,11.149967
-6.89,51,11.233061
-6.81605,51,11.315591
-7.069423,51,11.407663
-6.421513,51,11.496444
-6.512158,51,11.581057
-6.96,51,11.663788
-6.606158,51,11.746855
-7.32536,51,11.842932
-6.708393,51,11.942804
-7.075947,52,12.119535
-5.826967,51,12.284142
-6.624622,51,12.380511
-6.97106,51,12.470597
-6.730712,51,12.558693
-6.6963,51,12.646401
-6.18019,51,12.729631
-6.103692,51,12.81383
-6.380657,51,12.89678
-7.089935,52,12.981089
-7.538259,51,13.068431
-6.840346,51,13.156218
-7.34,51,13.242833
-6.498611,51,13.325374
-6.704152,52,13.407754
-6.846442,51,13.495644
-6.810022,51,13.578977
-6.694358,51,13.662592
-6.663851,51,13.745585
-6.94052,51,13.829913
-7.26565,51,13.916465
-6.920865,51,14.001596
-6.547612,51,14.085529
-6.519325,51,14.168384
-7.190632,51,14.251097
-6.357319,51,14.336756
-6.89,51,14.42159
-6.64,51,14.517755
-6.78,52,14.607981
-6.7,51,14.692408
-6.753048,51,14.783226
-6.72,51,14.90618
-6.654894,51,15.026276
-6.829985,51,15.145132
-7.001645,51,15.264394
-6.632073,51,15.37109
-6.95,51,15.486301
-6.663391,51,15.60521
-6.919669,52,15.694064
-6.970573,51,15.774739
-6.81,51,15.856294
-7.156078,52,15.942093
-6.522873,51,16.024638
-6.320044,51,16.107827
-6.510725,51,16.189935
-6.340689,51,16.272271
-6.450729,51,16.35519
-6.783221,51,16.437636
-6.420375,51,16.520232
-7.161642,51,16.600275
-6.563758,51,16.683454
-6.737259,51,16.767548
-6.530849,51,16.848263
-6.571216,52,16.929788
-6.722076,51,17.010029
-6.473768,51,17.090805
-5.662778,51,17.175103
-6.618991,51,17.257789
-6.691214,51,17.340211
-6.142126,51,17.420335
-6.354771,51,17.501689
-6.86287,52,17.58593
-6.606637,51,17.667393
-7.07201,52,17.751746
-6.590025,52,17.850303
-6.64009,52,17.94152
-6.64101,51,18.029785
-6.49,51,18.118012
-6.08229,51,18.205544
-6.231345,51,18.292166
-6.500742,52,18.382468
-6.518961,51,18.467596
-6.201576,51,18.550698
-6.527685,51,18.633225
-6.561057,51,18.71651
-6.785218,51,18.80158
-6.54,51,18.887915
-6.384013,51,18.970917
-6.25664,51,19.050044
-6.854541,51,19.132365
-6.551761,51,19.214064
