#{"t_start": 1789363168.0024068, "env_id": "None"}
r,l,t
-2.71214,52,0.914278
-2.681698,51,0.926871
-2.841209,51,0.939116
-2.609991,51,0.951314
-2.736642,51,0.963476
-2.658155,51,0.976732
-2.70493,51,0.987768
-2.757552,51,0.998646
-2.760845,51,1.010093
-2.768758,51,1.021751
-2.670572,51,1.032628
-2.784656,51,1.043427
-2.750345,51,1.055428
-2.703092,51,1.066446
-2.639977,51,1.078657
-2.578775,51,1.090065
-2.67823,51,1.100925
-2.765169,51,1.111948
-2.676568,51,1.123942
-2.695773,51,1.134772
-2.804175,51,1.145531
-2.598151,51,1.15707
-2.786702,51,1.168451
-2.755492,51,1.179186
-2.704694,52,1.190347
-2.85816,52,1.202556
-2.77581,51,1.213328
-2.730633,51,1.225085
-2.843876,51,1.237135
-2.822333,51,1.249157
-2.697379,51,1.261195
-2.768036,51,1.273202
-2.886808,51,1.284847
-2.772041,51,1.295549
-2.664942,51,1.306325
-2.800511,51,1.318198
-2.754653,51,1.330212
-2.665671,51,1.341409
-2.749344,51,1.35274
-2.753713,51,1.364946
-2.793225,51,1.375741
-2.716781,51,1.38648
-2.664722,51,1.398397
-2.791907,51,1.409391
-2.951572,52,1.421269
-2.864917,52,1.433559
-2.780926,51,1.445537
-2.816307,51,1.457039
-2.74968,51,1.467778
-2.768377,51,1.478578
-2.854558,51,1.490513
-2.529304,51,1.502523
-2.825504,51,1.513666
-2.765314,51,1.525114
-2.741716,51,1.536578
-2.807876,51,1.547498
-2.680736,51,1.558276
-2.80847,52,1.570534
-2.698967,51,1.581376
-2.484712,51,1.593085
-2.71618,51,1.604289
-2.760571,52,1.615274
-2.726693,51,1.626251
-2.586893,51,1.638067
-2.631078,51,1.648849
-2.499708,51,1.659586
-2.690764,51,1.671066
-2.844358,51,1.682385
-2.745085,51,1.69363
-2.632416,51,1.705432
-2.585014,51,1.716309
-2.568371,52,1.728593
-2.661529,51,1.740659
-2.623095,51,1.752623
-2.593831,51,1.764651
-2.571072,51,1.77698
-2.709822,51,1.789394
-2.733081,51,1.800786
-2.671367,51,1.812502
-2.873229,51,1.824727
-2.672072,51,1.836923
-2.471611,51,1.848811
-2.621175,51,1.859639
-2.628209,51,1.871674
-2.665837,51,1.8838
-2.933788,51,1.89592
-2.609067,51,1.907135
-2.7039,51,1.918571
-2.633252,51,1.930149
-2.723204,51,1.940941
-2.830515,52,1.951986
-2.598178,51,1.96278
-2.910467,51,1.974634
-2.631453,51,1.985849
-2.504021,51,1.997218
-2.825021,51,2.008731
-2.683697,51,2.019775
-3.005548,51,2.031656
-2.66559,51,2.042457
-2.692204,52,2.053514
-2.67231,51,2.065209
-2.743879,51,2.076448
-2.639963,51,2.0873
-2.669416,51,2.098292
-2.749005,51,2.1108
-2.730001,51,2.121809
-2.641483,51,2.133861
-2.840596,51,2.144948
-2.811613,51,2.156674
-2.716713,51,2.168118
-2.615566,51,2.179422
-2.672367,51,2.191198
-2.701653,51,2.202092
-2.727825,51,2.212879
-2.815349,52,2.22498
-2.727433,51,2.236189
-2.734841,51,2.246983
-2.884994,51,2.258031
-2.66457,51,2.268973
-2.793743,51,2.28105
-2.877691,51,2.291856
-2.578573,51,2.302626
-2.77637,51,2.314154
-2.854908,52,2.32583
-2.818631,51,2.336712
-2.651837,51,2.347708
-2.725793,51,2.359759
-2.60064,51,2.370601
-2.693592,52,2.381718
-2.817625,51,2.39326
-2.74846,51,2.404644
-2.687851,51,2.415473
-2.558039,51,2.426351
-2.70742,51,2.438394
-2.833652,51,2.449321
-2.690859,51,2.461147
-2.722953,51,2.472432
-2.739165,51,2.484496
-2.644279,51,2.496134
-2.656241,51,2.507006
-2.706679,51,2.517866
-2.536009,51,2.52996
-2.788482,52,2.541157
-2.722331,51,2.552011
-2.712217,51,2.563481
-2.753633,51,2.575069
-2.636673,51,2.585873
-2.717704,51,2.596679
-2.699023,51,2.608736
-2.793288,51,2.619609
-2.812722,51,2.631255
-2.660833,51,2.642617
-2.903529,52,2.654143
-2.797346,51,2.666224
-2.801625,51,2.678212
-2.728278,52,2.690613
-2.607205,51,2.702951
-2.591887,51,2.71373
-2.977667,51,2.72557
-2.890188,51,2.738085
-2.657739,51,2.750364
-2.631501,51,2.761669
-2.792232,51,2.773038
-2.506942,51,2.785115
-2.853931,51,2.797243
-2.797456,51,2.809256
-2.779594,51,2.821354
-2.584955,52,2.833637
-2.802635,51,2.845706
-2.972659,51,2.857777
-2.78189,51,2.869798
-2.737326,51,2.881922
-2.714065,51,2.894017
-2.829238,51,2.907391
-2.621473,51,2.920302
-2.701327,52,2.933591
-2.730025,51,2.945994
-2.541332,52,2.958469
-2.61891,52,2.969614
-2.718005,52,2.980988
-2.716003,51,2.992971
-2.549471,51,3.00379
-2.669801,51,3.014678
-2.654433,51,3.025435
-3.112336,52,3.037194
-2.928397,51,3.048684
-2.689947,51,3.059724
-2.716667,51,3.071594
-2.594455,51,3.082408
-2.718714,51,3.094314
-2.67479,51,3.105318
-2.640652,51,3.116118
-2.721671,51,3.126949
-2.709,51,3.137923
-2.736379,51,3.14988
-2.883753,51,3.195961
-2.610638,51,3.260727
-2.6541,51,3.320796
-2.605387,51,3.384324
-2.683492,51,3.449081
-2.616942,52,3.514015
-2.604836,51,3.575684
-2.717546,51,3.634228
-2.758298,51,3.699184
-2.751105,52,3.761666
-2.764249,51,3.823559
-2.610987,51,3.884599
-2.734654,51,3.944698
-2.687516,51,4.006787
-2.656861,51,4.067995
-2.665628,52,4.129423
-2.639447,52,4.190725
-2.558752,51,4.252617
-2.713701,51,4.31032
-2.563758,51,4.370814
-2.745709,51,4.43333
-2.792037,52,4.495111
-2.798003,51,4.556055
-2.923505,51,4.613003
-2.605593,51,4.674724
-3.017272,51,4.735921
-2.716844,51,4.796954
-2.599444,51,4.855958
-2.744139,51,4.916843
-2.635834,51,4.979299
-2.799776,51,5.040779
-3.070336,51,5.098054
-2.644535,52,5.160768
-2.673367,52,5.222675
-2.752636,52,5.284628
-2.695843,51,5.346795
-2.73527,52,5.408912
-2.575257,51,5.470415
-2.684968,51,5.530787
-2.739495,51,5.589271
-2.876481,51,5.65139
-2.507859,51,5.713116
-2.710467,51,5.775196
-2.753697,51,5.833664
-2.836597,51,5.895742
-2.70984,51,5.957009
-2.699038,52,6.019576
-2.782215,51,6.082844
-2.798247,51,6.140977
-2.923669,52,6.204638
-2.534607,51,6.266602
-2.659223,51,6.328993
-2.769942,52,6.391491
-2.538249,51,6.453137
-2.879861,51,6.512825
-2.676132,51,6.575595
-2.959359,51,6.639001
-2.748976,52,6.701725
-2.617495,51,6.764998
-2.636116,52,6.82921
-2.976382,51,6.887949
-2.651482,51,6.950298
-2.696046,51,7.013047
-2.640274,51,7.074766
-2.646999,51,7.134183
-2.686646,51,7.196708
-2.746204,52,7.259004
-2.641987,51,7.321781
-2.672318,51,7.384201
-2.826426,51,7.442053
-2.690145,51,7.504473
-2.546113,51,7.566876
-2.68377,51,7.630046
-2.9653,51,7.689457
-2.788596,51,7.752522
-2.543955,51,7.814684
-2.856497,51,7.879078
-2.846802,51,7.939044
-2.741058,51,8.002359
-2.795634,52,8.065521
-2.771494,51,8.127998
-2.948327,51,8.191364
-2.837164,51,8.25047
-2.602125,51,8.312898
-2.917304,52,8.375534
-2.665001,51,8.438346
-2.941558,51,8.501429
-2.740492,51,8.559552
-3.640471,51,8.627158
-2.513966,51,8.690252
-2.755042,51,8.754283
-2.862781,51,8.81434
-2.755375,51,8.876914
-2.869722,51,8.939613
-2.800799,51,9.00274
-2.610294,51,9.061951
-2.684094,51,9.125518
-2.771947,52,9.190362
-2.744147,51,9.252931
-2.514781,51,9.315041
-2.802862,51,9.375031
-2.580234,51,9.438083
-2.626714,51,9.50126
-2.70374,51,9.566192
-2.739411,51,9.625163
-2.715682,51,9.688187
-2.690301,51,9.751649
-2.728426,51,9.815664
-2.755961,52,9.880565
-2.625444,51,9.939157
-2.67933,51,10.00261
-2.636888,51,10.065506
-2.637885,51,10.127761
-2.722546,51,10.189016
-2.676441,51,10.25173
-2.731896,51,10.314214
-2.78667,51,10.376397
-2.660118,51,10.437056
-2.888444,51,10.500087
-2.693292,51,10.562901
-2.878627,52,10.626224
-2.752822,51,10.689714
-2.815953,52,10.752262
-2.625146,51,10.811743
-2.917711,52,10.876259
-2.790039,51,10.939105
-2.674213,51,11.000961
-2.64244,51,11.06413
-2.652488,51,11.123234
-2.590028,51,11.187284
-2.933972,51,11.249197
-2.911163,51,11.312655
