#{"t_start": 1787845796.798744, "env_id": "None"}
r,l,t
-3.657295,52,0.704682
-3.315,51,0.742868
-3.444404,51,0.780279
-3.477541,51,0.817931
-3.409276,51,0.856244
-3.357066,51,0.89388
-3.545,51,0.931325
-3.554277,51,0.968748
-3.57,51,1.006831
-3.480241,51,1.044171
-3.41,51,1.081296
-3.435005,51,1.118582
-3.230145,51,1.158949
-3.482887,51,1.19691
-3.318637,51,1.234334
-3.526808,51,1.271341
-3.467398,51,1.308381
-3.258197,51,1.345329
-3.69,51,1.382214
-3.478894,51,1.419126
-3.385,51,1.456088
-3.355297,51,1.493584
-3.511599,51,1.531367
-3.43,51,1.568664
-3.270948,52,1.606653
-3.326295,52,1.64477
-3.32006,51,1.681764
-3.14,51,1.718825
-3.658373,51,1.755844
-3.066813,51,1.792849
-3.59,51,1.829887
-3.42,51,1.867447
-3.280085,51,1.90439
-3.540909,51,1.941535
-3.475,51,1.979079
-3.435623,51,2.016113
-3.445796,51,2.052961
-3.635014,51,2.089867
-3.47443,51,2.126754
-3.404819,51,2.163709
-3.47,51,2.430859
-3.593755,51,2.468054
-3.170097,51,2.505026
-3.340582,51,2.541895
-3.4,52,2.579529
-3.554137,52,2.617139
-3.640034,51,2.653872
-3.350105,51,2.690959
-3.317294,51,2.72885
-3.315,51,2.76591
-3.395,51,2.802847
-3.410952,51,2.839825
-3.375092,51,2.876768
-3.391534,51,2.913684
-3.418794,51,2.950584
-3.38,51,2.988064
-3.495409,51,3.025144
-3.455172,52,3.062928
-3.484697,51,3.099793
-3.455869,51,3.13806
-3.353328,51,3.174911
-3.570379,52,3.212465
-3.500912,51,3.249456
-3.68,51,3.286284
-3.085,51,3.323008
-3.395994,51,3.35972
-3.521734,51,3.396551
-3.29,51,3.433356
-3.383043,51,3.470114
-3.508797,51,3.506818
-3.328179,51,3.543554
-3.623318,52,3.581585
-3.300217,51,3.618933
-3.30849,51,3.656031
-3.276271,51,3.693112
-3.239718,51,3.730198
-3.545,51,3.767278
-3.67,51,3.804366
-3.368502,51,3.841442
-3.398276,51,3.878427
-3.579949,51,4.119366
-3.308829,51,4.156435
-3.509859,51,4.193363
-3.386087,51,4.230753
-3.474485,51,4.268432
-3.264491,51,4.305393
-3.457951,51,4.342339
-3.541469,51,4.379169
-3.455,51,4.415965
-3.298697,51,4.452801
-3.568605,52,4.491214
-3.260384,51,4.528545
-3.28076,51,4.565643
-3.575296,51,4.60304
-3.425808,51,4.640047
-3.470631,51,4.677163
-3.538885,51,4.714408
-3.533842,51,4.751407
-3.275005,51,4.78849
-3.856839,52,4.826175
-3.583369,51,4.863119
-2.98,51,4.900099
-3.455,51,4.936974
-3.304342,51,4.973924
-3.405182,51,5.010867
-3.351177,51,5.047917
-3.404509,51,5.084759
-3.455095,51,5.121645
-3.38,51,5.158978
-3.331076,51,5.195929
-3.377726,51,5.232895
-3.410261,51,5.269721
-3.661811,51,5.306501
-3.431166,51,5.34372
-3.521789,52,5.38144
-2.967949,51,5.418413
-3.290915,51,5.455192
-3.547385,51,5.492072
-3.554553,51,5.528842
-3.485289,51,5.565736
-3.12,51,5.808598
-3.201422,51,5.845865
-3.34,51,5.882979
-3.49,52,5.920717
-3.719597,51,5.957911
-3.414108,51,5.994877
-3.655,51,6.031962
-3.220631,51,6.068878
-3.369291,52,6.106667
-3.474192,51,6.143657
-3.42,51,6.180566
-3.433631,51,6.217458
-3.385103,51,6.254842
-3.484645,51,6.292058
-3.705,51,6.329109
-3.34,51,6.36602
-3.356724,51,6.402917
-3.330138,51,6.439811
-3.680006,51,6.476855
-3.625737,51,6.513924
-3.567082,51,6.550741
-3.247994,51,6.58753
-3.477905,52,6.625374
-3.355912,51,6.662308
-3.655952,51,6.699063
-3.328652,51,6.735894
-3.142654,51,6.772717
-3.457784,51,6.809445
-3.601423,51,6.846237
-3.27861,51,6.883022
-3.345169,51,6.919759
-3.246729,51,6.956477
-3.446954,52,6.99411
-3.459138,51,7.031006
-3.37,51,7.068251
-3.625499,52,7.106179
-3.355218,51,7.143183
-3.080415,51,7.18006
-3.218075,51,7.216991
-3.225767,51,7.254374
-3.322974,51,7.493216
-3.363075,51,7.530299
-3.25,51,7.56742
-3.687481,51,7.604445
-3.247629,51,7.6415
-3.240365,51,7.678731
-3.320397,51,7.715698
-3.250033,52,7.753385
-3.36821,51,7.790217
-3.337905,51,7.826988
-2.998351,51,7.86373
-3.385,51,7.900553
-3.466153,51,7.93738
-3.170543,51,7.97691
-3.540595,51,8.014493
-3.431644,52,8.052306
-3.402962,51,8.089536
-3.391325,52,8.127218
-3.315,52,8.164815
-3.584124,52,8.202365
-3.261191,51,8.239546
-3.204547,51,8.276684
-3.045397,51,8.313678
-3.285667,51,8.350772
-3.03,52,8.388721
-3.190691,51,8.425693
-3.149142,51,8.462652
-3.355,51,8.4996
-3.228301,51,8.536405
-3.335,51,8.573112
-3.282348,51,8.609761
-3.40159,51,8.646555
-3.145,51,8.683285
-3.39731,51,8.719909
-3.43264,51,8.756619
-3.393414,51,8.793264
-3.365026,51,8.829908
-3.471819,51,8.866595
-3.295,51,8.903249
-3.565,51,8.939943
-3.5,52,9.179394
-3.1577,51,9.216795
-3.376668,51,9.254092
-3.322696,51,9.291105
-3.43,52,9.329345
-3.327789,51,9.366327
-3.320585,51,9.403272
-3.262599,51,9.440183
-3.396571,51,9.477088
