#{"t_start": 1789363711.009283, "env_id": "None"}
r,l,t
-1.744984,51,1.165959
-1.799846,51,1.192097
-1.846354,51,1.219127
-2.092384,51,1.245899
-1.529363,51,1.272757
-1.405058,52,1.299018
-2.011118,51,1.326089
-1.394395,51,1.351839
-1.918979,52,1.377794
-1.530551,52,1.40522
-1.512368,51,1.432019
-1.932537,51,1.459637
-1.482748,51,1.486633
-1.6571,51,1.513316
-1.664611,51,1.543682
-1.824884,51,1.57066
-2.042172,51,1.597333
-1.647501,51,1.624028
-1.416405,51,1.650614
-1.523172,51,1.676914
-2.293616,51,1.703972
-1.770563,51,1.729979
-1.917306,51,1.755544
-2.426181,51,1.781073
-2.222346,51,1.807547
-1.971654,51,1.833053
-1.549874,51,1.858603
-1.30068,51,1.884523
-1.856381,52,1.910337
-1.5262,51,1.936355
-1.557804,52,1.962026
-1.741417,51,1.988352
-1.465809,51,2.013737
-1.793327,51,2.039
-1.760263,52,2.064577
-2.230203,51,2.091305
-1.557515,51,2.11791
-1.925037,51,2.142929
-1.452042,51,2.169192
-1.623627,51,2.195554
-2.562998,51,2.456395
-1.790859,51,2.483508
-1.401151,51,2.511239
-1.537031,51,2.538363
-1.412425,51,2.565552
-2.299876,51,2.598864
-1.622994,51,2.626278
-1.629968,51,2.654116
-1.580063,52,2.688719
-1.917286,51,2.716597
-1.345101,51,2.746299
-1.833315,51,2.774333
-1.679443,51,2.802754
-1.643387,51,2.83067
-1.819783,51,2.857553
-1.99608,51,2.885969
-1.953452,51,2.914252
-1.586701,52,2.943738
-1.676657,52,2.972793
-1.690797,51,2.999432
-1.426268,51,3.027604
-1.82055,52,3.054781
-1.696611,51,3.081395
-1.87798,52,3.108561
-1.648218,52,3.135769
-1.426949,51,3.162563
-1.340885,51,3.200126
-1.837571,51,3.228532
-1.789747,51,3.261407
-1.339403,51,3.295134
-1.684357,51,3.322073
-2.483437,51,3.348774
-1.222355,51,3.375303
-1.376541,51,3.401953
-1.475727,51,3.428814
-1.535021,52,3.458705
-1.441564,51,3.485457
-1.51079,52,3.513415
-1.505714,51,3.540292
-2.052814,51,3.567159
-1.587233,51,3.806108
-1.992911,51,3.83265
-1.495904,51,3.858142
-1.614087,51,3.884852
-1.820843,51,3.911341
-1.836002,51,3.937961
-1.378699,51,3.963211
-2.228342,51,3.989991
-1.797238,51,4.016835
-1.966505,51,4.043349
-1.549505,51,4.067315
-1.52366,51,4.094959
-1.969424,51,4.120399
-1.497561,51,4.144274
-1.770224,51,4.169412
-2.29172,51,4.195573
-1.607952,51,4.22054
-2.057359,52,4.246051
-1.477594,51,4.270973
-1.465936,51,4.295329
-1.967575,51,4.320368
-1.388853,51,4.345439
-1.889336,51,4.370686
-1.456617,52,4.396201
-1.910057,51,4.422582
-1.652467,52,4.44836
-1.44289,51,4.473221
-1.683274,51,4.498482
-2.027999,52,4.523948
-1.823209,51,4.548943
-1.755012,51,4.575822
-1.836007,51,4.602932
-1.590174,51,4.62977
-1.720973,51,4.655043
-1.690067,51,4.681806
-1.803301,51,4.715608
-2.19867,51,4.743016
-1.68896,51,4.769836
-2.010836,52,4.797075
-1.846709,51,4.828652
-1.951445,51,5.066437
-1.545992,51,5.09264
-1.799103,51,5.119566
-1.733523,51,5.146376
-1.883103,51,5.171771
-1.769378,51,5.1966
-1.330886,51,5.221875
-1.603548,51,5.247089
-1.898942,51,5.272305
-1.829286,51,5.297331
-1.569246,51,5.322878
-1.463481,51,5.347913
-1.770838,51,5.372901
-1.624937,51,5.39797
-1.767445,51,5.423062
-2.099571,51,5.449636
-1.799315,51,5.476022
-1.281493,51,5.501819
-2.0872,51,5.527207
-1.722032,51,5.552494
-1.642993,52,5.577053
-2.463231,51,5.602397
-1.326758,51,5.627504
-1.167487,51,5.653023
-1.959632,51,5.679216
-1.836673,51,5.705406
-1.481229,51,5.738819
-1.578983,52,5.766963
-2.304501,51,5.792422
-1.40736,51,5.817829
-1.916528,52,5.843596
-1.988255,51,5.868777
-1.899294,52,5.894507
-1.8046,51,5.919616
-1.297118,51,5.945374
-1.165173,51,5.969464
-1.700488,51,5.994767
-1.674549,51,6.020067
-1.416609,51,6.044799
-1.389885,52,6.071125
-1.764354,51,6.297411
-1.420562,51,6.32245
-1.81585,51,6.347728
-1.948867,51,6.372155
-1.407286,51,6.397378
-1.867159,51,6.422662
-1.576242,51,6.44784
-1.429215,52,6.472776
-1.825514,51,6.497827
-1.548177,51,6.522953
-1.741593,51,6.548442
-2.24951,51,6.57425
-2.05273,51,6.599578
-1.628817,51,6.624035
-1.96214,51,6.64955
-1.87358,51,6.674881
-1.588803,51,6.700558
-1.748801,51,6.725362
-1.393145,51,6.750844
-1.781339,51,6.776988
-1.857915,52,6.803223
-1.244667,52,6.829173
-1.957511,51,6.853351
-1.740917,51,6.878681
-2.034073,51,6.903875
-1.623271,52,6.929273
-1.767798,51,6.954253
-1.808572,51,6.978437
-1.422753,51,7.003709
-1.618067,52,7.029446
-1.647752,51,7.054649
-1.733575,51,7.07855
-1.405674,51,7.103739
-1.676426,51,7.129154
-2.146349,51,7.154625
-1.889931,51,7.180807
-1.814677,51,7.206634
-1.913699,51,7.231192
-1.489574,52,7.257347
-1.357514,51,7.282889
-2.51651,51,7.507887
-1.571563,51,7.533623
-1.900177,51,7.558976
-1.981157,51,7.585062
-1.564097,52,7.61048
-1.868865,51,7.635792
-1.592369,51,7.66122
-1.533707,52,7.68716
-2.008762,51,7.711905
-1.466598,51,7.737609
-2.068119,51,7.76324
-1.238126,51,7.787812
-1.428868,51,7.814074
-1.49791,51,7.839567
-1.61,51,7.8649
-1.372598,51,7.890228
-1.378245,51,7.914361
-1.738135,51,7.939557
-1.609829,51,7.963829
-1.829842,51,7.988774
-1.65145,51,8.013622
-1.432351,51,8.03871
-1.4241,51,8.062527
-1.705587,51,8.087721
-1.900617,51,8.11275
-1.812987,51,8.138014
-1.322655,52,8.163119
-1.840511,52,8.188937
-2.161559,51,8.213554
-1.910518,51,8.238844
-1.44583,52,8.263639
-1.989625,51,8.288975
-1.647238,51,8.314187
-1.344342,52,8.339845
-1.440354,51,8.364906
-1.463592,51,8.388917
-1.60819,51,8.414113
-1.480529,51,8.43923
-1.796894,51,8.464297
-2.202012,51,8.489572
-1.793275,51,8.712033
-1.967142,51,8.737427
-2.130741,51,8.762878
-1.772618,51,8.788628
-1.628599,51,8.814514
-1.534402,51,8.838679
-2.463086,51,8.864068
