#{"t_start": 1789394508.2422988, "env_id": "None"}
r,l,t
-1.185057,51,2.824079
-1.350597,51,3.173463
-1.446547,51,3.732026
-1.585385,51,3.966586
-1.503485,51,4.177334
-1.347243,52,4.435031
-1.368215,51,4.670116
-1.322625,51,4.867865
-1.358095,52,5.090794
-1.406228,52,5.294481
-1.19883,51,5.493741
-1.505354,51,5.694555
-1.308065,51,5.95155
-1.267137,51,6.258066
-1.750272,51,6.450138
-1.280686,51,6.668997
-1.286146,51,7.015943
-1.338947,51,7.400357
-1.303705,51,7.620806
-1.098828,51,7.838681
-1.256527,51,8.072418
-1.156106,51,8.331184
-1.285308,51,8.525912
-1.316997,51,8.802943
-1.306515,51,9.199584
-1.275463,51,9.450369
-1.166646,51,9.676882
-1.264892,51,9.871554
-1.532732,52,10.268357
-1.323912,51,10.532853
-1.370124,52,10.834461
-1.305405,51,11.039992
-1.273608,51,11.238179
-1.257474,51,11.448102
-1.49226,52,11.647254
-1.381923,51,11.856799
-1.242386,51,12.164985
-1.377038,51,12.357685
-1.149894,51,12.553811
-1.206769,51,12.740086
-1.23172,51,37.579155
-1.209283,51,37.808358
-1.238096,51,38.009725
-1.334363,51,38.229446
-1.279919,51,38.453826
-1.163579,51,38.651932
-1.236464,51,38.913037
-1.204894,51,39.245286
-1.227418,52,39.6299
-1.315865,51,39.935773
-1.302761,51,40.232156
-1.446641,51,40.537615
-1.402073,51,40.782938
-1.34015,51,41.124021
-1.448569,51,41.469679
-1.558282,51,41.782568
-1.514694,51,42.061087
-1.15395,52,42.305621
-1.13777,52,42.506647
-1.188739,51,42.838609
-1.210523,51,43.070102
-1.32066,52,43.398645
-1.032801,51,43.627656
-1.505455,52,43.862564
-1.568836,52,44.06614
-1.321374,51,44.250453
-1.082733,51,44.450509
-1.329629,51,44.638472
-1.193861,51,44.906144
-1.321308,51,45.18831
-1.440183,51,45.496457
-1.284661,51,45.809178
-1.313081,51,46.097318
-1.434256,51,46.402793
-1.732024,51,46.605397
-1.503254,52,46.805344
-1.433964,51,46.993592
-1.724414,52,47.196076
-1.222568,51,47.389272
-1.371964,51,47.602012
-1.70431,51,73.184959
-1.21608,51,73.405449
-1.285695,51,73.710347
-1.343404,51,74.012849
-1.319522,51,74.330434
-1.408993,51,74.599815
-1.264088,51,74.933381
-1.259374,51,75.142037
-1.502486,51,75.346983
-1.203089,51,75.567103
-1.425287,51,75.76323
-1.479112,51,75.957282
-1.876831,51,76.229643
-1.24297,51,76.539751
-1.168587,51,76.764619
-1.306122,51,76.96367
-1.229233,51,77.254954
-1.434873,52,77.47522
-1.228516,51,77.673033
-1.346747,51,77.8636
-1.239571,51,78.13614
-1.765742,51,78.455813
-1.155222,51,78.724281
-1.315328,52,78.929502
-1.443095,51,79.179992
-1.261883,52,79.382976
-1.275391,51,79.577172
-1.308962,51,79.861241
-1.16067,52,80.206051
-1.192006,51,80.456298
-1.245126,51,80.654302
-1.101585,51,80.963135
-1.508047,51,81.230601
-1.45918,51,81.511501
-1.598903,51,81.749406
-1.235583,51,81.938475
-1.351349,51,82.137488
-1.251363,51,82.324591
-1.599813,52,82.524216
-1.503856,51,82.70859
-1.439779,51,107.372104
-1.571559,51,107.558808
-1.20902,51,107.759154
-1.393848,51,107.949974
-1.573036,51,108.14638
-1.39459,51,108.339983
-1.318212,51,108.528131
-1.282376,51,108.712929
-1.358217,51,108.911922
-1.678192,51,109.10613
-1.993357,51,109.298657
-1.339857,51,109.490919
-1.249586,51,109.683659
-1.558513,51,109.874509
-1.541614,51,110.070689
-1.35568,51,110.256628
-1.339092,51,110.456385
-1.323118,51,110.647248
-1.344813,51,110.844061
-1.315652,51,111.068399
-1.382568,52,111.263424
-1.607189,51,111.453743
-1.098599,51,111.651019
-1.211631,51,111.836824
-1.621774,51,112.023171
-1.36037,51,112.222611
-1.170716,51,112.408787
-1.339873,52,112.608865
-1.517267,51,112.801956
-1.45129,51,112.9984
-1.410799,52,113.197001
-1.458273,51,113.394352
-1.222782,52,113.593733
-1.470945,51,113.788989
-1.327426,51,114.045509
-1.183072,51,114.370867
-1.271409,51,114.572191
-1.354063,51,114.761687
-1.365012,51,115.009414
-1.323547,52,115.324132
-1.394639,51,139.781217
-1.430577,51,139.980655
-1.223238,51,140.197341
-1.340483,51,140.388408
-1.355731,51,140.592979
-1.244734,51,140.841653
-1.226976,51,141.131265
-1.620996,52,141.442291
-1.517044,51,141.632245
-1.638659,51,141.817482
-1.42611,51,142.015311
-1.743167,51,142.209558
-1.317231,51,142.401779
-1.386309,51,142.593373
-1.301028,51,142.78494
-1.207158,51,142.973563
-1.296546,51,143.172116
-1.493283,51,143.358317
-1.403822,51,143.55732
-1.579773,51,143.751801
-1.472731,52,143.950939
-1.671032,52,144.140239
-1.503808,51,144.338593
-1.461377,51,144.534856
-1.449028,51,144.72747
-1.504903,52,144.907464
-1.226625,51,145.102459
-1.439037,51,145.280303
-1.281452,51,145.459977
-1.517453,52,145.640312
-1.490462,51,145.83821
-1.12028,51,146.022535
-1.237953,51,146.195732
-1.186635,51,146.383604
-1.313994,51,146.580189
-1.361906,51,146.772467
-1.618739,51,146.958141
-1.364072,51,147.156321
-1.414985,52,147.3487
-1.302585,51,147.533036
-1.539726,51,172.818238
-1.315772,51,173.010305
-1.461478,51,173.200737
-1.367961,51,173.397354
-1.528046,52,173.60251
-1.345729,51,173.790548
-1.479342,51,173.983844
-1.219512,52,174.179711
-1.344661,51,174.361086
-1.218546,51,174.531599
-1.21215,51,174.713795
-1.070777,51,174.891299
-1.176214,51,175.06739
-1.286227,51,175.241827
-1.400377,51,175.429177
-1.314105,51,175.621103
-1.413631,51,175.799826
-1.32566,51,175.991146
-1.522824,51,176.184653
-1.632749,51,176.37951
-1.201519,51,176.567376
-1.569787,51,176.74695
-1.626622,51,176.919939
-1.48977,51,177.107378
-1.343743,51,177.305291
-1.687525,51,177.495803
-1.194141,52,177.687771
-1.380549,52,177.868045
-1.290764,51,178.057484
-1.204482,51,178.236668
-1.460011,52,178.430234
-1.325622,51,178.618259
-1.158904,51,178.819419
-1.19702,52,179.007038
-1.307723,51,179.198512
-1.500545,51,179.392751
-1.249864,51,179.571991
-1.653318,51,179.766973
-1.338316,51,179.95767
-1.761241,51,180.143479
-1.263444,51,204.365244
-1.378419,51,204.547608
-1.119433,51,204.837529
-1.354856,51,205.028931
-1.192208,51,205.220435
-1.206054,51,205.392224
-1.487066,51,205.585024
-1.214065,51,205.762847
-1.422894,51,206.047503
-1.178521,51,206.256192
-1.115066,51,206.461379
-1.530517,51,206.650879
-1.245634,51,206.976506
-1.203828,52,207.181068
-1.572442,52,207.389668
-1.309775,51,207.606084
-1.464324,51,207.798362
-1.286935,51,208.016179
-1.383426,51,208.209452
-1.568171,51,208.410899
-1.157188,51,208.608071
-1.35551,51,208.801881
-1.34758,51,208.999156
-1.470854,51,209.187636
-1.532613,51,209.460564
-1.277956,51,209.658629
-1.249222,51,209.854814
-1.220756,51,210.050489
-1.617079,51,210.240852
-1.229591,52,210.439764
-1.345502,51,210.631895
-1.327736,51,210.826143
-1.258755,51,211.014614
-1.583859,51,211.208932
-1.316796,51,211.398444
-1.309573,51,211.597125
-1.188403,51,211.795213
-1.239073,51,211.991923
-1.336439,51,212.180154
-1.26448,51,212.377196
-1.468577,51,236.776988
-1.179505,51,236.95729
-1.815692,51,237.151677
-1.234135,51,237.351296
-1.583807,51,237.536764
-1.188979,51,237.71516
-1.34054,51,237.903921
-1.462679,51,238.076515
-1.235125,51,238.257932
-1.458334,51,238.435107
-1.357466,51,238.616011
-1.231169,51,238.808832
-1.471656,51,238.991513
-1.422454,51,239.182256
-1.510641,51,239.367174
-1.296232,51,239.565049
-1.340326,51,239.74904
-1.458007,51,239.9277
-1.324531,51,240.118368
-1.288363,52,240.303659
-1.400851,52,240.49613
-1.333298,51,240.68664
