#{"t_start": 1789350149.292554, "env_id": "None"}
r,l,t
-1.932103,52,0.912566
-2.123799,51,0.931561
-1.92197,51,0.951602
-2.019635,51,0.9709
-1.98473,51,0.991001
-2.100141,52,1.010636
-1.880659,51,1.029307
-1.9855,51,1.048005
-2.18048,51,1.066564
-1.840843,51,1.084736
-1.829514,51,1.102926
-1.660591,51,1.121243
-2.018019,51,1.139557
-1.964396,52,1.158208
-1.961729,51,1.176555
-1.874351,51,1.195183
-1.942845,51,1.213126
-1.919283,51,1.231445
-1.951534,51,1.2499
-2.088278,51,1.268392
-2.126232,51,1.286808
-1.961878,51,1.305337
-1.711162,51,1.323783
-1.980731,51,1.342211
-2.034339,51,1.360609
-2.016243,51,1.379039
-2.106526,51,1.398261
-2.19532,51,1.41683
-1.819362,51,1.43574
-2.021314,51,1.454459
-2.289635,52,1.474652
-2.007803,51,1.494598
-2.055345,51,1.512883
-2.033641,51,1.532128
-2.068867,51,1.550154
-2.088734,52,1.568639
-2.219915,51,1.587057
-1.967955,52,1.605532
-1.878867,51,1.623078
-1.811863,51,1.641136
-2.129588,51,1.974227
-1.999469,51,1.994783
-1.95583,51,2.016684
-1.917281,51,2.03633
-2.05182,51,2.055905
-1.880976,52,2.075959
-1.942752,51,2.094798
-1.966206,51,2.113969
-1.915772,51,2.132499
-2.041913,51,2.15095
-1.870637,51,2.169308
-2.004812,51,2.187771
-2.077836,51,2.206128
-2.136162,51,2.224618
-1.827699,51,2.242178
-1.859862,51,2.259926
-2.241342,52,2.278381
-2.118115,52,2.296495
-1.814345,51,2.31486
-1.754192,51,2.333218
-1.986305,51,2.351123
-1.958028,51,2.369061
-2.078111,51,2.387415
-1.919081,52,2.405705
-1.835356,51,2.42398
-2.218782,51,2.441868
-2.089305,51,2.458826
-1.890679,51,2.475871
-2.008414,51,2.493861
-1.904706,51,2.512195
-1.946819,51,2.529947
-1.961565,51,2.547666
-1.941084,51,2.565743
-1.885585,51,2.583675
-2.213121,51,2.60202
-1.80875,51,2.620365
-2.231728,51,2.638726
-2.160136,51,2.657144
-2.027065,51,2.675505
-1.923779,51,2.694019
-1.844889,51,3.007132
-1.92776,51,3.026332
-1.930762,52,3.046237
-1.999098,52,3.066198
-2.038985,51,3.08523
-2.07491,51,3.103786
-2.144975,51,3.122814
-1.995525,51,3.141453
-1.81405,51,3.159869
-2.040585,51,3.17822
-2.17207,51,3.196481
-2.001838,52,3.214814
-2.052666,51,3.232818
-2.177053,52,3.250835
-2.049475,51,3.270033
-1.889781,51,3.288538
-1.927082,51,3.306834
-1.966579,51,3.32509
-2.067708,51,3.342712
-1.924208,51,3.360954
-1.927304,51,3.378972
-1.902372,51,3.397375
-2.124421,51,3.414563
-1.90496,52,3.433079
-2.188155,51,3.45242
-2.148585,51,3.470878
-1.958449,51,3.489276
-2.121578,51,3.507521
-1.806162,51,3.525858
-1.986835,52,3.54461
-1.983607,51,3.563012
-1.853968,51,3.581474
-1.871567,51,3.599894
-2.096465,51,3.618284
-2.050681,51,3.636609
-2.173778,52,3.65535
-1.872964,51,3.673687
-1.704093,51,3.691292
-1.858984,51,3.708156
-1.833787,51,3.725795
-2.282498,51,4.048188
-2.041863,52,4.068311
-1.959746,51,4.088578
-2.220147,51,4.107016
-1.834059,51,4.125956
-1.955347,51,4.144749
-2.326916,51,4.163634
-2.012698,51,4.182245
-1.841111,51,4.20045
-2.112789,51,4.21845
-2.058347,51,4.236764
-2.244181,51,4.254533
-2.101963,51,4.272867
-2.01174,52,4.291049
-1.946947,52,4.308513
-1.962197,52,4.32655
-2.126119,51,4.344427
-2.145175,51,4.362291
-1.947442,51,4.38053
-1.915273,51,4.39835
-1.995846,51,4.41618
-1.955611,51,4.434486
-1.846048,51,4.45271
-1.964714,52,4.471418
-2.19197,51,4.489364
-1.902992,51,4.507685
-2.021393,51,4.526024
-2.007404,52,4.545177
-2.192485,51,4.564633
-1.814812,51,4.582845
-1.951291,51,4.601167
-1.920545,51,4.619288
-1.843532,51,4.637892
-1.877169,51,4.656426
-2.034855,51,4.674457
-2.027197,51,4.692525
-1.884745,52,4.711368
-2.135988,51,4.729205
-1.929852,51,4.747441
-2.511126,51,4.765126
-2.031804,51,5.078679
-2.067071,51,5.099141
-2.053167,51,5.120283
-2.179805,51,5.139759
-2.302896,51,5.159292
-1.91681,51,5.179122
-2.006661,51,5.198705
-1.912352,51,5.217546
-1.886785,51,5.235897
-2.121498,51,5.254002
-1.797662,51,5.272479
-1.865964,51,5.290591
-1.874586,51,5.3093
-1.962878,52,5.328251
-1.967162,51,5.346504
-1.97268,52,5.365058
-1.824041,51,5.383618
-1.841097,51,5.401675
-1.962468,51,5.420174
-1.844229,51,5.438655
-1.717876,52,5.457525
-1.870894,51,5.475987
-1.874629,51,5.494466
-2.023727,51,5.512958
-2.169722,51,5.531061
-2.049996,51,5.548134
-2.084287,51,5.565959
-1.758662,52,5.584354
-2.042039,51,5.602309
-2.13842,52,5.620682
-1.985946,51,5.639178
-2.065024,51,5.657716
-2.197051,51,5.676228
-1.893342,51,5.694366
-1.854774,51,5.71279
-2.009237,51,5.731142
-1.831813,51,5.749528
-1.958491,51,5.767965
-1.978912,51,5.785948
-1.961426,52,5.805364
-1.760768,51,6.124771
-2.109257,51,6.144752
-1.857126,51,6.164074
-2.056944,51,6.183896
-1.779728,51,6.203983
-2.376662,52,6.223803
-2.137813,52,6.243124
-1.883133,51,6.261552
-1.908032,51,6.280261
-1.958371,51,6.298347
-1.86985,51,6.316437
-1.839399,51,6.334919
-2.243518,51,6.353624
-2.212273,51,6.370998
-1.848782,51,6.389096
-2.06358,51,6.407098
-1.984026,52,6.425961
-1.879162,52,6.444805
-1.859611,51,6.463136
-1.842825,51,6.481054
-1.942672,52,6.499775
-1.866008,52,6.518223
-2.208183,51,6.53651
-2.353809,51,6.554939
-1.918239,51,6.572821
-2.336919,51,6.589792
-2.221877,51,6.606868
-1.972974,51,6.625284
-1.978482,51,6.643482
-2.317267,51,6.661708
-1.820246,51,6.679741
-1.840287,52,6.69814
-2.040179,51,6.716197
-1.972277,51,6.734376
-2.042928,51,6.752197
-2.146977,52,6.770553
-1.891175,52,6.788401
-2.104468,51,6.805439
-1.970508,51,6.823301
-2.138862,52,6.841586
-1.945026,51,7.151959
-1.847326,52,7.171891
-1.954794,51,7.191827
-1.892172,51,7.211269
-1.960736,51,7.230822
-1.861208,51,7.250096
-2.04081,51,7.269514
-1.927905,51,7.288276
-1.991679,51,7.307155
-2.00826,52,7.325995
-2.103554,51,7.344425
-2.037742,51,7.362733
