#{"t_start": 1789356659.5245728, "env_id": "None"}
r,l,t
-6.690405,52,1.983772
-6.89,51,2.095611
-6.610328,52,2.210402
-6.67248,51,2.322511
-6.834289,51,2.439165
-6.785962,51,2.548772
-6.4,51,2.650838
-6.670836,51,2.758171
-6.930043,51,2.863112
-7.132141,52,2.970365
-6.648803,51,3.073057
-7.301588,51,3.178542
-7.054631,51,3.285703
-7.020895,51,3.396453
-6.932149,51,3.503058
-6.936262,51,3.611517
-6.980002,51,3.718636
-7.51213,51,3.82797
-6.42022,51,3.935172
-6.76187,51,4.055898
-7.058042,52,4.180643
-6.589209,51,4.298444
-6.93,52,4.4148
-6.930097,51,4.550384
-6.657907,51,4.687809
-6.984724,51,4.800072
-6.49,51,4.909447
-6.700004,51,5.020266
-5.991313,51,5.131627
-6.824391,51,5.241872
-6.885475,51,5.343948
-6.760007,51,5.443356
-6.778112,51,5.550408
-6.77,51,5.653186
-6.450073,51,5.757642
-6.97,51,5.862323
-7.17,51,5.966545
-6.984165,51,6.065037
-7.35,52,6.166579
-7.312805,51,6.267765
-7.140609,51,6.928922
-7.28,51,7.025684
-6.756079,51,7.142959
-7.255033,51,7.250127
-6.398838,51,7.352388
-6.382754,51,7.459339
-7.479536,51,7.564929
-7.160527,51,7.666462
-5.550137,51,7.769821
-7.16,52,7.876207
-6.9,51,7.977126
-7.12,51,8.079102
-6.78,51,8.17986
-6.843326,51,8.280613
-7.09,51,8.384203
-7.043336,51,8.484972
-5.922506,51,8.586993
-6.880486,51,8.689259
-6.79,51,8.790324
-6.71,51,8.896599
-6.220378,51,8.99735
-6.72,51,9.099248
-6.394183,52,9.200691
-6.980195,51,9.30205
-7.010833,51,9.405701
-7.05,51,9.506916
-6.840809,51,9.60952
-6.285536,51,9.711027
-6.513389,51,9.817092
-6.654542,51,9.927845
-7.02,52,10.0262
-7.072757,52,10.123559
-6.521457,51,10.218214
-6.613619,52,10.31529
-6.464146,51,10.408989
-6.95,51,10.505614
-6.77,51,10.601429
-6.66,51,10.696535
-6.910319,52,10.795696
-6.823765,51,10.891616
-7.180124,51,11.446457
-6.381667,51,11.542906
-6.780321,52,11.640321
-6.493398,52,11.73657
-6.27,51,11.835695
-7.033976,51,11.929816
-6.620961,51,12.025871
-6.630163,51,12.121136
-6.750749,51,12.215443
-7.000002,51,12.310514
-7.18,51,12.403971
-6.43467,51,12.494361
-6.644489,51,12.586139
-6.72,51,12.677606
-6.159587,51,12.769675
-6.775364,51,12.862172
-7.13632,51,12.954368
-6.57203,51,13.046053
-6.907269,52,13.14319
-7.272616,51,13.234829
-6.619947,51,13.32678
-6.73,51,13.421065
-6.346867,51,13.517465
-6.251597,52,13.61325
-6.922115,52,13.708389
-6.871573,51,13.802155
-6.376166,51,13.898553
-6.75102,51,13.997664
-6.62,51,14.093912
-6.63,52,14.193731
-6.442353,51,14.28845
-6.460255,51,14.383822
-6.178535,51,14.481345
-6.460025,51,14.576825
-6.98,51,14.673538
-6.985577,52,14.773485
-7.045752,51,14.870644
-7.31,51,14.967904
-7.174198,52,15.068569
-6.564604,51,15.16658
-7.01078,51,15.749436
-6.921274,51,15.853819
-6.950522,51,15.954228
-6.55739,51,16.077133
-6.857832,51,16.178115
-6.895343,51,16.280494
-6.305565,51,16.385291
-6.562803,51,16.491011
-6.681801,51,16.59057
-7.49,52,16.689503
-6.54,51,16.787007
-6.592254,52,16.887364
-6.625931,51,16.983399
-6.660583,51,17.080793
-6.751683,51,17.177297
-6.77,51,17.273218
-6.271644,52,17.372981
-7.175866,52,17.471801
-6.960081,51,17.567416
-6.704267,51,17.666555
-7.130016,51,17.765798
-6.603441,51,17.861786
-6.545427,51,17.959859
-7.010367,51,18.056273
-6.79036,51,18.154597
-6.17,51,18.251166
-7.008734,51,18.349049
-6.94,52,18.450216
-6.35,51,18.547755
-6.960061,52,18.646246
-6.890262,51,18.744514
-6.36,51,18.844025
-6.42,51,18.942734
-6.57,51,19.043052
-6.854344,51,19.139765
-6.730231,51,19.237486
-6.61486,51,19.33386
-6.443929,51,19.432387
-6.691365,51,19.533902
-6.455829,51,19.633605
-6.493447,51,20.200845
-6.733657,51,20.297366
-6.58,51,20.394547
-6.820839,51,20.491712
-7.549414,52,20.592214
-6.56013,51,20.690697
-6.694294,51,20.792885
-6.174744,51,20.897211
-6.286875,51,20.998488
-6.601002,51,21.103305
-6.62182,51,21.20995
-7.07,51,21.313375
-6.016476,51,21.414579
-6.646919,51,21.516609
-7.023767,51,21.621207
-7.393572,52,21.725499
-6.587088,51,21.82707
-7.09016,52,21.930819
-6.687325,51,22.032744
-6.190326,51,22.13724
