#{"t_start": 1789358830.706037, "env_id": "None"}
r,l,t
-7.21,52,1.203158
-6.724191,51,1.265562
-6.710388,51,1.32587
-7.394108,51,1.394235
-6.892107,51,1.454116
-7.421562,51,1.510249
-6.53754,51,1.567852
-6.888768,51,1.624117
-6.72,51,1.681039
-7.073899,52,1.738833
-6.941095,52,1.795683
-6.785463,51,1.856125
-6.810553,51,1.915174
-6.53,51,1.973468
-6.683104,51,2.035842
-6.840398,51,2.227888
-6.52728,51,2.306345
-6.763846,51,2.386154
-6.577321,51,2.449352
-7.053733,52,2.533396
-6.707212,51,2.619077
-7.234102,52,2.700017
-7.29505,51,2.775439
-6.955402,52,2.860705
-6.734517,51,2.942914
-6.87,51,3.016053
-6.643503,51,3.084996
-6.36,51,3.157254
-6.33346,51,3.223671
-6.73,51,3.285891
-7.060204,51,3.353113
-6.963824,51,3.427247
-6.590677,51,3.492734
-6.232806,51,3.572826
-7.019065,51,3.664328
-6.50005,51,3.74463
-7.283756,51,3.848666
-7.43232,51,3.94541
-6.220056,51,4.026058
-6.330811,51,4.095182
-6.404105,51,4.634731
-6.813959,52,4.723483
-6.819916,51,4.804569
-6.932993,51,4.881554
-6.9,51,4.949869
-7.13,51,5.010566
-7.200875,51,5.078857
-6.225492,51,5.159168
-6.51,51,5.228092
-7.05,51,5.305128
-6.840394,51,5.378949
-6.86,51,5.446215
-6.806476,51,5.515801
-6.923334,51,5.578606
-6.231741,51,5.65485
-6.611023,51,5.731877
-6.617055,51,5.807815
-7.65,52,5.878534
-7.1,51,5.941826
-7.150052,51,6.004465
-6.809674,51,6.06881
-7.128445,51,6.139688
-6.712769,51,6.216972
-7.37,51,6.282136
-7.086077,51,6.343307
-6.696883,51,6.406142
-6.893999,51,6.470554
-7.162548,51,6.533918
-6.770603,52,6.603917
-6.950258,52,6.673458
-6.954146,51,6.784913
-7.130533,51,6.971844
-6.655161,51,7.096872
-6.88,51,7.213604
-6.890203,51,7.540197
-6.99,51,7.688656
-6.71523,51,7.769695
-6.650117,51,7.851728
-6.877793,51,7.927586
-6.657612,51,8.006302
-6.82,51,8.504264
-7.092743,51,8.584871
-6.31,51,8.655417
-6.281833,51,8.723688
-6.536752,51,8.795442
-6.621021,51,8.860357
-6.843465,51,8.921887
-6.77,51,8.98169
-6.740285,51,9.040415
-7.13,52,9.103736
-6.819792,51,9.166695
-6.776392,51,9.226781
-7.000335,51,9.288337
-7.23,52,9.3514
-6.71,52,9.411091
-6.76,51,9.472426
-6.817141,51,9.532829
-6.684527,51,9.594413
-6.910021,51,9.65476
-6.450938,51,9.75113
-6.519737,51,9.815128
-6.683553,51,9.885647
-7.070071,51,9.989502
-6.59622,51,10.115745
-6.786832,51,10.259952
-7.730131,52,10.350423
-6.573856,52,10.418235
-7.02,51,10.484156
-6.65,51,10.54888
-6.170177,51,10.620527
-6.842063,51,10.68637
-6.388566,51,10.754718
-6.89,51,10.854465
-6.62237,51,10.924953
-6.84,51,10.986026
-6.552555,51,11.042855
-6.950593,51,11.111807
-6.25,51,11.177727
-7.192717,51,11.239528
-6.813491,52,11.30054
-6.553504,51,11.725153
-6.46235,51,11.785963
-6.812567,51,11.84443
-6.32,51,11.905704
-6.45,51,12.075976
-6.985717,51,12.168769
-6.500018,52,12.257443
-7.27,51,12.333963
-6.646758,51,12.418944
-6.939396,52,12.523183
-6.981665,51,12.601016
-7.271382,51,12.663532
-6.882772,51,12.723351
-7.13,51,12.786175
-6.630833,52,12.848604
-7.01,52,12.919743
-6.92,51,12.997894
-6.574781,51,13.0913
-7.0,51,13.182708
-6.93,51,13.271963
-6.96,52,13.356179
-6.776954,51,13.441851
-7.0232,52,13.521979
-6.613057,51,13.598236
-6.525712,51,13.68156
-7.21,51,13.749992
-6.921892,51,13.812604
-6.93,51,13.887872
-7.070691,51,13.976424
-6.711,51,14.045252
-6.486582,51,14.118344
-7.270629,52,14.185085
-6.60076,51,14.255133
-7.3,52,14.322514
-7.093109,51,14.391177
-7.062087,51,14.457032
-7.31,52,14.528087
-6.62,51,14.591761
-6.801487,51,14.661186
-6.206253,51,14.724338
-6.884564,51,15.208678
-7.021314,52,15.282328
-7.241146,52,15.358101
-7.19,51,15.434573
-6.863538,51,15.509672
-6.731808,51,15.577457
-7.06,51,15.689483
-6.689357,51,15.77398
-6.370762,51,15.846927
-6.966084,51,15.923038
-6.838573,51,16.000053
-6.753026,51,16.079938
-6.483841,51,16.157994
-6.890699,51,16.232744
-7.548114,51,16.303275
-7.196495,52,16.374417
-6.211556,51,16.467412
-7.020844,51,16.550308
-6.51024,51,16.620511
-6.68,51,16.734898
-6.536408,51,16.836259
-6.670877,51,16.953986
-6.669796,51,17.061692
-6.58,51,17.203879
-7.121029,51,17.29197
-6.978535,51,17.376594
-6.781597,51,17.458717
-6.711218,51,17.533615
-6.820419,52,17.599472
-7.019206,51,17.664214
-6.838766,52,17.727343
-6.460001,51,17.792171
-6.347458,51,17.855815
-7.051885,51,17.920467
-6.530535,52,17.985086
-6.634101,51,18.04375
-6.893805,51,18.108778
-6.431602,51,18.169731
-6.863106,51,18.23065
-6.98019,51,18.291536
-6.980037,51,18.71935
-6.76,51,18.85898
-6.454414,51,18.925334
-6.700058,51,18.989822
-6.859337,52,19.071231
-6.17,51,19.141199
-6.856309,51,19.211558
-6.815402,51,19.277916
-6.943613,51,19.354149
-6.432975,51,19.418308
-6.454477,51,19.485268
-6.724401,52,19.551604
-6.686087,51,19.622738
-6.91307,51,19.693664
-7.045709,51,19.761178
-6.713714,51,19.838953
-7.62,51,19.921859
-6.551978,51,20.067642
-6.66,51,20.20008
-6.772757,51,20.298421
-7.211406,51,20.370859
-6.95,51,20.442842
-7.03,51,20.513104
-6.08,51,20.583845
-6.680011,52,20.647605
-6.9,52,20.711132
-6.655351,51,20.775581
-6.897843,51,20.837527
-7.055175,51,20.896324
-6.737301,51,20.958048
-6.425604,51,21.017078
-7.101981,52,21.077031
-6.52,51,21.140611
-7.009487,51,21.200674
-6.86,51,21.256934
-6.499393,51,21.315622
-7.08,52,21.375328
-6.513653,52,21.437328
-6.880595,51,21.497107
-7.200228,51,21.555818
-6.942196,51,21.974002
-6.892244,51,22.035166
-6.147476,51,22.092139
-6.58,51,22.151486
-7.029594,52,22.210583
-6.490401,51,22.33503
-6.81,51,22.399879
-6.455259,51,22.460624
-6.934608,51,22.525607
-6.66,51,22.608135
-6.580061,51,22.690695
-6.904894,51,22.763047
-6.857241,52,22.834415
-6.564547,51,22.904453
