#{"t_start": 1789368009.328198, "env_id": "None"}
r,l,t
-7.610212,51,1.661058
-7.029504,52,1.808296
-7.000431,51,1.902212
-6.73509,51,1.959086
-7.560311,52,2.010454
-7.226323,51,2.035526
-7.039864,51,2.058997
-7.084684,51,2.081283
-6.6134,51,2.108908
-7.563713,52,2.134454
-7.132004,51,2.16128
-7.034658,51,2.187099
-7.376365,51,2.214981
-6.91979,51,2.242087
-7.363995,51,2.267519
-7.075242,51,2.301027
-6.73,51,2.328118
-7.370998,51,2.353909
-7.120197,51,2.380482
-6.836047,51,2.406207
-6.65,51,2.43062
-6.654078,51,2.453584
-6.464931,51,2.478901
-7.302864,52,2.502698
-7.180629,51,2.526652
-7.171744,51,2.550386
-7.373597,52,2.574984
-6.886744,52,2.599269
-7.052385,51,2.621663
-7.17,51,2.646227
-7.507795,51,2.669032
-6.924643,51,2.6932
-6.754074,52,2.731124
-6.797604,51,2.78289
-6.910141,51,2.831624
-7.132579,51,2.858663
-6.218408,51,2.883896
-7.170979,51,2.908553
-7.053179,51,2.932429
-6.818191,51,2.958624
-7.406451,51,3.317686
-6.972955,51,3.347163
-7.299854,51,3.384947
-6.802592,51,3.413425
-7.521493,51,3.441486
-7.234746,52,3.465405
-6.90155,51,3.491208
-7.202705,51,3.515448
-7.473224,51,3.539524
-7.396511,52,3.564264
-7.14231,51,3.586991
-7.171014,51,3.610644
-6.828765,51,3.634066
-6.925943,52,3.657216
-7.035125,51,3.681089
-6.837108,51,3.703706
-7.05,51,3.727724
-6.471211,51,3.751364
-7.286956,51,3.775189
-6.930086,51,3.798836
-7.050661,51,3.832265
-6.917648,52,3.957703
-7.068389,51,3.999501
-7.10899,51,4.025668
-7.231415,51,4.069313
-6.849082,51,4.094324
-7.42,51,4.116544
-7.07979,51,4.139533
-7.690096,51,4.164437
-7.115148,51,4.190334
-7.335479,51,4.216858
-7.510037,51,4.2433
-7.383848,51,4.268148
-6.800961,51,4.291443
-7.121139,51,4.314695
-7.357121,51,4.338283
-6.839891,51,4.361656
-7.400455,51,4.397756
-7.034361,52,4.426083
-6.697446,51,4.463606
-7.46,51,4.760105
-7.07,51,4.783683
-6.85,51,4.808411
-7.203628,52,4.833455
-7.018611,51,4.857236
-6.999342,51,4.879697
-7.13,51,4.902735
-7.307402,51,4.926586
-6.91,51,4.948912
-7.387851,51,4.97161
-7.760391,51,4.995023
-7.020116,51,5.017672
-6.790367,51,5.042163
-7.416004,51,5.076551
-7.099541,51,5.100132
-7.190988,51,5.123748
-6.831481,52,5.147231
-6.87,51,5.169915
-7.63,51,5.193758
-6.990819,51,5.216498
-7.331604,51,5.244548
-7.36,51,5.268294
-7.03,51,5.300635
-6.832052,51,5.326384
-6.806287,51,5.349995
-7.19,51,5.389522
-7.10128,51,5.452632
-6.930527,52,5.482028
-7.050408,51,5.514424
-7.250593,52,5.53973
-7.376992,52,5.564561
-7.217945,51,5.587064
-7.71,51,5.617106
-7.38344,52,5.64125
-7.142191,52,5.664151
-7.131952,52,5.69299
-6.571308,51,5.72553
-7.295114,52,5.753125
-7.320192,51,5.780739
-6.346675,51,5.809802
-6.925714,51,6.095689
-6.457203,51,6.120781
-6.459434,51,6.144623
-7.110402,51,6.178949
-6.736612,51,6.206349
-7.07,51,6.234553
-7.102199,51,6.280218
-7.04,51,6.388593
-6.91339,51,6.583543
-6.945878,51,6.615128
-7.01141,51,6.643228
-7.082563,52,6.677681
-6.921046,51,6.728444
-6.924617,51,6.776033
-6.871086,51,6.808801
-6.82039,51,6.835112
-6.647402,52,6.86669
-7.08,51,6.896462
-6.959819,51,6.940112
-7.368839,52,6.973381
-7.231077,51,7.001788
-7.077752,51,7.026796
-6.626762,51,7.06239
-6.805188,51,7.103317
-6.354127,51,7.130986
-7.070061,51,7.157911
-7.401485,51,7.180552
-7.364947,51,7.203742
-7.537245,52,7.228978
-7.050098,51,7.252153
-7.100116,51,7.275759
-6.95,51,7.298447
-6.95,51,7.322745
-6.891186,51,7.347325
-7.31,51,7.371641
-7.05,52,7.3972
-7.14,51,7.424979
-7.161657,51,7.448915
-7.203483,52,7.472963
-7.149293,51,7.497059
-7.272662,51,7.768429
-7.250296,52,7.794301
-6.670271,51,7.823175
-7.637877,51,7.850305
-6.980271,51,7.876913
-6.832177,51,7.902841
-6.971063,51,7.926702
-6.488997,51,7.949956
-7.220398,51,7.974815
-7.264243,51,7.997013
-6.79,51,8.023133
-6.808857,51,8.049402
-7.324082,51,8.076562
-6.796443,51,8.101943
-6.900083,51,8.126822
-7.261501,51,8.15092
-7.50302,51,8.176788
-7.376391,51,8.201479
-7.15,51,8.227465
-7.21,52,8.25301
-6.912374,51,8.277431
-7.139843,52,8.301129
-7.190409,51,8.32954
-7.189227,51,8.355297
-7.044827,51,8.410619
-7.411223,52,8.439455
-7.16,51,8.469119
-7.113189,52,8.506852
-7.34429,51,8.53193
-6.9543,51,8.564362
-6.843391,51,8.599755
-6.853293,51,8.631895
-7.14,51,8.657542
-6.922296,51,8.687488
-6.89164,51,8.71162
-7.04898,52,8.735778
-7.08,51,8.766367
-7.021003,51,8.792036
-7.38,52,8.817035
-6.832686,51,8.841161
-7.044399,52,9.109922
-7.521083,51,9.133518
-6.948415,51,9.157255
-7.225369,51,9.180288
-6.909618,51,9.20652
-7.13,51,9.231239
-7.443857,51,9.257733
-7.813052,52,9.282367
-7.142881,51,9.308359
-7.159444,51,9.331847
-7.543638,51,9.363965
-7.17745,51,9.395522
-7.327352,52,9.427695
-6.748425,51,9.454074
-6.612633,51,9.486796
-6.900558,51,9.509434
-7.152229,52,9.535342
-7.062667,51,9.560919
-6.912023,51,9.583558
-6.880623,51,9.610953
-7.01128,51,9.634581
-7.004132,51,9.660161
-6.95,51,9.684602
-6.740003,51,9.708756
-7.262776,51,9.735869
-6.610002,51,9.775109
-7.21,51,9.81084
-7.300668,51,9.847734
-7.403908,52,9.877565
-7.235177,51,9.902532
-6.81144,51,9.927826
-7.311383,51,9.950823
-7.04,51,9.977104
-7.012768,51,10.000964
-6.770951,51,10.029555
-6.82109,51,10.057674
-7.17029,51,10.082566
-7.1,51,10.106717
-6.96665,51,10.129655
-7.482139,51,10.152201
-7.020966,52,10.422863
-7.102107,51,10.444792
-6.762321,51,10.467467
-6.807467,51,10.491468
-7.008343,51,10.514004
-6.920453,51,10.536882
-7.58,51,10.561119
-7.040922,51,10.584522
-7.481133,51,10.612749
-7.206652,52,10.640633
-7.279786,51,10.664324
-6.710384,51,10.688477
-7.053345,51,10.711109
-6.833408,51,10.73493
-7.026988,51,10.758739
-7.01,51,10.782419
-7.26,51,10.805808
-7.08,52,10.828394
-7.263457,51,10.851564
-7.62,52,10.876618
