#{"t_start": 1789351135.614573, "env_id": "None"}
r,l,t
-6.61,51,1.245262
-6.626788,51,1.325306
-6.55,50,1.398921
-6.445828,51,1.477145
-6.5715,51,1.540962
-6.903074,51,1.620744
-6.875739,52,1.693655
-6.920006,52,1.765869
-7.131192,51,1.839257
-7.38,51,1.91957
-6.79,51,2.003754
-6.568902,51,2.084319
-6.88,51,2.160633
-6.53,51,2.244675
-6.625611,51,2.329089
-6.563494,51,2.409028
-6.743113,51,2.490564
-6.89,51,2.56257
-7.171972,51,2.650488
-6.895253,51,2.738446
-6.69617,51,2.826443
-6.87,51,2.911983
-6.962755,51,2.992342
-6.657379,50,3.066572
-6.895355,51,3.138905
-6.76,51,3.218894
-6.77,50,3.291778
-7.194518,50,3.36414
-6.64,51,3.439271
-6.416674,51,3.520743
-6.404011,51,3.598852
-6.526745,51,3.682713
-7.595687,52,3.75325
-6.84,51,3.832572
-6.544608,51,3.902394
-6.516077,50,3.974885
-6.480869,51,4.046139
-6.61,51,4.125991
-7.321304,50,4.201751
-7.13,51,4.274311
-6.69092,51,4.849509
-6.78328,51,4.921179
-6.81,51,5.015518
-7.22115,51,5.08348
-6.806232,50,5.150484
-7.089648,51,5.216761
-6.425162,50,5.293358
-7.05,51,5.362819
-6.805246,52,5.436858
-6.75873,50,5.505695
-7.244197,51,5.57609
-6.704667,51,5.649383
-6.991456,51,5.723042
-6.975555,51,5.794598
-7.192631,52,5.890359
-6.940946,51,5.957073
-6.804922,50,6.036031
-7.02627,51,6.105329
-7.286421,52,6.175489
-6.62261,51,6.248256
-6.755264,51,6.31801
-7.210538,51,6.393835
-6.640015,50,6.472393
-6.517423,52,6.551251
-6.341472,51,6.630619
-6.896031,51,6.713006
-6.722822,51,6.788484
-6.83,51,6.867997
-7.202026,51,6.943659
-6.433463,50,7.023173
-7.555762,51,7.101166
-6.664029,50,7.175606
-6.573023,51,7.252192
-6.73,51,7.321338
-6.818516,51,7.393584
-6.870119,52,7.473511
-6.896695,51,7.547573
-6.530196,51,7.6188
-6.774218,52,7.690483
-7.364589,51,7.770899
-7.16007,51,8.318012
-6.920894,51,8.386623
-6.311444,51,8.460998
-6.990018,52,8.53123
-7.064533,51,8.608164
-7.390764,52,8.684973
-7.52664,52,8.753006
-6.55102,51,8.843814
-7.285259,51,8.929465
-6.547401,50,9.001085
-6.724875,51,9.126145
-6.355887,51,9.21309
-6.400017,51,9.301651
-6.919903,52,9.384835
-6.84,51,9.473384
-7.212405,51,9.554951
-6.762133,51,9.630951
-7.12,51,9.712646
-6.72291,51,9.816124
-6.810397,51,9.91184
-6.673556,51,9.991981
-6.970837,51,10.065141
-6.754017,51,10.138015
-6.570443,51,10.207676
-7.060377,50,10.289093
-6.891751,51,10.366898
-7.110749,51,10.458181
-7.050524,51,10.540193
-6.555673,51,10.614948
-6.73,51,10.688033
-6.593399,51,10.761555
-6.733481,51,10.8245
-6.892563,51,10.897796
-6.674953,50,10.975453
-6.9659,51,11.05901
-6.7,51,11.136322
-7.144555,51,11.21889
-7.065207,51,11.306795
-6.58,51,11.387908
-7.25381,51,11.471928
-6.85,51,11.98822
-7.03,51,12.068573
-6.770533,50,12.146836
-6.740305,52,12.219416
-6.197969,51,12.292308
-6.94,51,12.364401
-6.267939,51,12.440737
-6.862787,51,12.512223
-6.76,51,12.590179
-7.040115,51,12.66194
-6.577412,51,12.738325
-7.08,51,12.804597
-6.807876,52,12.879226
-7.068071,52,12.957324
-6.870163,51,13.026147
-6.96,51,13.100093
-6.470098,50,13.167155
-7.000127,51,13.235342
-7.054984,51,13.305638
-6.85,51,13.371756
-7.185984,51,13.465349
-6.502554,50,13.549708
-6.634194,51,13.641481
-7.000108,51,13.733713
-6.705809,51,13.824607
-6.745541,51,13.914864
-6.922109,52,14.004383
-6.76,51,14.096379
-6.994559,50,14.171388
-6.27,51,14.257286
-7.017387,52,14.33614
-6.972125,51,14.408841
-7.390004,51,14.488391
-6.639156,52,14.566292
-6.731207,51,14.656324
-6.54488,51,14.727716
-6.788141,52,14.808275
-6.76,51,14.900472
-7.0,50,14.973216
-6.478958,51,15.065747
-6.86,51,15.543672
-6.293279,52,15.61795
-7.08,52,15.688415
-6.852995,52,15.762344
-6.871654,52,15.840885
-7.06,51,15.922563
-6.421909,51,16.009388
-6.5,50,16.095936
-7.0,52,16.182343
-6.657057,51,16.26248
-7.181239,51,16.34189
-6.800732,51,16.436948
-6.317907,51,16.521722
-6.57302,52,16.600799
-6.54,51,16.68288
-6.716128,51,16.754099
-6.59,51,16.826452
-6.521973,50,16.898748
-6.531118,50,16.980263
-6.884939,51,17.062486
-7.205392,52,17.142396
-6.446209,51,17.218951
-6.75,52,17.29608
-6.640339,51,17.367134
-6.821597,51,17.446071
-6.58,51,17.523095
-6.613825,52,17.591366
-6.93,52,17.672399
-7.083625,51,17.744126
-7.25,51,17.813898
-6.94,51,17.887562
-7.091813,51,17.956546
-7.11,52,18.022713
-6.47,50,18.10094
-6.424979,51,18.177149
-6.890617,52,18.257525
-6.81,50,18.330959
-6.970307,51,18.40763
-6.68,51,18.491007
-6.748336,51,18.566627
-6.698898,50,19.048957
-6.46,51,19.113448
-6.825688,52,19.196634
-6.186327,51,19.273646
-6.520902,51,19.348172
-6.310694,51,19.419217
-6.701491,51,19.495112
-6.31,50,19.570643
-6.04,50,19.637984
-6.984044,52,19.709915
-6.97022,51,19.778038
-6.77,52,19.854589
-6.320085,50,19.929843
-6.544252,50,19.999787
-6.475395,51,20.084133
-6.740677,51,20.156317
-6.802859,51,20.246485
-6.046972,52,20.330841
-6.690136,51,20.412637
-6.687559,51,20.490405
-6.824306,51,20.585068
-6.453167,51,20.669176
-6.505049,50,20.758091
-6.879152,51,20.834976
-6.742093,51,20.914433
-7.39,51,21.000976
-7.15,51,21.084645
-6.230228,51,21.190383
-6.795969,51,21.278584
-7.20448,51,21.356299
-6.483741,51,21.430539
-6.822565,50,21.50352
-6.540305,51,21.582571
-6.680731,51,21.654043
-6.496905,51,21.73222
-6.731113,51,21.803396
-6.314603,51,21.879458
-7.030396,51,21.953531
-6.676606,51,22.034193
-7.05095,51,22.106336
-6.88,50,22.586972
-7.052827,51,22.682372
-6.57,50,22.763145
-6.830732,51,22.844306
-6.54,51,22.925093
-7.022138,51,23.004388
-6.8,52,23.091679
-6.307682,50,23.173494
-6.891919,52,23.253399
-6.5956,51,23.331798
-6.38,51,23.408411
-6.9006,51,23.490591
-6.732497,51,23.578449
-6.34355,51,23.642776
-6.75719,51,23.728224
-6.504191,51,23.797109
-6.999095,51,23.871773
-6.993486,50,23.949756
-6.63,50,24.029376
-6.911829,50,24.105543
-6.306793,51,24.177909
-6.117397,51,24.253264
-6.942264,51,24.326655
-6.3958,51,24.3985
-6.65,51,24.47586
-6.619695,51,24.547829
-6.979922,51,24.625945
-6.938001,52,24.703877
-6.467141,52,24.781897
-6.81,51,24.853548
-6.482891,51,24.92794
-7.24,51,25.0321
-6.45,51,25.139895
-5.951235,50,25.215578
-6.611613,51,25.301808
-7.105223,51,25.388538
-6.450239,50,25.464805
-6.797411,52,25.550048
-6.380754,51,25.626122
-7.066681,50,25.710875
-6.583872,51,25.788302
-6.872664,51,26.271087
-6.36955,52,26.350514
-6.307671,51,26.422728
-6.59,51,26.494255
-6.5,51,26.571588
-6.575457,51,26.655753
-6.84,51,26.730571
-6.775275,51,26.807062
-7.072626,52,26.88569
-6.570373,51,26.959967
-6.744764,52,27.036389
-6.617599,51,27.110193
-7.152188,52,27.189806
-6.720202,51,27.273858
-7.043734,51,27.351785
-6.701262,51,27.429279
-6.599156,51,27.510995
-6.8,50,27.585713
-7.034125,52,27.67171
-7.162073,50,27.748649
-6.706612,51,27.829672
-6.81,51,27.905837
-6.579451,51,27.989516
-6.757842,51,28.071105
-6.391357,51,28.143075
-6.420755,50,28.216595
-6.73697,52,28.291024
-6.674387,51,28.360173
-6.782747,51,28.434093
-6.82,52,28.509128
-6.524548,51,28.586299
-6.476372,51,28.658359
-6.69784,50,28.732801
-6.801514,51,28.804203
-6.744782,52,28.880346
-6.591276,51,28.950781
-6.214363,51,29.027314
-6.82042,52,29.10422
-6.78,51,29.173789
-6.682907,51,29.24915
-6.69,51,29.72773
-6.014093,51,29.808202
-6.461403,52,29.891477
-6.864852,51,29.967063
-6.767457,51,30.04605
-6.900693,51,30.128466
-6.290667,51,30.20434
-6.9846,52,30.283899
-6.377766,50,30.359441
-6.63,51,30.425748
-6.791136,51,30.493336
-6.26,51,30.576223
-6.700001,52,30.647562
-6.78,51,30.718526
-6.35,51,30.795436
-6.101253,50,30.88463
-6.741656,51,30.953663
-6.740212,51,31.031868
-6.732529,51,31.102604
-6.980671,51,31.181278
-6.372894,51,31.255803
-6.47,51,31.329363
-6.469828,51,31.400066
-6.762957,51,31.474376
-6.625736,51,31.55126
-6.44,51,31.622803
-6.79732,51,31.702068
-6.284829,51,31.782017
-6.349391,51,31.860216
-6.495108,50,31.944633
-6.216492,51,32.032071
-6.990024,52,32.115358
-6.61176,51,32.195841
-6.775462,51,32.272388
-6.42,51,32.353821
-6.351014,52,32.43214
-6.560981,51,32.513297
-6.730657,51,32.590615
-6.37,51,32.665329
-6.035864,51,32.731568
-7.05,51,33.225633
-6.806223,51,33.297764
-6.96945,51,33.388117
-6.298875,51,33.460123
-6.450394,51,33.536306
-5.999494,51,33.615333
-6.05,50,33.689943
-7.36,51,33.776867
-6.49,51,33.848004
-7.039265,51,33.924998
-7.225994,51,34.001059
-6.250935,50,34.080798
-6.75,51,34.16317
-6.309178,51,34.239651
-6.22595,51,34.320998
-6.77,51,34.395023
-6.600264,52,34.479383
-7.060054,51,34.560555
-6.433042,52,34.63916
-6.977524,51,34.719027
-6.730278,51,34.794871
-6.4,51,34.874357
-6.98511,50,34.939923
-7.13,50,35.011048
-6.947002,51,35.078527
-6.73,51,35.147717
-6.49098,52,35.223021
-6.82,52,35.300594
-6.759973,51,35.372017
-6.580143,50,35.446691
-6.47028,52,35.525369
-6.775888,51,35.596623
-6.900107,52,35.667571
-6.492246,52,35.742892
-6.065611,51,35.813679
-6.493746,52,35.889751
-6.445331,51,35.961484
-6.5,51,36.033193
-6.591889,51,36.108772
-6.85005,52,36.186842
-6.594128,50,36.687342
-6.583973,51,36.765471
-6.356396,50,36.844016
-6.551318,51,36.920226
-6.555315,52,37.003769
-6.751586,51,37.078637
-6.212529,51,37.146198
-6.17,51,37.213597
-6.732523,50,37.288453
-6.341203,50,37.360451
-6.419898,50,37.425065
-6.33,50,37.498292
-6.026105,51,37.56867
-6.513869,51,37.643812
-6.770575,51,37.725103
-6.489139,51,37.805777
-6.563202,51,37.875637
-6.941914,51,37.94683
-6.372835,51,38.021563
-7.086336,51,38.097411
-6.042936,51,38.17239
-6.538899,51,38.242762
-6.786457,51,38.320566
-6.50316,51,38.402147
-6.84,51,38.482835
-6.680812,52,38.56553
-6.576865,52,38.642494
-6.634553,51,38.723039
-6.620335,51,38.801
-6.077667,51,38.883321
-6.340001,51,38.96552
-6.773508,51,39.044204
-6.231222,51,39.126603
-6.75,52,39.208187
-6.498832,51,39.278989
-6.85,51,39.34968
-6.764639,50,39.416131
-6.500151,51,39.486901
-6.707223,51,39.554044
-6.671403,51,39.621927
-6.820078,51,40.088998
-6.610368,52,40.166852
-6.401377,50,40.232676
-6.706402,51,40.307189
-6.85147,52,40.378236
-6.58,51,40.453821
-6.69,50,40.530045
-6.68,51,40.615385
-6.751483,52,40.697449
-6.587929,51,40.776816
-6.577366,51,40.854123
-7.100325,51,40.932459
-6.633655,51,41.011847
-7.23,51,41.092851
-6.700255,51,41.167954
-6.880761,51,41.250123
-7.032758,51,41.327666
-7.178332,52,41.409686
-6.397811,51,41.480682
-6.354464,51,41.553844
-6.553124,51,41.622492
-6.155934,51,41.68767
-7.04,51,41.754621
-6.232406,51,41.830821
-6.69,51,41.895513
-6.715475,51,41.977754
-6.651886,51,42.055633
-7.087232,51,42.167562
-7.146042,52,42.245291
-7.224501,51,42.321317
-6.322759,51,42.400062
-5.813238,50,42.474522
-6.62346,50,42.551443
-6.551245,51,42.646915
-6.958655,52,42.727916
-6.547734,51,42.8044
-6.780368,51,42.901357
-6.226975,51,43.012542
-6.344272,51,43.101089
-6.861728,51,43.178139
-6.570043,51,43.690966
-6.301737,50,43.773993
-6.87,51,43.84279
-6.482479,50,43.916131
-6.955242,51,43.986408
-6.273437,50,44.061372
-6.826201,51,44.137515
-6.371517,51,44.209522
-6.190823,51,44.287759
-6.817395,51,44.362841
-6.513569,51,44.434794
-6.97,51,44.511832
-6.9,52,44.590994
-6.501253,51,44.66856
-6.611496,52,44.743506
-6.356613,51,44.817219
-6.940253,51,44.897823
-6.661623,51,44.979167
-6.639538,51,45.073502
-6.450428,52,45.162887
-6.662804,51,45.254487
-6.675033,51,45.32987
-6.17133,51,45.412043
-6.314571,51,45.495948
-6.350173,51,45.57182
-6.27,50,45.651901
-6.68,51,45.731503
-7.054119,51,45.821007
-6.787466,51,45.909653
-6.82,51,45.99344
-6.648528,51,46.078507
-6.278516,51,46.155349
-6.150879,51,46.234184
-6.683481,51,46.30846
-6.483924,50,46.391019
-7.18,52,46.46221
-6.082773,52,46.532783
-6.300166,52,46.608873
-6.601624,52,46.68531
-6.541122,51,46.757594
-6.100971,51,47.249608
-6.680637,51,47.342288
-6.13,51,47.417711
-6.53,50,47.488354
-5.694916,51,47.570177
-6.583661,51,47.660992
-6.611073,52,47.74901
-6.524029,51,47.842174
-6.212761,51,47.917202
-6.815013,51,47.997375
-6.24,51,48.077622
-6.280337,51,48.161009
-6.558262,51,48.243801
-6.59163,51,48.329971
-6.431191,51,48.412533
-6.796645,51,48.492667
-6.433909,50,48.567363
-6.137036,50,48.6394
-6.787096,51,48.713376
-6.268978,51,48.781776
-6.13214,51,48.854821
-7.132776,52,48.922673
-5.962727,51,48.990369
-7.032632,52,49.074152
-6.46,52,49.156901
-6.65,51,49.22648
-6.661809,51,49.306823
-5.963223,51,49.378187
-7.440186,51,49.447419
-5.877152,50,49.519615
-5.99335,51,49.594178
-6.251302,51,49.664401
-6.52,51,49.74182
-6.784149,51,49.828242
-6.312911,52,49.917886
-6.330295,51,49.998882
-6.948056,51,50.074132
-6.973328,52,50.152938
-6.426875,51,50.233168
-6.410226,51,50.306053
-6.393215,51,50.785386
-6.683426,51,50.851099
-6.367711,51,50.919102
-6.96,51,50.984826
-6.47,50,51.053093
-6.09,50,51.124226
-6.133139,51,51.191229
-6.661398,51,51.259007
-5.425103,51,51.332597
-6.275558,50,51.400484
-6.454921,50,51.47004
-6.798054,52,51.542958
-6.703066,51,51.611583
-6.452935,51,51.686344
-6.516419,51,51.754434
-6.782365,51,51.82478
-6.57,50,51.894209
-6.22,51,51.975924
-6.690054,50,52.061683
-6.680497,52,52.145094
-6.341222,51,52.217741
-6.65,51,52.292566
-6.480003,50,52.370584
-6.835207,51,52.442728
-6.420505,51,52.521979
-6.78,51,52.597072
-6.690754,51,52.677004
-6.448967,51,52.75633
-7.055356,51,52.8288
-6.374472,51,52.903793
-6.75,51,52.971389
-6.44,50,53.042424
-6.781188,51,53.114646
-6.43,51,53.180564
-6.222303,51,53.252084
-6.352438,51,53.31861
-6.460356,51,53.384443
-6.182475,51,53.457449
-6.6204,51,53.528424
-6.629981,51,53.59802
-5.851362,51,53.672107
-6.218013,51,54.147138
-6.260118,50,54.230518
-6.22615,51,54.31315
-6.573728,51,54.387491
-6.237,51,54.469097
-6.661589,52,54.550821
-5.941515,51,54.624953
-7.280708,51,54.703626
-6.460344,52,54.780255
-6.410472,51,54.850257
-6.112193,50,54.929449
-6.641521,51,55.001441
-6.500023,51,55.073165
-6.082541,51,55.141669
-6.539694,52,55.214751
-6.948671,51,55.281762
-5.92,51,55.349275
-6.813426,52,55.424862
-6.710302,51,55.493766
-6.250001,50,55.560516
-6.180058,51,55.629643
-6.153793,50,55.699441
-6.511078,52,55.775331
-6.115428,51,55.845953
-7.01,52,55.92252
-6.753132,50,55.992519
-6.63007,52,56.063444
-5.934497,50,56.137744
-6.31,51,56.208873
-6.975693,51,56.287986
-6.682889,51,56.374417
-6.6503,52,56.466685
-6.415584,51,56.545893
-6.554744,50,56.624101
-6.501108,51,56.703211
-6.652442,52,56.784899
-6.17,51,56.865516
-6.231324,51,56.945173
-6.885904,51,57.022774
-6.701056,51,57.103588
-6.600338,51,57.553109
-6.575066,51,57.626699
-6.170358,51,57.700251
-6.15,51,57.768552
-6.370079,51,57.842213
-6.329425,51,57.919756
-6.06,51,57.990892
-6.136597,51,58.063006
-6.862592,51,58.144405
-6.601131,51,58.226672
-6.58256,52,58.299777
-6.284368,51,58.376219
-6.390054,51,58.448517
-6.77,51,58.528343
-6.030525,50,58.615192
-6.587363,51,58.697986
-6.41,52,58.779314
-5.97,51,58.854307
-6.940117,50,58.933968
-6.43,51,59.014068
-6.489109,51,59.090406
-6.590839,51,59.175243
-6.728691,51,59.256082
-6.101091,51,59.332769
-5.704552,50,59.407128
-6.584132,51,59.482682
-6.310431,51,59.556234
-6.740038,50,59.623413
-6.960762,51,59.696935
-7.227791,51,59.759946
-6.693203,51,59.833538
-6.57144,51,59.902417
-6.38664,51,59.971584
-6.652771,51,60.046458
-6.062012,51,60.120108
-6.650764,51,60.191719
-6.617948,50,60.261034
-6.69,51,60.337883
-6.52,51,60.409986
-6.350308,51,60.481423
-6.492273,51,60.989591
-6.01,50,61.070807
-6.736328,51,61.153279
-6.071116,50,61.225379
-5.844219,51,61.310362
-6.861511,51,61.392359
-6.04,51,61.468353
-6.988589,51,61.550509
-6.28,51,61.626491
-6.603771,51,61.696688
-6.437336,52,61.771613
-6.41,51,61.845698
-6.150621,51,61.91645
-6.275925,51,61.987698
-6.545338,51,62.059033
-5.753889,50,62.126805
-6.555766,52,62.194613
-6.02,51,62.262756
-6.853035,51,62.336847
-6.420958,52,62.410331
-6.720002,51,62.48452
-6.630818,51,62.554548
-6.227302,51,62.630035
-6.595498,52,62.701404
-6.542459,51,62.776166
-6.675116,51,62.847656
-6.354936,51,62.923303
-6.37,52,63.012216
-6.42,52,63.100297
-6.02,50,63.182578
-5.908329,51,63.268674
-5.904439,51,63.344573
-6.403953,51,63.426269
-6.08,51,63.503939
-6.507825,50,63.588346
-6.986762,52,63.667118
-6.06,52,63.750839
-6.605968,51,63.826422
-6.628899,51,63.900497
-6.241367,51,63.973879
-7.178264,52,64.412323
-6.020184,50,64.485244
-6.35,51,64.552682
-6.302561,51,64.629836
-6.34129,51,64.700173
-6.350026,52,64.777835
-6.093731,51,64.849172
-6.328304,51,64.92225
-6.205082,51,64.99549
-6.671694,51,65.073121
-6.721115,52,65.159122
-6.220659,51,65.24901
-6.052224,51,65.337069
-6.480088,50,65.418246
-5.671254,51,65.502704
-6.415897,51,65.579174
-5.970063,50,65.659846
-5.891223,50,65.733994
-6.557887,51,65.819544
-6.334573,50,65.899664
-6.393645,51,65.986701
-6.100481,50,66.065873
-6.640614,51,66.136312
-6.930759,51,66.210129
-6.28972,51,66.279953
-6.674631,51,66.348074
-6.400788,51,66.419683
-6.888782,51,66.487829
-6.481497,50,66.552166
-6.193909,52,66.620461
-6.136774,50,66.685159
-6.120029,51,66.756614
-6.355947,51,66.829218
-6.079856,51,66.90071
-6.41377,51,66.975579
-6.506637,51,67.047533
-6.680569,51,67.12084
-6.218856,51,67.19445
-6.319151,51,67.271992
-5.820075,50,67.350794
-5.976421,51,67.881973
-6.073037,51,67.962864
-5.765004,50,68.042578
-6.490021,51,68.117472
-6.062117,50,68.196083
-6.31838,51,68.268003
-6.28784,51,68.335453
-6.029963,51,68.406555
-6.312461,50,68.471483
-6.446984,51,68.538379
-6.473318,52,68.610457
-6.110001,51,68.67598
-6.622313,52,68.7429
-5.796255,50,68.813112
-5.849436,51,68.878945
-6.87,51,68.94495
-6.667378,52,69.01977
-6.347484,52,69.089775
-6.436009,51,69.157796
-6.274876,51,69.232205
-6.642431,52,69.30931
-6.542776,52,69.383634
-5.98,51,69.461877
-5.881777,51,69.543385
-6.420768,51,69.630524
-6.446486,50,69.715993
-6.57,52,69.799635
-5.722712,51,69.894945
-5.777361,50,70.001324
-6.071979,51,70.099656
-6.092355,50,70.180014
-6.683496,51,70.259501
-6.443903,52,70.337627
-5.620654,51,70.414407
-5.92,50,70.480089
