#{"t_start": 1789402776.532269, "env_id": "None"}
r,l,t
-2.209781,51,1.013856
-1.831965,51,1.043993
-2.1039,51,1.073964
-1.933392,51,1.103744
-1.493349,51,1.13504
-1.562219,51,1.164944
-1.98431,51,1.19471
-1.571188,52,1.22548
-1.643803,51,1.254095
-1.932977,51,1.279905
-1.799614,51,1.305704
-1.717144,51,1.331408
-1.633198,51,1.360099
-1.489294,51,1.386281
-2.013289,51,1.411953
-1.365213,51,1.437541
-2.505845,51,1.463142
-1.71184,51,1.488645
-1.663919,51,1.515362
-1.727911,51,1.541684
-1.763705,51,1.567372
-2.334055,51,1.593029
-1.306184,51,1.618718
-2.910098,51,1.646797
-1.674923,51,1.675916
-2.371128,51,1.702117
-1.761011,51,1.727793
-2.101855,51,1.753577
-1.24691,50,1.77889
-1.769193,52,1.805139
-1.629301,50,1.830351
-1.946053,51,1.855963
-1.787345,51,1.88366
-1.530183,50,1.913433
-1.339789,52,1.939907
-1.464923,51,1.965799
-1.324924,51,1.991404
-2.89822,51,2.017159
-1.902245,52,2.045153
-1.357925,52,2.071313
-1.550429,52,2.369316
-1.986623,51,2.395182
-1.788263,51,2.420884
-1.501895,51,2.446457
-1.409682,51,2.472324
-1.587684,51,2.498236
-1.594726,50,2.526705
-2.044099,51,2.556261
-1.722472,51,2.585935
-1.669174,51,2.616667
-1.507169,51,2.649371
-1.759051,51,2.679341
-1.508418,51,2.709117
-1.689414,50,2.736796
-1.559371,51,2.762613
-1.896827,50,2.791165
-1.424969,51,2.816743
-1.75585,51,2.842351
-1.737385,52,2.869914
-1.917627,51,2.895517
-1.488316,51,2.921024
-1.893195,51,2.946618
-2.022666,51,2.972166
-1.840501,51,2.997661
-1.533597,51,3.023211
-2.32015,51,3.048736
-1.727101,51,3.074236
-1.465892,50,3.099309
-2.1639,52,3.125272
-1.728671,51,3.150645
-2.221734,51,3.176241
-1.449799,50,3.201204
-2.017686,51,3.226883
-1.635297,50,3.25214
-1.310654,51,3.277776
-1.787012,51,3.303576
-1.777125,51,3.334099
-1.360981,50,3.364331
-1.859478,51,3.392079
-1.898174,51,3.418247
-1.369813,51,3.698223
-1.710806,52,3.724716
-1.6817,51,3.750492
-1.699525,51,3.776261
-1.603032,51,3.802131
-1.79047,51,3.828002
-1.513173,50,3.853488
-1.214651,51,3.879321
-1.779116,51,3.905115
-1.522023,50,3.930474
-1.632909,50,3.955806
-1.432739,51,3.981618
-1.984017,51,4.007401
-1.480341,51,4.033157
-2.161608,51,4.058775
-1.623911,51,4.084395
-2.034402,51,4.109999
-1.897619,51,4.135711
-2.150744,51,4.161343
-1.809091,50,4.186535
-1.38566,52,4.212545
-1.512854,50,4.237695
-1.814157,50,4.262816
-1.815826,50,4.288014
-1.618271,51,4.313572
-1.714381,51,4.339188
-1.854246,51,4.364733
-1.512005,51,4.390291
-1.631717,50,4.415338
-1.516236,51,4.440925
-2.089094,51,4.466571
-1.642548,52,4.492711
-1.980121,51,4.518345
-2.019535,51,4.543698
-1.420348,51,4.569239
-1.459961,51,4.594676
-1.687854,51,4.620294
-1.516124,52,4.646408
-1.500357,51,4.672038
-2.1102,51,4.697429
-1.418077,51,4.977345
-1.404878,52,5.003955
-2.30127,51,5.029757
-1.335777,50,5.054815
-1.732681,50,5.080088
-1.361885,51,5.105866
-1.442471,52,5.132366
-2.014889,51,5.158892
-1.970138,51,5.186348
-2.132043,52,5.21263
-1.551597,50,5.238127
-1.453946,52,5.264671
-1.44728,50,5.289855
-1.545341,51,5.315479
-1.939657,51,5.341031
-1.286359,51,5.36688
-1.690816,51,5.392411
-2.067565,51,5.418158
-1.56675,51,5.443744
-1.709247,51,5.471048
-1.488819,51,5.627169
-2.255143,51,5.664283
-1.840769,51,5.692924
-1.818563,51,5.72337
-1.819656,50,5.75116
-1.54751,50,5.779583
-1.361093,50,5.806931
-1.902362,51,5.832703
-1.583658,51,5.858298
-1.634155,51,5.883894
-1.992972,51,5.909425
-1.340285,50,5.934549
-1.465854,52,5.960689
-1.680969,51,5.988672
-2.01817,52,6.016904
-1.408565,51,6.046284
-1.749917,52,6.075418
-1.644538,51,6.104809
-1.734414,51,6.133536
-1.486563,51,6.160441
-2.274772,51,6.447963
-1.555572,50,6.473407
-1.66859,51,6.49911
-1.519406,50,6.524021
-1.583968,50,6.549185
-1.938163,51,6.574913
-1.62944,51,6.602128
-2.378042,51,6.628487
-1.65507,52,6.655139
-1.439141,52,6.68152
-1.640022,51,6.707297
-2.052689,51,6.733073
-1.439364,52,6.759205
-1.95823,51,6.784829
-1.645232,52,6.810827
-1.214639,51,6.836264
-2.167012,51,6.861813
-1.76414,51,6.887386
-1.410049,51,6.912921
-1.7949,51,6.938395
-1.355354,51,6.96379
-2.004164,51,6.989222
-1.693208,51,7.014704
-1.481162,51,7.040107
-1.935387,51,7.065377
-1.537267,52,7.091304
-1.873433,51,7.116786
-2.058587,51,7.142402
-1.711352,51,7.167859
-1.754901,52,7.19392
-1.367165,51,7.219293
-2.080138,51,7.24454
-1.596997,52,7.270607
-1.351768,51,7.296015
-1.550296,52,7.32201
-1.594817,50,7.347047
-1.668088,51,7.372486
-1.35693,51,7.39794
-1.354155,50,7.422973
-1.508946,52,7.448791
-1.896571,51,7.719517
-1.794377,51,7.745678
-1.300199,51,7.771518
-2.184063,51,7.797092
-1.905994,51,7.822886
-1.568797,51,7.848693
-1.451109,51,7.874339
-1.248829,51,7.900178
-1.531958,50,7.925598
-1.573074,52,7.951918
-1.882731,52,7.978238
-1.426065,51,8.004117
-1.775693,51,8.029843
-1.794218,51,8.055409
-1.887542,51,8.081036
-1.584649,51,8.107396
-1.636319,51,8.133859
-1.634312,51,8.164537
-1.789164,51,8.190439
-1.916184,51,8.216232
-1.776886,51,8.242026
-1.438312,51,8.267855
-1.512911,52,8.293951
-1.5558,51,8.319686
-1.712954,51,8.345306
-1.523841,51,8.370744
-1.364719,51,8.396167
-1.989552,51,8.421579
-1.474253,51,8.447068
-1.696921,51,8.472598
-1.837402,52,8.498816
-1.901283,51,8.524235
-1.758018,51,8.549661
-1.60095,50,8.574622
-1.60279,52,8.600665
-1.546112,50,8.625703
-1.55549,51,8.65105
-2.079222,51,8.676472
-1.525179,52,8.700618
-1.576154,51,8.724704
-2.086774,51,8.988232
-1.484792,50,9.013749
-1.38574,51,9.03767
-1.437893,50,9.062719
-1.587824,51,9.087892
-1.829039,51,9.112234
-1.528455,51,9.137833
-1.21834,51,9.163387
-1.626349,51,9.188909
-1.237538,51,9.214353
-1.468037,51,9.239983
-1.649895,51,9.265535
-1.530799,51,9.289294
-1.32499,52,9.315138
-2.009915,51,9.338778
-1.565154,50,9.361938
-1.243745,50,9.386771
-1.478746,51,9.410758
-2.195545,51,9.436813
-1.791086,51,9.463939
-1.75295,50,9.498168
-1.779123,52,9.531152
-2.084906,51,9.559962
-1.895874,51,9.589298
-1.696378,51,9.615337
-1.429693,51,9.642068
-1.799629,51,9.672362
-1.431026,51,9.699794
-2.214157,51,9.727878
-1.315354,50,9.751578
-1.918785,51,9.77729
-2.0619,51,9.801111
-2.047024,51,9.825889
-1.516494,51,9.850384
