#{"t_start": 1789368888.601933, "env_id": "None"}
r,l,t
-2.066098,51,1.04458
-1.639851,51,1.060977
-1.865482,52,1.077443
-1.890152,52,1.094243
-1.526944,51,1.11187
-1.73402,51,1.128328
-2.111124,51,1.144785
-1.919898,51,1.161645
-1.955445,51,1.17857
-1.635881,51,1.197209
-1.724666,52,1.215728
-1.527234,51,1.233898
-1.706402,51,1.252692
-1.61266,51,1.272138
-2.012766,52,1.291554
-1.507549,51,1.310811
-2.446855,51,1.330095
-1.612223,51,1.348865
-1.603478,51,1.368405
-1.720048,51,1.388806
-1.48666,51,1.409345
-2.026901,51,1.432946
-1.276754,51,1.457905
-2.592478,51,1.47708
-1.542305,51,1.497728
-1.823125,51,1.517421
-1.899061,51,1.537335
-1.924376,51,1.555529
-1.239934,51,1.573673
-1.75993,51,1.592684
-1.990998,51,1.611576
-2.322881,51,1.630813
-1.538071,51,1.649612
-1.86903,51,1.667703
-1.310672,51,1.686122
-1.677142,51,1.706554
-1.608361,51,1.728529
-2.881027,51,1.748143
-1.976486,51,1.768014
-1.49754,51,1.786538
-1.603844,51,2.030125
-1.909774,51,2.050004
-1.75428,51,2.068138
-1.533526,51,2.087732
-1.536213,51,2.107281
-1.63765,51,2.125656
-1.826081,51,2.143677
-1.914183,52,2.163025
-1.684305,51,2.182258
-1.549885,51,2.202114
-1.726348,51,2.222988
-1.828904,51,2.241788
-1.423391,51,2.260238
-1.720101,51,2.279586
-1.526062,51,2.298765
-2.26632,51,2.318431
-1.695118,51,2.337861
-1.606154,51,2.356862
-1.810408,51,2.376243
-1.823511,51,2.395656
-1.428329,51,2.415105
-2.489169,52,2.434762
-1.935038,51,2.455285
-1.77879,51,2.474514
-1.726022,51,2.493738
-1.936326,51,2.513294
-1.848126,51,2.533797
-1.654992,52,2.553999
-2.859404,51,2.582234
-2.179454,51,2.611348
-2.107003,51,2.632917
-1.54386,51,2.651593
-1.816503,51,2.671476
-1.45687,52,2.690356
-1.602803,52,2.709299
-1.627594,52,2.728716
-2.523976,51,2.749511
-1.881121,51,2.768444
-1.602066,51,2.787684
-1.838936,51,2.807208
-1.367902,51,3.029176
-1.673638,52,3.04832
-1.777179,51,3.067335
-1.49234,51,3.086773
-1.48147,51,3.105931
-1.941223,51,3.124789
-1.808137,51,3.144064
-1.49354,51,3.162975
-1.657226,51,3.182236
-1.806061,51,3.201166
-1.782874,51,3.220157
-1.704356,51,3.239559
-1.627708,52,3.25948
-1.54661,51,3.277975
-1.586011,51,3.296863
-2.14105,51,3.316222
-1.756169,51,3.335122
-1.58455,51,3.35403
-2.002683,51,3.373588
-1.891255,51,3.391726
-1.466103,51,3.411062
-1.434225,51,3.429976
-1.736927,51,3.448748
-1.969889,51,3.467912
-1.779434,51,3.487075
-1.810118,51,3.506026
-1.996239,51,3.524936
-1.777184,51,3.543827
-1.768748,51,3.565578
-1.874114,51,3.585072
-1.785359,51,3.604694
-2.069228,51,3.6253
-2.063566,51,3.649891
-2.147397,51,3.669063
-1.790821,51,3.688511
-1.405196,51,3.708453
-1.663246,51,3.727427
-1.760431,52,3.747794
-1.660551,51,3.766666
-1.929546,51,3.785971
-1.458481,51,4.001391
-1.264091,51,4.02082
-1.685089,51,4.040489
-1.94376,52,4.059593
-1.379207,51,4.078972
-1.42392,51,4.098507
-2.447142,51,4.117433
-1.633658,51,4.136553
-1.468325,51,4.156338
-1.74949,51,4.175399
-1.659407,51,4.194269
-1.81164,51,4.213215
-1.642134,51,4.237402
-2.427312,51,4.257684
-1.615941,51,4.27695
-2.01214,51,4.295709
-2.013563,52,4.316034
-2.158112,51,4.335309
-1.638115,51,4.353919
-1.388124,51,4.372749
-1.768547,51,4.391579
-1.53075,51,4.412093
-1.441856,51,4.430472
-1.780502,51,4.452517
-1.452065,51,4.474266
-1.562205,51,4.493459
-1.638098,52,4.517248
-1.769051,51,4.536935
-2.067955,51,4.555308
-1.85015,51,4.574253
-1.768391,51,4.593149
-1.48717,51,4.612044
-1.504476,51,4.630871
-1.654321,52,4.650168
-1.967423,51,4.669084
-1.825328,51,4.688752
-1.930646,51,4.70667
-1.465342,52,4.72552
-1.91124,51,4.743646
-1.814421,51,4.76224
-1.944932,51,4.967244
-1.503272,52,4.987224
-1.380214,51,5.006221
-1.520625,51,5.025611
-1.749693,51,5.044351
-1.770236,51,5.063618
-2.736541,52,5.083476
-1.402817,51,5.102999
-1.570694,51,5.122521
-1.900441,51,5.141878
-1.86493,51,5.161302
-1.79504,51,5.18068
-1.781733,51,5.200132
-2.29188,51,5.219457
-1.786412,52,5.24022
-1.761144,51,5.259326
-1.592506,51,5.278163
-2.014285,51,5.297217
-1.539168,51,5.315726
-1.593557,51,5.334643
-1.596333,51,5.353431
-1.622325,51,5.372804
-1.723537,51,5.390676
-1.529768,51,5.409267
-1.734353,51,5.427945
-1.355114,52,5.447689
-1.745001,51,5.466068
-1.935844,51,5.485401
-1.721075,51,5.504736
-1.615033,51,5.523816
-1.985302,51,5.542807
-1.794515,51,5.562599
-1.522291,52,5.581653
-1.57913,51,5.600668
-1.624027,51,5.619079
-1.731197,51,5.637553
-2.12785,51,5.655949
-1.60747,51,5.674434
-1.714585,51,5.693616
-1.689303,51,5.713656
-2.279873,51,5.924016
-1.734265,51,5.94348
-1.394773,51,5.962306
-1.543528,52,5.98187
-1.370348,51,6.000751
-1.741439,52,6.020459
-1.496445,51,6.039373
-1.518782,51,6.058234
-2.005492,51,6.077111
-1.779451,51,6.095981
-1.334479,52,6.115221
-1.875141,51,6.134506
-1.538598,51,6.15335
-1.121669,51,6.171607
-1.930015,52,6.190778
-1.561749,51,6.208868
-1.323264,51,6.226652
-1.970273,51,6.244434
-1.899114,51,6.262989
-1.996575,52,6.281764
-1.445122,52,6.305264
-2.000558,51,6.328493
-1.421998,51,6.36285
-1.880445,51,6.391244
-1.703802,51,6.412709
-1.469861,51,6.433771
-1.694127,51,6.452534
-2.140367,51,6.472277
-1.42477,51,6.498427
-1.41937,51,6.520871
-1.553524,51,6.540273
-1.55532,51,6.558214
-1.54508,51,6.577612
-1.400821,51,6.595895
-1.529855,51,6.614038
-1.881318,52,6.633039
-1.476662,52,6.652113
-1.325199,51,6.67014
-1.574457,51,6.689132
-1.537451,51,6.70789
-1.461384,51,6.913471
-1.471278,51,6.932098
-1.554562,51,6.951454
-1.926288,51,6.970361
-1.791557,51,6.989147
-1.96884,51,7.008541
-1.561843,51,7.028755
-1.494711,51,7.047651
-1.616883,51,7.067141
-1.589837,51,7.086709
-1.539472,51,7.106195
-1.418867,51,7.125647
-1.478103,51,7.144643
-1.358899,51,7.162849
-1.660786,51,7.181618
-1.552447,51,7.200465
-1.732781,51,7.21957
-1.836908,51,7.238852
-1.527288,51,7.257524
-1.544886,51,7.27633
-1.938344,51,7.295103
-1.952385,51,7.314352
-1.948085,51,7.333097
-1.459062,51,7.351853
-1.497718,52,7.371522
-1.509788,52,7.39083
-1.653049,51,7.409709
-1.373761,51,7.427894
-1.625773,51,7.445526
-1.397739,51,7.46323
-1.724666,51,7.481523
-1.352348,51,7.49932
-1.574477,51,7.517609
-1.594224,51,7.53631
-1.858078,51,7.554998
-2.358377,51,7.573601
-1.911198,52,7.592496
-1.567914,51,7.61602
-1.651994,51,7.637371
-1.409606,51,7.656489
-1.559505,51,7.860536
-1.306444,51,7.879612
-1.721007,51,7.898154
-1.381579,51,7.916116
-1.906841,51,7.934111
-1.477608,52,7.952666
-2.475798,51,7.97116
