rep,mean_bi,peak_bi,weeks_bi_ge10_pct,weeks_bi_ge5_pct,total_cost,n_sr,n_sp,arm
0,3.5205704900611963,10.27572678461861,0.2,31.2,0.0,0,0,none
1,3.5735059761490993,11.558827154133272,0.8,31.4,0.0,0,0,none
2,3.555085312669689,11.491755195655884,1.7999999999999998,32.0,0.0,0,0,none
3,3.4755978427557728,11.036651673963425,2.0,29.799999999999997,0.0,0,0,none
4,3.610058176329036,12.719639966097866,1.4000000000000001,32.0,0.0,0,0,none
5,3.581162792182914,11.686173882961683,1.2,31.2,0.0,0,0,none
6,3.47520887470462,10.724262310611014,0.6,32.0,0.0,0,0,none
7,3.577573746811968,11.877709145842172,1.4000000000000001,32.0,0.0,0,0,none
8,3.562545115023868,11.941921622593817,1.6,29.4,0.0,0,0,none
9,3.5375952860124387,11.525809408455363,0.8,30.599999999999998,0.0,0,0,none
0,3.5205704900611963,10.27572678461861,0.2,31.2,0.0,0,0,threshold
1,3.5735059761490993,11.558827154133272,0.8,31.4,0.0,0,0,threshold
2,3.555085312669689,11.491755195655884,1.7999999999999998,32.0,0.0,0,0,threshold
3,3.4755978427557728,11.036651673963425,2.0,29.799999999999997,0.0,0,0,threshold
4,3.610058176329036,12.719639966097866,1.4000000000000001,32.0,0.0,0,0,threshold
5,3.581162792182914,11.686173882961683,1.2,31.2,0.0,0,0,threshold
6,3.47520887470462,10.724262310611014,0.6,32.0,0.0,0,0,threshold
7,3.577573746811968,11.877709145842172,1.4000000000000001,32.0,0.0,0,0,threshold
8,3.562545115023868,11.941921622593817,1.6,29.4,0.0,0,0,threshold
9,3.5375952860124387,11.525809408455363,0.8,30.599999999999998,0.0,0,0,threshold
0,2.9898803583601357,9.998831593144136,0.0,22.0,23.0,23,0,calendar
1,2.9879569217619117,10.04336558509447,0.2,21.8,25.0,25,0,calendar
2,2.930248515421018,11.491755195655884,0.2,21.0,26.0,26,0,calendar
3,2.97968389123501,11.036651673963425,0.6,20.200000000000003,21.0,21,0,calendar
4,3.0751784791696664,9.641241525916687,0.0,22.2,23.0,23,0,calendar
5,3.0264838862877768,10.50089398590249,0.4,21.8,23.0,23,0,calendar
6,2.9058414062983866,10.118507972322792,0.2,20.8,25.0,25,0,calendar
7,2.890523346521006,9.74438250241952,0.0,20.200000000000003,28.0,28,0,calendar
8,3.062786938776726,10.10846694305709,0.4,20.200000000000003,22.0,22,0,calendar
9,3.004861028297703,9.568764851695825,0.0,21.0,23.0,23,0,calendar
0,2.0376805038937875,7.133395436495315,0.0,4.0,63.0,63,0,ppo_a0.1_s0_acts012
1,2.066458704962813,8.70508019085569,0.0,6.4,62.0,62,0,ppo_a0.1_s0_acts012
2,2.0365259898088026,8.194764720785715,0.0,5.0,63.0,63,0,ppo_a0.1_s0_acts012
3,1.9844518398051665,7.323399653138507,0.0,5.2,64.0,64,0,ppo_a0.1_s0_acts012
4,2.002059572328174,7.317657067912346,0.0,4.3999999999999995,69.0,69,0,ppo_a0.1_s0_acts012
5,2.0598807805979304,8.659326909104713,0.0,5.6000000000000005,64.0,64,0,ppo_a0.1_s0_acts012
6,1.9933597209690377,7.789724449270406,0.0,5.2,65.0,65,0,ppo_a0.1_s0_acts012
7,2.0403642511944,7.704103637026934,0.0,5.6000000000000005,65.0,65,0,ppo_a0.1_s0_acts012
8,2.018067338311668,7.363361478177297,0.0,3.4000000000000004,66.0,66,0,ppo_a0.1_s0_acts012
9,2.034242211114012,6.8488257647001,0.0,5.0,65.0,65,0,ppo_a0.1_s0_acts012
0,2.169743169265359,7.394338831329825,0.0,5.0,55.0,55,0,ppo_a0.1_s1_acts012
1,2.1594369036623666,8.70508019085569,0.0,7.000000000000001,58.0,58,0,ppo_a0.1_s1_acts012
2,2.1022155493315218,7.240080056995693,0.0,4.6,60.0,60,0,ppo_a0.1_s1_acts012
3,2.1289659354420665,8.318885366587367,0.0,6.0,54.0,54,0,ppo_a0.1_s1_acts012
4,2.255911782957271,7.694652285111873,0.0,5.800000000000001,55.0,55,0,ppo_a0.1_s1_acts012
5,2.081517597233782,8.659326909104713,0.0,4.0,61.0,61,0,ppo_a0.1_s1_acts012
6,2.2048781598465146,7.790597956954608,0.0,7.6,53.0,53,0,ppo_a0.1_s1_acts012
7,2.1269134924308095,7.704103637026934,0.0,5.2,58.0,58,0,ppo_a0.1_s1_acts012
8,2.179974961503322,7.387481176037665,0.0,6.2,57.0,57,0,ppo_a0.1_s1_acts012
9,2.168310031690555,7.225538570664787,0.0,5.6000000000000005,56.0,56,0,ppo_a0.1_s1_acts012
0,2.1338975218860643,7.569426974447725,0.0,5.4,57.0,57,0,ppo_a0.1_s2_acts012
1,2.205755783845084,8.70508019085569,0.0,7.8,56.0,56,0,ppo_a0.1_s2_acts012
2,2.1438527128102307,7.358496360008302,0.0,5.800000000000001,57.0,57,0,ppo_a0.1_s2_acts012
3,2.1509289235366933,8.07712038394164,0.0,5.6000000000000005,54.0,54,0,ppo_a0.1_s2_acts012
4,2.2391963323099557,7.068208295340132,0.0,6.0,56.0,56,0,ppo_a0.1_s2_acts012
5,2.2000747133452934,7.6936985763180585,0.0,5.2,54.0,54,0,ppo_a0.1_s2_acts012
6,2.163223192137184,7.618213781192252,0.0,6.6000000000000005,55.0,55,0,ppo_a0.1_s2_acts012
7,2.1616629397322034,7.704103637026934,0.0,5.4,57.0,57,0,ppo_a0.1_s2_acts012
8,2.2741344051583563,7.3926067668126985,0.0,6.2,51.0,51,0,ppo_a0.1_s2_acts012
9,2.087919549615557,6.794287070625772,0.0,4.0,60.0,60,0,ppo_a0.1_s2_acts012
