C_max,seed,features,model,mean_return,mean_return_sd,mean_bi,total_cost,weeks_bi_ge10_pct
inf,0,baseline,ppo_cinf_s0,-0.7572031850660701,0.026534287323047044,2.027309091298579,64.6,0.0
inf,0,adjacency,ppo_cinf_s0_adj,-0.688795184974676,0.04358384070238536,2.107838476642859,59.0,0.0
inf,1,baseline,ppo_cinf_s1,-0.6896095647159239,0.02943808030372919,2.157786758336357,56.7,0.0
inf,1,adjacency,ppo_cinf_s1_adj,-0.734033292061165,0.07807596640772488,2.217743975291291,54.7,0.0
inf,2,baseline,ppo_cinf_s2,-0.6720764709076426,0.025207355754918625,2.176064607437662,55.7,0.0
inf,2,adjacency,ppo_cinf_s2_adj,-0.6736912653069995,0.03540935368303743,2.247953548152379,51.8,0.0
inf,3,baseline,ppo_cinf_s3,-0.6565148551567302,0.033565498154172056,2.2414210764558353,51.9,0.0
inf,3,adjacency,ppo_cinf_s3_adj,-0.6951921552040404,0.05540596559010308,2.2052243719114624,52.2,0.0
inf,4,baseline,ppo_cinf_s4,-0.7134278645455109,0.0365006352883174,2.148516359557952,57.9,0.0
inf,4,adjacency,ppo_cinf_s4_adj,-0.7299816552779312,0.0408542284862121,2.158595395238037,57.5,0.0
2,0,baseline,ppo_c2_s0,-0.6696385364563318,0.03515602890329521,2.303045867471628,49.4,0.0
2,0,adjacency,ppo_c2_s0_adj,-0.6658716565414395,0.042737294446652176,2.2787652474605267,51.1,0.0
2,1,baseline,ppo_c2_s1,-0.6545990373326301,0.05269598651576419,2.3074959938824127,49.3,0.0
2,1,adjacency,ppo_c2_s1_adj,-0.6387441102036588,0.0220160942877751,2.3078863613914766,48.7,0.0
2,2,baseline,ppo_c2_s2,-0.6829630436456328,0.0389197261896857,2.3322138397687517,47.7,0.0
2,2,adjacency,ppo_c2_s2_adj,-0.6711488373242005,0.03560401701419218,2.332977150770099,47.9,0.0
2,3,baseline,ppo_c2_s3,-0.6566766249575972,0.024553828468104954,2.2987690642174785,49.4,0.0
2,3,adjacency,ppo_c2_s3_adj,-0.6543439416523262,0.03306496548182053,2.2783966706911487,50.7,0.0
2,4,baseline,ppo_c2_s4,-0.6863371618973357,0.02659839238295753,2.2458530855053938,52.5,0.0
2,4,adjacency,ppo_c2_s4_adj,-0.6524831370173436,0.03095654567716999,2.298452060107839,49.0,0.0
