eval_seed,grid,delta,dp_value,true_return_of_policy,n_sr,n_sp,chosen_delta
10000,conghua,0.005,-0.024688763458934122,-0.02469184623405066,2,0,0.005
10000,conghua,0.002,-0.02463412766824593,-0.02469184623405066,2,0,0.005
10000,huadu,0.005,-0.021565393996560694,-0.021457211478440732,2,0,0.005
10000,huadu,0.002,-0.021482899161911626,-0.021457211478440732,2,0,0.005
10000,zengcheng,0.005,-0.03646274554005492,-0.03661784492272309,3,0,0.005
10000,zengcheng,0.002,-0.036610640782588376,-0.03661784492272309,3,0,0.005
10000,baiyun,0.005,-0.0501648914480852,-0.05018796741174384,5,0,0.005
10000,baiyun,0.002,-0.050177880488366036,-0.05018796741174384,5,0,0.005
10000,tianhe,0.005,-0.06725339323949092,-0.06729705328606607,6,0,0.005
10000,tianhe,0.002,-0.06733559174915371,-0.06729705328606607,6,0,0.005
10000,yuexiu,0.005,-0.04824758189725525,-0.04769988269798982,4,0,0.005
10000,yuexiu,0.002,-0.0477636307447195,-0.04769988269798982,4,0,0.005
10000,haizhu,0.005,-0.06408865337249596,-0.06438201299640904,6,0,0.002
10000,haizhu,0.002,-0.06412251118581071,-0.06409806380866083,6,0,0.002
10000,panyu,0.005,-0.050433453377122274,-0.050456570576723606,5,0,0.005
10000,panyu,0.002,-0.05043385066820798,-0.050456570576723606,5,0,0.005
10000,nansha,0.005,-0.013581809366082342,-0.013581809366082338,0,0,0.005
10000,nansha,0.002,-0.013581809366082342,-0.013581809366082338,0,0,0.005
10000,huangpu,0.005,-0.0516241670864594,-0.051616489815602885,5,0,0.005
10000,huangpu,0.002,-0.05166210947557826,-0.051616489815602885,5,0,0.005
10001,conghua,0.005,-0.029442861800685574,-0.029379211342508982,2,0,0.005
10001,conghua,0.002,-0.02933849295727669,-0.029379211342508982,2,0,0.005
10001,huadu,0.005,-0.025286582143288616,-0.025124678722548543,2,0,0.005
10001,huadu,0.002,-0.0249382705341713,-0.025124678722548543,2,0,0.005
10001,zengcheng,0.005,-0.034574138568616686,-0.034586152924684935,3,0,0.005
10001,zengcheng,0.002,-0.03458547566216847,-0.034586152924684935,3,0,0.005
10001,baiyun,0.005,-0.053314111011259484,-0.05321498974025109,5,0,0.005
10001,baiyun,0.002,-0.05327259147358165,-0.05321498974025109,5,0,0.005
10001,tianhe,0.005,-0.0528611109608283,-0.05273444142153255,5,0,0.005
10001,tianhe,0.002,-0.05275619050137505,-0.05273444142153255,5,0,0.005
10001,yuexiu,0.005,-0.047814541661511195,-0.0475688047186244,4,0,0.005
10001,yuexiu,0.002,-0.04754110706903455,-0.0475688047186244,4,0,0.005
10001,haizhu,0.005,-0.05935962500408377,-0.05918029679739598,5,0,0.005
10001,haizhu,0.002,-0.05911230783111464,-0.05918029679739598,5,0,0.005
10001,panyu,0.005,-0.060292281373378824,-0.0606764681410263,5,0,0.005
10001,panyu,0.002,-0.06064502552739058,-0.0606764681410263,5,0,0.005
10001,nansha,0.005,-0.013584638429526343,-0.013568466465204407,1,0,0.005
10001,nansha,0.002,-0.013570006640089572,-0.013568466465204407,1,0,0.005
10001,huangpu,0.005,-0.06345337524938836,-0.06335441400054502,6,0,0.005
10001,huangpu,0.002,-0.06338142083659094,-0.06335441400054502,6,0,0.005
10002,conghua,0.005,-0.020903364181552458,-0.020867180979348723,2,0,0.005
10002,conghua,0.002,-0.020867222588413895,-0.020867180979348723,2,0,0.005
10002,huadu,0.005,-0.021002705732357498,-0.02108458814252781,1,0,0.005
10002,huadu,0.002,-0.02099207848436719,-0.02108458814252781,1,0,0.005
10002,zengcheng,0.005,-0.04211221036250441,-0.042215218338191675,4,0,0.002
10002,zengcheng,0.002,-0.04202891304238509,-0.0420909016776099,4,0,0.002
10002,baiyun,0.005,-0.047113214985052845,-0.047113587441712644,4,0,0.005
10002,baiyun,0.002,-0.047147473925731334,-0.047113587441712644,4,0,0.005
10002,tianhe,0.005,-0.05835500188990525,-0.05899780153511693,5,0,0.005
10002,tianhe,0.002,-0.05893222302438949,-0.05899780153511693,5,0,0.005
10002,yuexiu,0.005,-0.050728117751613934,-0.05092320797735574,5,0,0.005
10002,yuexiu,0.002,-0.050829494929209185,-0.05092320797735574,5,0,0.005
10002,haizhu,0.005,-0.05070585806291669,-0.05065685946627021,5,0,0.005
10002,haizhu,0.002,-0.05065837363479517,-0.05065685946627021,5,0,0.005
10002,panyu,0.005,-0.05065859963765327,-0.0507668105956735,5,0,0.002
10002,panyu,0.002,-0.05067673841147382,-0.05071611055744953,5,0,0.002
10002,nansha,0.005,-0.011328189114341953,-0.011285577670575869,1,0,0.005
10002,nansha,0.002,-0.01128895329073139,-0.011285577670575869,1,0,0.005
10002,huangpu,0.005,-0.056296687161364,-0.0564522020649083,5,0,0.005
10002,huangpu,0.002,-0.0564053604676741,-0.0564522020649083,5,0,0.005
