model,wall_sec,start,end
a2c_c12_s0,1262.3,2026-09-14 04:46:47.882202148,2026-09-14 05:07:50.216763496
a2c_c12_s1,1263.1,2026-09-14 04:46:55.957239628,2026-09-14 05:07:59.035291433
a2c_c12_s2,1210.8,2026-09-14 04:51:45.390068531,2026-09-14 05:11:56.174485207
a2c_c2_s0,199.9,2026-09-14 04:25:48.355964422,2026-09-14 04:29:08.241235495
a2c_c2_s1,186.2,2026-09-14 04:29:10.837891102,2026-09-14 04:32:16.999173641
a2c_c2_s2,190.8,2026-09-14 04:32:07.518440484,2026-09-14 04:35:18.323026896
a2c_c4_s0,202.2,2026-09-14 04:32:17.584111214,2026-09-14 04:35:39.787651777
a2c_c4_s1,200.2,2026-09-14 04:32:29.673787355,2026-09-14 04:35:49.839569807
a2c_c4_s2,202.0,2026-09-14 04:35:20.525218725,2026-09-14 04:38:42.546996117
a2c_c6_s0,238.8,2026-09-14 04:35:40.654101133,2026-09-14 04:39:39.412764549
a2c_c6_s1,238.5,2026-09-14 04:35:50.725837469,2026-09-14 04:39:49.250627755
a2c_c6_s2,276.6,2026-09-14 04:38:43.513105630,2026-09-14 04:43:20.148659945
a2c_c8_s0,424.0,2026-09-14 04:39:41.786971331,2026-09-14 04:46:45.826109886
a2c_c8_s1,424.7,2026-09-14 04:39:49.855591536,2026-09-14 04:46:54.583990335
a2c_c8_s2,502.4,2026-09-14 04:43:20.866351366,2026-09-14 04:51:43.309066296
a2c_cinf_s0,561.1,2026-09-14 05:07:51.446067333,2026-09-14 05:17:12.527343272
a2c_cinf_s1,556.0,2026-09-14 05:08:01.520124197,2026-09-14 05:17:17.526565075
a2c_cinf_s2,519.4,2026-09-14 05:11:58.306143284,2026-09-14 05:20:37.756062031
dqn_c2_s0,124.7,2026-09-14 05:17:13.271117449,2026-09-14 05:19:18.009815216
dqn_c2_s1,124.3,2026-09-14 05:17:19.324992657,2026-09-14 05:19:23.580742121
dqn_c2_s2,136.2,2026-09-14 05:19:19.715220451,2026-09-14 05:21:35.872366428
dqn_c6_s0,317.4,2026-09-14 05:19:25.772682905,2026-09-14 05:24:43.132255077
dqn_c6_s1,334.8,2026-09-14 05:20:40.052784204,2026-09-14 05:26:14.863241911
dqn_c6_s2,297.0,2026-09-14 05:21:38.380011082,2026-09-14 05:26:35.364511013
ppo_c12_s0,3646.5,2026-09-14 02:52:51.529700041,2026-09-14 03:53:38.029628992
ppo_c12_s1,3574.3,2026-09-14 02:52:57.587832928,2026-09-14 03:52:31.871600389
ppo_c12_s2,3196.0,2026-09-14 03:13:48.948220730,2026-09-14 04:07:04.984693289
ppo_c2_s0,1004.3,2026-09-14 01:08:20.076014280,2026-09-14 01:25:04.390643358
ppo_c2_s0_adj,217.4,2026-09-14 05:24:49.422069311,2026-09-14 05:28:26.818273783
ppo_c2_s1,1004.4,2026-09-14 01:08:20.097826719,2026-09-14 01:25:04.516423225
ppo_c2_s1_adj,237.5,2026-09-14 05:28:28.350776434,2026-09-14 05:32:25.886347771
ppo_c2_s2,1004.6,2026-09-14 01:08:20.121527910,2026-09-14 01:25:04.766515732
ppo_c2_s2_adj,236.1,2026-09-14 05:32:27.102385283,2026-09-14 05:36:23.236791134
ppo_c2_s3,219.0,2026-09-14 01:25:06.827969790,2026-09-14 01:28:45.862220526
ppo_c2_s3_adj,242.1,2026-09-14 05:36:23.848949671,2026-09-14 05:40:25.935679674
ppo_c2_s4,219.8,2026-09-14 01:25:06.850884914,2026-09-14 01:28:46.602915287
ppo_c2_s4_adj,235.8,2026-09-14 05:40:26.673457623,2026-09-14 05:44:22.489669323
ppo_c2_s5,220.7,2026-09-14 01:25:06.874707460,2026-09-14 01:28:47.609777451
ppo_c2_s6,209.0,2026-09-14 01:28:47.594501257,2026-09-14 01:32:16.638071299
ppo_c2_s7,209.5,2026-09-14 01:28:47.634082317,2026-09-14 01:32:17.129794598
ppo_c2_s8,208.1,2026-09-14 01:28:49.680300713,2026-09-14 01:32:17.799005985
ppo_c2_s9,193.0,2026-09-14 01:32:18.297928333,2026-09-14 01:35:31.326019764
ppo_c4_s0,218.4,2026-09-14 01:32:18.322042942,2026-09-14 01:35:56.698464632
ppo_c4_s1,218.7,2026-09-14 01:32:18.347596884,2026-09-14 01:35:57.031966448
ppo_c4_s2,208.2,2026-09-14 01:35:33.105917215,2026-09-14 01:39:01.321478128
ppo_c4_s3,207.0,2026-09-14 01:35:59.220740318,2026-09-14 01:39:26.265588999
ppo_c4_s4,207.1,2026-09-14 01:35:59.256263493,2026-09-14 01:39:26.357636452
ppo_c4_s5,203.0,2026-09-14 01:39:02.134757757,2026-09-14 01:42:25.156079292
ppo_c4_s6,204.7,2026-09-14 01:39:28.291898251,2026-09-14 01:42:52.964942455
ppo_c4_s7,203.7,2026-09-14 01:39:28.314091682,2026-09-14 01:42:52.057236433
ppo_c4_s8,211.5,2026-09-14 01:42:27.160054445,2026-09-14 01:45:58.671924591
ppo_c4_s9,214.2,2026-09-14 01:42:53.314998388,2026-09-14 01:46:27.531114340
ppo_c6_s0,340.2,2026-09-14 01:42:55.349632740,2026-09-14 01:48:35.526976109
